source_kind,source,parameter,group,num_runs,layer_jaccard,layer_jaccard_std,layer_jaccard_ci95_low,layer_jaccard_ci95_high,kept,kept_std,kept_ci95_low,kept_ci95_high,imp_kept,imp_kept_std,imp_kept_ci95_low,imp_kept_ci95_high,total,total_std,total_ci95_low,total_ci95_high
aggregate,traj_initial_rms_movement,conv1.weight,stem,5.0,0.669887446575834,0.0316291970068026,0.6306146113603929,0.7091602817912751,394.8,10.232301793829187,382.0949192438465,407.5050807561535,307.0,12.609520212918492,291.3432127169964,322.6567872830036,432.0,0.0,432.0,432.0
aggregate,traj_initial_rms_movement,fc.weight,head,5.0,0.7948444091020892,0.0151379445673931,0.7760481683259529,0.8136406498782255,575.8,6.572670690061994,567.6389514321008,583.9610485678991,524.8,6.260990336999411,517.0259537054461,532.5740462945538,640.0,0.0,640.0,640.0
aggregate,traj_initial_rms_movement,layer1.0.conv1.weight,stage1,5.0,0.36093675427460614,0.0250002052551701,0.3298948994615568,0.39197860908765547,1497.4,76.22532387599281,1402.753759591758,1592.0462404082423,840.8,56.20676115913458,771.0100882130647,910.5899117869352,2304.0,0.0,2304.0,2304.0
aggregate,traj_initial_rms_movement,layer1.0.conv2.weight,stage1,5.0,0.34224833674537863,0.019882255200969406,0.3175612562592353,0.36693541723152195,1462.2,115.04868534668269,1319.348189364351,1605.0518106356492,827.4,50.767115340543036,764.3643005889895,890.4356994110104,2304.0,0.0,2304.0,2304.0
aggregate,traj_initial_rms_movement,layer1.1.conv1.weight,stage1,5.0,0.3233299197940379,0.020624346710643785,0.29772141099695926,0.34893842859111657,1296.4,108.79016499665767,1161.3191687650026,1431.4808312349976,777.0,46.834816109385976,718.8468949744816,835.1531050255184,2304.0,0.0,2304.0,2304.0
aggregate,traj_initial_rms_movement,layer1.1.conv2.weight,stage1,5.0,0.29113552276416593,0.010869046603624175,0.27763981890164685,0.304631226626685,1292.8,75.41352663813038,1199.1617389958528,1386.438261004147,724.0,30.29026246172192,686.3896716051369,761.6103283948631,2304.0,0.0,2304.0,2304.0
aggregate,traj_initial_rms_movement,layer1.2.conv1.weight,stage1,5.0,0.3152096294427879,0.029351710302873358,0.27876466747400347,0.35165459141157235,1216.8,104.45190280698576,1087.1058327406868,1346.4941672593131,801.6,51.553855335949414,737.5874338607465,865.6125661392535,2304.0,0.0,2304.0,2304.0
aggregate,traj_initial_rms_movement,layer1.2.conv2.weight,stage1,5.0,0.27958142959195376,0.02094587801694234,0.2535736869475487,0.3055891722363588,1157.6,56.97631086688572,1086.8545660461218,1228.345433953878,717.6,43.56948473415769,663.5013393853078,771.6986606146922,2304.0,0.0,2304.0,2304.0
aggregate,traj_initial_rms_movement,layer2.0.conv1.weight,stage2,5.0,0.2717477418964521,0.005874640087575051,0.26445341279730555,0.2790420709955987,2131.4,89.60636138132159,2020.1390070627767,2242.6609929372235,1476.6,27.682124195949992,1442.2281029920834,1510.9718970079164,4608.0,0.0,4608.0,4608.0
aggregate,traj_initial_rms_movement,layer2.0.conv2.weight,stage2,5.0,0.2264389997483626,0.0164089660197845,0.20606457739384723,0.24681342210287796,3547.2,94.13925854817425,3430.310671843136,3664.0893281568638,2237.2,54.627831734382426,2169.370588035484,2305.0294119645155,9216.0,0.0,9216.0,9216.0
aggregate,traj_initial_rms_movement,layer2.0.shortcut.0.weight,stage2,5.0,0.4871711929255385,0.02333614378975874,0.45819554332488865,0.5161468425261884,390.2,14.219704638282751,372.5439046855532,407.8560953144468,297.2,3.420526275297414,292.9528556690532,301.4471443309468,512.0,0.0,512.0,512.0
aggregate,traj_initial_rms_movement,layer2.1.conv1.weight,stage2,5.0,0.21879173067383612,0.01483070047577917,0.20037698382491764,0.2372064775227546,3206.2,113.24177674339094,3065.591762725103,3346.808237274897,2317.8,65.83084383478614,2236.060211238972,2399.5397887610284,9216.0,0.0,9216.0,9216.0
aggregate,traj_initial_rms_movement,layer2.1.conv2.weight,stage2,5.0,0.17759911857157673,0.013607970741626802,0.16070259121308852,0.19449564593006494,2830.0,80.69076774947676,2729.809178698053,2930.190821301947,2072.8,82.4330030994868,1970.4459077875479,2175.1540922124523,9216.0,0.0,9216.0,9216.0
aggregate,traj_initial_rms_movement,layer2.2.conv1.weight,stage2,5.0,0.1684326978279186,0.011061605498184853,0.1546979005184896,0.18216749513734756,2332.0,97.34474818910365,2211.130530759379,2452.869469240621,2128.6,33.09531688925186,2087.506736509471,2169.693263490529,9216.0,0.0,9216.0,9216.0
aggregate,traj_initial_rms_movement,layer2.2.conv2.weight,stage2,5.0,0.13089455837321845,0.009787671959475509,0.11874155847490919,0.1430475582715277,1930.4,69.76603758276659,1843.7740228361479,2017.0259771638523,1836.0,27.230497608380205,1802.1888714665006,1869.8111285334994,9216.0,0.0,9216.0,9216.0
aggregate,traj_initial_rms_movement,layer3.0.conv1.weight,stage3,5.0,0.14675560138030863,0.013800552978305297,0.12961995159184317,0.1638912511687741,4043.6,186.59260435504942,3811.9146808412556,4275.285319158744,3825.0,61.91526467681455,3748.122044911542,3901.877955088458,18432.0,0.0,18432.0,18432.0
aggregate,traj_initial_rms_movement,layer3.0.conv2.weight,stage3,5.0,0.12099569819302784,0.012330112299760854,0.10568584165660534,0.13630555472945033,5530.8,329.14920628796904,5122.107280514884,5939.492719485116,5977.0,147.0187062927708,5794.452165333773,6159.547834666227,36864.0,0.0,36864.0,36864.0
aggregate,traj_initial_rms_movement,layer3.0.shortcut.0.weight,stage3,5.0,0.30475707781006606,0.013126235483918737,0.28845870377773936,0.32105545184239276,1143.6,40.64234245217664,1093.1358665744635,1194.0641334255363,933.0,18.547236990991408,909.9705635621328,956.0294364378672,2048.0,0.0,2048.0,2048.0
aggregate,traj_initial_rms_movement,layer3.1.conv1.weight,stage3,5.0,0.12673587555730934,0.011687473802974352,0.11222396010620642,0.14124779100841225,5443.2,235.2534803143197,5151.09422304157,5735.305776958429,6521.2,109.84170428393762,6384.81351028929,6657.586489710709,36864.0,0.0,36864.0,36864.0
aggregate,traj_initial_rms_movement,layer3.1.conv2.weight,stage3,5.0,0.07249177748068555,0.0033219170601295066,0.06836707266210384,0.07661648229926726,2313.4,117.04187284899366,2168.073320201062,2458.726679798938,4686.0,87.64416694794924,4577.175393248171,4794.824606751829,36864.0,0.0,36864.0,36864.0
aggregate,traj_initial_rms_movement,layer3.2.conv1.weight,stage3,5.0,0.047995700806446766,0.0030404830045289394,0.04422044252257276,0.05177095909032077,1224.8,130.0257666772244,1063.3516866780474,1386.2483133219525,4104.8,184.25172997830984,3876.021260279171,4333.578739720829,36864.0,0.0,36864.0,36864.0
