base_source,feature,runs,rows,auc_imp_only_vs_nonbase_mean,auc_imp_only_vs_nonbase_std,auc_imp_only_vs_nonbase_ci95,auc_imp_only_vs_nonbase_n,topk_recall_mean,topk_recall_std,topk_recall_ci95,topk_recall_n,topk_precision_mean,topk_precision_std,topk_precision_ci95,topk_precision_n,baseline_precision_mean,baseline_precision_std,baseline_precision_ci95,baseline_precision_n,topk_lift_mean,topk_lift_std,topk_lift_ci95,topk_lift_n,imp_only_mean_mean,imp_only_mean_std,imp_only_mean_ci95,imp_only_mean_n,base_only_mean_mean,base_only_mean_std,base_only_mean_ci95,base_only_mean_n,shared_mean_mean,shared_mean_std,shared_mean_ci95,shared_mean_n,neither_mean_mean,neither_mean_std,neither_mean_ci95,neither_mean_n
epoch_10,epoch_0,5,5,0.5158326989973965,0.0017831517116019499,0.0015630013890041276,5,0.13575212829143646,0.0047884301214493755,0.004197244060770804,5,0.13575212829143646,0.0047884301214493755,0.004197244060770804,5,0.12490559842390413,0.002493715391261541,0.00218583791550813,5,1.0866054407714907,0.019413154489240213,0.01701638017349336,5,0.4995411822080321,0.0011018050886703698,0.0009657747418790751,5,0.5634014344936668,0.004150580902079388,0.0036381445689194687,5,0.5822411105710749,0.0012442056704792996,0.0010905943552155077,5,0.48375644267644824,0.000756430893757087,0.000663040912298933,5
epoch_10,epoch_1,5,5,0.5310534541628683,0.002073299027271253,0.001817326724563783,5,0.1549351840131863,0.004391457165739325,0.0038492819232057024,5,0.1549351840131863,0.004391457165739325,0.0038492819232057024,5,0.12490559842390413,0.002493715391261541,0.00218583791550813,5,1.2405115283502592,0.03045771025624625,0.026697360144207986,5,0.5029806835444253,0.001635520883027452,0.001433597262243387,5,0.6019635536491522,0.005252615952013176,0.004604120880733284,5,0.6471252000730636,0.006633807768836142,0.005814788887347259,5,0.4720462657122246,0.001243737164698177,0.0010901836917919263,5
epoch_10,epoch_10,5,5,0.5558934510204115,0.007987959282204785,0.007001755022952047,5,0.16548784456340931,0.002800634654989659,0.002454864511729831,5,0.16548784456340931,0.002800634654989659,0.002454864511729831,5,0.12490559842390413,0.002493715391261541,0.00218583791550813,5,1.3255522678118985,0.04402938807732677,0.0385934602614596,5,0.47255415016831187,0.005745287968516523,0.005035966943582529,5,0.8523946968361302,0.002889493122103483,0.0025327523922842633,5,0.8597641862807299,0.004204512827143015,0.0036854179855545493,5,0.421921773418138,0.001302261313329867,0.0011414823698609041,5
epoch_10,epoch_2,5,5,0.537587234967816,0.0023907577504556827,0.002095591564319327,5,0.16169279935992187,0.004414031080250363,0.003869068831692763,5,0.16169279935992187,0.004414031080250363,0.003869068831692763,5,0.12490559842390413,0.002493715391261541,0.00218583791550813,5,1.2945842986392777,0.028328257082664083,0.024830812140203294,5,0.5000092497671099,0.0023673280352467657,0.002075054513446292,5,0.6413776269208613,0.007238223507132602,0.0063445826409278885,5,0.6929061143900029,0.007586204708686801,0.006649601612582249,5,0.46281368133763295,0.0015379220685722067,0.0013480481294544224,5
epoch_10,epoch_20,5,5,0.5662285066849182,0.010360987349876031,0.009081805835108574,5,0.18534298217568715,0.00644452676507967,0.005648876772377704,5,0.18534298217568715,0.00644452676507967,0.005648876772377704,5,0.12490559842390413,0.002493715391261541,0.00218583791550813,5,1.4849287078622548,0.07484236784421808,0.06560222786191267,5,0.4952904282490658,0.007835411780767866,0.006868041242411854,5,0.7814180259301555,0.00234862592485351,0.0020586613909027787,5,0.8237423007017595,0.006758630844261573,0.005924201137017503,5,0.43198296718209384,0.0018859424695992111,0.0016531014609616453,5
epoch_10,epoch_30,5,5,0.5661895879229265,0.0105987238117574,0.00929019103179141,5,0.18674723931664242,0.006596492453282741,0.005782080571132989,5,0.18674723931664242,0.006596492453282741,0.005782080571132989,5,0.12490559842390413,0.002493715391261541,0.00218583791550813,5,1.496268093985655,0.07802605493195751,0.06839285263484397,5,0.49820251685953737,0.008054814519989986,0.007060356222637179,5,0.7664459601691256,0.002524164262227954,0.0022125275276731857,5,0.8150898219914766,0.007190390102935991,0.006302654813523381,5,0.4344675197390684,0.001996531780718869,0.001750037266123029,5
epoch_10,epoch_5,5,5,0.5483941134670837,0.0029956359476952187,0.002625790681036297,5,0.16698457311700007,0.002376647830691012,0.0020832236743369855,5,0.16698457311700007,0.002376647830691012,0.0020832236743369855,5,0.12490559842390413,0.002493715391261541,0.00218583791550813,5,1.33712648565461,0.021415388221334663,0.018771415420361422,5,0.484708693260724,0.00146673568344672,0.0012856505117388997,5,0.7632840085155429,0.006864272758744171,0.0060168003578235756,5,0.7963296173513976,0.007575884520526439,0.0066405555688135234,5,0.43848740494489497,0.0015987031444981764,0.0014013250915207117,5
epoch_10,traj_initial_rms_movement,5,5,0.4916868682931512,0.003556019519807246,0.0031169885392372232,5,0.12447885324817609,0.0017553662699882325,0.0015386463756007433,5,0.12447885324817609,0.0017553662699882325,0.0015386463756007433,5,0.12490559842390413,0.002493715391261541,0.00218583791550813,5,0.9970196137842974,0.029707907639806,0.026040129173141486,5,0.4653276657995089,0.0012900075658004884,0.0011307414865786185,5,0.6226873183082657,0.008276355003593546,0.007254545018430628,5,0.6611490677006948,0.010645978386516916,0.009331611492824177,5,0.47323783593541907,0.0023781254962194453,0.0020845189052802627,5
epoch_10,traj_max_abs,5,5,0.5574738322717804,0.0070186436988957214,0.006152112452867908,5,0.17034755505272167,0.005064170099303235,0.004438940807932246,5,0.17034755505272167,0.005064170099303235,0.004438940807932246,5,0.12490559842390413,0.002493715391261541,0.00218583791550813,5,1.364465961431625,0.05559908568702267,0.04873474735254316,5,0.482611697733759,0.0050754077866683,0.00444879107521265,5,0.8091496054021032,0.0036039164028232634,0.003158972008280218,5,0.8333188680975807,0.00619698620581197,0.005431897905435034,5,0.4289830708837099,0.0014805705446792206,0.0012977773022875576,5
epoch_10,traj_mean_abs,5,5,0.5644157794113165,0.006913261349513542,0.0060597407509038114,5,0.1791725805737843,0.0044148252256925435,0.003869764930864316,5,0.1791725805737843,0.0044148252256925435,0.003869764930864316,5,0.12490559842390413,0.002493715391261541,0.00218583791550813,5,1.4349797016691936,0.04744518483946418,0.04158753813438506,5,0.48866953858539014,0.00481022619140641,0.004216349158444781,5,0.8051834615200406,0.003707163362633064,0.00324947195875734,5,0.8382061412475925,0.0058991385663841964,0.005170822938505282,5,0.42825596310797037,0.00153455572217929,0.0013450973967412362,5
