base_source,variant,alpha,targets,rows,trained_accuracy_mean,trained_accuracy_std,trained_accuracy_ci95,trained_accuracy_n,accuracy_minus_imp_mean,accuracy_minus_imp_std,accuracy_minus_imp_ci95,accuracy_minus_imp_n,accuracy_minus_dense_mean,accuracy_minus_dense_std,accuracy_minus_dense_ci95,accuracy_minus_dense_n,mask_to_imp_jaccard_mean,mask_to_imp_jaccard_std,mask_to_imp_jaccard_ci95,mask_to_imp_jaccard_n,mask_to_base_jaccard_mean,mask_to_base_jaccard_std,mask_to_base_jaccard_ci95,mask_to_base_jaccard_n,swap_count_mean,swap_count_std,swap_count_ci95,swap_count_n,candidate_count_mean,candidate_count_std,candidate_count_ci95,candidate_count_n,source_vote_positive_count_mean,source_vote_positive_count_std,source_vote_positive_count_ci95,source_vote_positive_count_n,source_vote_max_mean,source_vote_max_std,source_vote_max_ci95,source_vote_max_n,selected_source_vote_mean_mean,selected_source_vote_mean_std,selected_source_vote_mean_ci95,selected_source_vote_mean_n,selected_source_vote_positive_fraction_mean,selected_source_vote_positive_fraction_std,selected_source_vote_positive_fraction_ci95,selected_source_vote_positive_fraction_n,alignment_mean_corr_mean,alignment_mean_corr_std,alignment_mean_corr_ci95,alignment_mean_corr_n,alignment_min_corr_mean,alignment_min_corr_std,alignment_min_corr_ci95,alignment_min_corr_n,added_imp_only_hits_mean,added_imp_only_hits_std,added_imp_only_hits_ci95,added_imp_only_hits_n,added_imp_only_precision_mean,added_imp_only_precision_std,added_imp_only_precision_ci95,added_imp_only_precision_n
epoch_2,aligned_source_vote_random_residual,0.5,2,2,0.09765625,0.005524271728019903,0.007656249999999999,2,0.00390625,0.005524271728019903,0.007656249999999999,2,-0.0087890625,0.00966747552403483,0.013398437499999999,2,0.984464571400143,0.00013950672122701397,0.00019334645125741677,2,0.9921627561509397,8.879442740943024e-05,0.00012306279783545814,2,746.0,8.48528137423857,11.759999999999996,2,81269.0,0.0,0.0,2,229.0,11.313708498984761,15.679999999999998,2,1.0,0.0,0.0,2,0.0033783784601837397,0.004777748637220978,0.006621621781960129,2,0.0033783784601837397,0.004777748637220978,0.006621621781960129,2,0.14624536037445068,0.004704283716816204,0.006519804596900939,2,-0.03911784663796425,0.004208726340381176,0.005832997113466263,2,8.0,2.8284271247461903,3.9199999999999995,2,0.01070299022426682,0.0036697174814310472,0.005085968947671075,2
epoch_2,aligned_source_vote_residual,0.5,2,2,0.1083984375,0.006905339660024878,0.0095703125,2,0.0146484375,0.0041432037960149265,0.005742187499999998,2,0.001953125,0.008286407592029853,0.011484374999999996,2,0.9845113039027651,0.00019091292526494724,0.0002645918151791693,2,0.9921627561509397,8.879442740943024e-05,0.00012306279783545814,2,746.0,8.48528137423857,11.759999999999996,2,81269.0,0.0,0.0,2,229.0,11.313708498984761,15.679999999999998,2,1.0,0.0,0.0,2,0.3070766180753708,0.018658641643439597,0.025859557986259458,2,0.3070766180753708,0.018658641643439597,0.025859557986259458,2,0.14624536037445068,0.004704283716816204,0.006519804596900939,2,-0.03911784663796425,0.004208726340381176,0.005832997113466263,2,12.5,2.1213203435596424,2.939999999999999,2,0.016773289246693503,0.0030343785822913236,0.004205434157561818,2
epoch_2,base,0.0,2,2,0.1162109375,0.0041432037960149265,0.005742187499999998,2,0.0224609375,0.015191747252054731,0.0210546875,2,0.009765625,0.01933495104806966,0.026796874999999998,2,0.9843815067177513,0.00016886241988291043,0.00023403137388608108,2,1.0,0.0,0.0,2,0.0,0.0,0.0,2,81269.0,0.0,0.0,2,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0.0,0.0,0.0,2,,,,0
epoch_2,source_vote_random_residual,0.5,2,2,0.0927734375,0.0041432037960149265,0.005742187499999998,2,-0.0009765625,0.015191747252054731,0.0210546875,2,-0.013671875,0.01933495104806966,0.026796874999999998,2,0.9845684198849645,0.00019826714212395805,0.0002747842397373623,2,0.9921627561509397,8.879442740943024e-05,0.00012306279783545814,2,746.0,8.48528137423857,11.759999999999996,2,81269.0,0.0,0.0,2,215.0,4.242640687119285,5.879999999999998,2,1.0,0.0,0.0,2,0.004686601459980011,0.0008945569814761061,0.0012397927232086657,2,0.004686601459980011,0.0008945569814761061,0.0012397927232086657,2,,,,0,,,,0,18.0,2.8284271247461903,3.9199999999999995,2,0.02415181138585394,0.0040661689544942365,0.005635422656699253,2
epoch_2,source_vote_residual,0.5,2,2,0.091796875,0.0027621358640099515,0.0038281249999999995,2,-0.001953125,0.013810679320049757,0.019140625,2,-0.0146484375,0.017953883116064683,0.024882812499999997,2,0.9845424587417614,0.00020560499018132294,0.00028495397829389366,2,0.9921627561509397,8.879442740943024e-05,0.00012306279783545814,2,746.0,8.48528137423857,11.759999999999996,2,81269.0,0.0,0.0,2,215.0,4.242640687119285,5.879999999999998,2,1.0,0.0,0.0,2,0.2881900519132614,0.00240921922800398,0.003339007496833801,2,0.2881900519132614,0.00240921922800398,0.003339007496833801,2,,,,0,,,,0,15.5,3.5355339059327378,4.9,2,0.02080577918343876,0.004975974258062321,0.00689634847613571,2
epoch_2,target_oracle_residual,0.5,2,2,0.0966796875,0.0041432037960149265,0.005742187499999998,2,0.0029296875,0.006905339660024878,0.0095703125,2,-0.009765625,0.011048543456039806,0.015312499999999998,2,0.9921575235867921,8.139446422593021e-05,0.00011280697210619417,2,0.9921627561509397,8.879442740943024e-05,0.00012306279783545814,2,746.0,8.48528137423857,11.759999999999996,2,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,746.0,8.48528137423857,11.759999999999996,2,1.0,0.0,0.0,2
epoch_2,target_random_residual,0.5,2,2,0.1025390625,0.00966747552403483,0.013398437499999999,2,0.0087890625,0.020716018980074635,0.0287109375,2,-0.00390625,0.02485922277608956,0.034453124999999994,2,0.984516494066555,0.0001688853943618476,0.00023406321488938839,2,0.9921627561509397,8.879442740943024e-05,0.00012306279783545814,2,746.0,8.48528137423857,11.759999999999996,2,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,13.0,0.0,0.0,2,0.017427400805060382,0.00019822573653159418,0.0002747268545140888,2
traj_rms_abs,aligned_source_vote_random_residual,0.5,2,2,0.09375,0.0,0.0,2,0.0,0.011048543456039806,0.015312499999999998,2,-0.0126953125,0.015191747252054731,0.0210546875,2,0.9806248212748847,0.0002047940317057024,0.0002838300471886446,2,0.990145148536256,8.861466138194785e-05,0.000122813654832421,2,939.0,8.48528137423857,11.759999999999996,2,81269.0,0.0,0.0,2,289.0,19.79898987322333,27.439999999999998,2,1.0,0.0,0.0,2,0.0032086289720609784,0.0030411643001286423,0.004214838682673871,2,0.0032086289720609784,0.0030411643001286423,0.004214838682673871,2,0.14624536037445068,0.004704283716816204,0.006519804596900939,2,-0.03911784663796425,0.004208726340381176,0.005832997113466263,2,23.0,2.8284271247461903,3.9199999999999995,2,0.024508753126116473,0.003233643015072457,0.004481600571632725,2
traj_rms_abs,aligned_source_vote_residual,0.5,2,2,0.099609375,0.008286407592029853,0.011484374999999996,2,0.005859375,0.0027621358640099515,0.0038281249999999995,2,-0.0068359375,0.006905339660024878,0.0095703125,2,0.980598955776107,0.00012433598641914544,0.00017232088551929258,2,0.990145148536256,8.861466138194785e-05,0.000122813654832421,2,939.0,8.48528137423857,11.759999999999996,2,81269.0,0.0,0.0,2,289.0,19.79898987322333,27.439999999999998,2,1.0,0.0,0.0,2,0.30788205564022064,0.023867359916658438,0.033078473210334775,2,0.30788205564022064,0.023867359916658438,0.033078473210334775,2,0.14624536037445068,0.004704283716816204,0.006519804596900939,2,-0.03911784663796425,0.004208726340381176,0.005832997113466263,2,20.5,4.949747468305833,6.859999999999999,2,0.021808809268616343,0.005074221070526646,0.0070325116112897445,2
traj_rms_abs,base,0.0,2,2,0.1123046875,0.006905339660024878,0.0095703125,2,0.0185546875,0.017953883116064683,0.024882812499999997,2,0.005859375,0.02209708691207961,0.030624999999999996,2,0.9803869428428991,0.00017549557912210155,0.00024322446356837667,2,1.0,0.0,0.0,2,0.0,0.0,0.0,2,81269.0,0.0,0.0,2,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0.0,0.0,0.0,2,,,,0
