base_source,base_kind,variant,alpha,seeds,rows,trained_accuracy_mean,trained_accuracy_std,trained_accuracy_ci95,trained_accuracy_n,accuracy_minus_imp_mean,accuracy_minus_imp_std,accuracy_minus_imp_ci95,accuracy_minus_imp_n,accuracy_minus_dense_mean,accuracy_minus_dense_std,accuracy_minus_dense_ci95,accuracy_minus_dense_n,base_to_imp_jaccard_mean,base_to_imp_jaccard_std,base_to_imp_jaccard_ci95,base_to_imp_jaccard_n,base_to_reference_jaccard_mean,base_to_reference_jaccard_std,base_to_reference_jaccard_ci95,base_to_reference_jaccard_n,mask_to_imp_jaccard_mean,mask_to_imp_jaccard_std,mask_to_imp_jaccard_ci95,mask_to_imp_jaccard_n,mask_to_effective_base_jaccard_mean,mask_to_effective_base_jaccard_std,mask_to_effective_base_jaccard_ci95,mask_to_effective_base_jaccard_n,mask_to_reference_base_jaccard_mean,mask_to_reference_base_jaccard_std,mask_to_reference_base_jaccard_ci95,mask_to_reference_base_jaccard_n,swap_count_mean,swap_count_std,swap_count_ci95,swap_count_n,candidate_count_mean,candidate_count_std,candidate_count_ci95,candidate_count_n,heldout_count_mean,heldout_count_std,heldout_count_ci95,heldout_count_n,heldout_positive_count_mean,heldout_positive_count_std,heldout_positive_count_ci95,heldout_positive_count_n,added_imp_only_hits_mean,added_imp_only_hits_std,added_imp_only_hits_ci95,added_imp_only_hits_n,added_imp_only_precision_mean,added_imp_only_precision_std,added_imp_only_precision_ci95,added_imp_only_precision_n
epoch_10,imp_overlap_random,base,0.0,5,5,0.86072,0.0022420972325035236,0.0019652848750244755,5,-0.037580000000000016,0.002489377432210725,0.0021820355267502057,5,-0.027500000000000014,0.0019326148090087528,0.0016940115702084068,5,0.23672102715491125,0.007245954063112556,0.006351358772008506,5,0.18746275223986197,0.0029298754389539936,0.0025681490536664004,5,0.23672102715491125,0.007245954063112556,0.006351358772008506,5,1.0,0.0,0.0,5,0.18746275223986197,0.0029298754389539936,0.0025681490536664004,5,0.0,0.0,0.0,5,225367.0,0.0,0.0,5,225367.0,0.0,0.0,5,28101.6,433.22372972864724,379.73734198258666,5,0.0,0.0,0.0,5,,,,0
epoch_10,imp_overlap_random,oracle_imp_residual,0.5,5,5,0.8941600000000001,0.0019398453546610203,0.0017003494229128181,5,-0.004139999999999988,0.00212673458616724,0.0018641650570697743,5,0.005940000000000012,0.0012660963628413023,0.001109782393084329,5,0.23672102715491125,0.007245954063112556,0.006351358772008506,5,0.18746275223986197,0.0029298754389539936,0.0025681490536664004,5,0.528352904431624,0.005542057453150622,0.004857827542578025,5,0.528352904431624,0.005542057453150622,0.004857827542578025,5,0.2772289705815911,0.0033697845659656487,0.002953746404739295,5,14050.8,216.61186486432362,189.86867099129333,5,,,,0,,,,0,,,,0,14050.8,216.61186486432362,189.86867099129333,5,1.0,0.0,0.0,5
epoch_10,imp_overlap_random,random_residual,0.5,5,5,0.8636199999999999,0.003467996539790652,0.0030398329954127333,5,-0.03468000000000002,0.004198452095713343,0.003680105520226263,5,-0.02460000000000002,0.0039635842365213,0.003474234764664026,5,0.23672102715491125,0.007245954063112556,0.006351358772008506,5,0.18746275223986197,0.0029298754389539936,0.0025681490536664004,5,0.2670926571299963,0.006406234839483136,0.005615312419717404,5,0.528352904431624,0.005542057453150622,0.004857827542578025,5,0.21834897669799724,0.0036965157616264004,0.0032401389249752475,5,14050.8,216.61186486432362,189.86867099129333,5,,,,0,225367.0,0.0,0.0,5,28101.6,433.22372972864724,379.73734198258666,5,1765.4,88.40135745564092,77.4872062730358,5,0.12560508680081992,0.004785571967194975,0.004194738778107219,5
epoch_10,trajectory,base,0.0,5,5,0.87444,0.001884940317357546,0.0016522230357914676,5,-0.023859999999999992,0.001520855022676346,0.001333088204133507,5,-0.013779999999999992,0.0019854470529329115,0.0017403210738251682,5,0.23672102715491125,0.007245954063112556,0.006351358772008506,5,1.0,0.0,0.0,5,0.23672102715491125,0.007245954063112556,0.006351358772008506,5,1.0,0.0,0.0,5,1.0,0.0,0.0,5,0.0,0.0,0.0,5,225367.0,0.0,0.0,5,225367.0,0.0,0.0,5,28101.6,433.22372972864724,379.73734198258666,5,0.0,0.0,0.0,5,,,,0
epoch_10,trajectory,oracle_imp_residual,0.5,5,5,0.88916,0.0014976648490233127,0.0013127611206918098,5,-0.009140000000000014,0.001833848412492147,0.0016074390066189057,5,0.0009399999999999853,0.00043931765272976796,0.0003850789010060076,5,0.23672102715491125,0.007245954063112556,0.006351358772008506,5,1.0,0.0,0.0,5,0.528352904431624,0.005542057453150622,0.004857827542578025,5,0.528352904431624,0.005542057453150622,0.004857827542578025,5,0.528352904431624,0.005542057453150622,0.004857827542578025,5,14050.8,216.61186486432362,189.86867099129333,5,,,,0,,,,0,,,,0,14050.8,216.61186486432362,189.86867099129333,5,1.0,0.0,0.0,5
epoch_10,trajectory,random_residual,0.5,5,5,0.87122,0.0017612495564229404,0.001543803303533194,5,-0.027080000000000014,0.0027707399733644905,0.0024286606679402314,5,-0.017000000000000015,0.0020396078054371355,0.0017877950665554673,5,0.23672102715491125,0.007245954063112556,0.006351358772008506,5,1.0,0.0,0.0,5,0.26675499388489393,0.007302249026714007,0.006400703483246765,5,0.528352904431624,0.005542057453150622,0.004857827542578025,5,0.528352904431624,0.005542057453150622,0.004857827542578025,5,14050.8,216.61186486432362,189.86867099129333,5,,,,0,225367.0,0.0,0.0,5,28101.6,433.22372972864724,379.73734198258666,5,1745.8,55.594064431376125,48.7303460279116,5,0.12425479437712865,0.0037167352184125134,0.0032578620602732597,5
epoch_30,imp_overlap_random,base,0.0,5,5,0.86408,0.0010663020210052979,0.0009346549309771958,5,-0.03422000000000003,0.003115605880081756,0.0027309489632726587,5,-0.02414000000000003,0.001886266153012376,0.0016533851819827354,5,0.2336562865940417,0.010505759958908184,0.009208704621978325,5,0.18173779274347324,0.003302786851912586,0.0028950203190990765,5,0.2336562865940417,0.010505759958908184,0.009208704621978325,5,1.0,0.0,0.0,5,0.18173779274347324,0.003302786851912586,0.0028950203190990765,5,0.0,0.0,0.0,5,225367.0,0.0,0.0,5,225367.0,0.0,0.0,5,28286.8,633.6779150325502,555.4431823904223,5,0.0,0.0,0.0,5,,,,0
epoch_30,imp_overlap_random,oracle_imp_residual,0.5,5,5,0.89258,0.0019917329138215627,0.0017458308738248678,5,-0.005720000000000014,0.0021370540470470245,0.0018732104633489668,5,0.004359999999999986,0.0015805062480104915,0.0013853748084905234,5,0.2336562865940417,0.010505759958908184,0.009208704621978325,5,0.18173779274347324,0.003302786851912586,0.0028950203190990765,5,0.5259994188851657,0.008070487141878007,0.007074093881424668,5,0.5259992782914402,0.008053952025695435,0.007059600213055032,5,0.27239712917548586,0.004340625598763381,0.003804726090254573,5,14143.4,316.513506820799,277.43632108287477,5,,,,0,,,,0,,,,0,14143.4,316.513506820799,277.43632108287477,5,1.0,0.0,0.0,5
epoch_30,imp_overlap_random,random_residual,0.5,5,5,0.86492,0.002255437873229933,0.001976978462199316,5,-0.033380000000000035,0.003381863391682165,0.0029643339622923725,5,-0.023300000000000032,0.0025951878544721967,0.002274782451136812,5,0.2336562865940417,0.010505759958908184,0.009208704621978325,5,0.18173779274347324,0.003302786851912586,0.0028950203190990765,5,0.2642444605252578,0.00992092687425149,0.00869607582112729,5,0.5259992782914402,0.008053952025695435,0.007059600213055032,5,0.2126122113561117,0.003725419316268836,0.003265474007660219,5,14143.4,316.513506820799,277.43632108287477,5,,,,0,225367.0,0.0,0.0,5,28286.8,633.6779150325502,555.4431823904223,5,1786.6,68.21876574667706,59.79638463987601,5,0.1262897753245125,0.0022617013478642522,0.0019824686397819273,5
epoch_30,trajectory,base,0.0,5,5,0.8827200000000001,0.001839021478939268,0.001611973399284237,5,-0.015579999999999993,0.003658141604694908,0.0032065024933718472,5,-0.005499999999999994,0.002832843094843082,0.002483096454026726,5,0.2336562865940417,0.010505759958908184,0.009208704621978325,5,1.0,0.0,0.0,5,0.2336562865940417,0.010505759958908184,0.009208704621978325,5,1.0,0.0,0.0,5,1.0,0.0,0.0,5,0.0,0.0,0.0,5,225367.0,0.0,0.0,5,225367.0,0.0,0.0,5,28286.8,633.6779150325502,555.4431823904223,5,0.0,0.0,0.0,5,,,,0
