run,dataset,model,posterior_sampler,comparison,posterior_num_clusters,posterior_largest_cluster_fraction,posterior_cluster_entropy_nats,posterior_cluster_entropy_normalized,posterior_effective_cluster_count,left_count,right_count,layer_ks_pvalue,layer_mmd_rbf,layer_sliced_wasserstein,hamming_overlap,hamming_cross_mean,logit_cka_hungarian_mean,hungarian_cost,activation_cka_hungarian_mean,activation_hungarian_cost,passes_layer_ks,passes_hamming_overlap,passes_logit_cka,passes_hungarian_cost,passes_activation_cka,passes_activation_hungarian_cost
runs/cifar10_resnet20_long30_rewind1_mode_ticket_distribution_lowrank128_laplace_r5_p0p3/20260506_120015,cifar10,resnet20,lowrank-laplace,chain_start_magnitude_vs_tickets,1,1.0,0.0,0.0,1.0,5,5,9.015623370506448e-05,0.9124988344075609,0.07052037808702216,0.0,0.24722255035142635,0.9384706460623621,0.0615293539376379,0.9217500013999379,0.0782499986000621,False,False,True,True,True,True
runs/cifar10_resnet20_long30_rewind1_mode_ticket_distribution_lowrank128_laplace_r5_p0p3/20260506_120015,cifar10,resnet20,lowrank-laplace,posterior_samples_vs_tickets,1,1.0,0.0,0.0,1.0,50,5,1.9819986687371347e-06,1.386110950197865,0.05274988401240281,0.8163265306122449,0.2524386923394956,0.9319135075776661,0.06808649242233404,0.909552069775731,0.090447930224269,False,True,True,True,True,True
runs/cifar10_resnet20_long30_rewind1_mode_ticket_distribution_lowrank128_laplace_r5_p0p3/20260506_120015,cifar10,resnet20,lowrank-laplace,posterior_modes_vs_tickets,1,1.0,0.0,0.0,1.0,1,5,0.13878570541679247,1.7166533567283584,0.051301588335406094,nan,0.25183243754060597,0.9288537647840113,0.07114623521598873,0.9023432886116357,0.09765671138836429,True,False,True,True,True,True
