base_source,variant,alpha,targets,rows,trained_accuracy_mean,trained_accuracy_std,trained_accuracy_ci95,trained_accuracy_n,accuracy_minus_imp_mean,accuracy_minus_imp_std,accuracy_minus_imp_ci95,accuracy_minus_imp_n,accuracy_minus_dense_mean,accuracy_minus_dense_std,accuracy_minus_dense_ci95,accuracy_minus_dense_n,mask_to_imp_jaccard_mean,mask_to_imp_jaccard_std,mask_to_imp_jaccard_ci95,mask_to_imp_jaccard_n,mask_to_base_jaccard_mean,mask_to_base_jaccard_std,mask_to_base_jaccard_ci95,mask_to_base_jaccard_n,swap_count_mean,swap_count_std,swap_count_ci95,swap_count_n,candidate_count_mean,candidate_count_std,candidate_count_ci95,candidate_count_n,source_vote_positive_count_mean,source_vote_positive_count_std,source_vote_positive_count_ci95,source_vote_positive_count_n,source_vote_max_mean,source_vote_max_std,source_vote_max_ci95,source_vote_max_n,selected_source_vote_mean_mean,selected_source_vote_mean_std,selected_source_vote_mean_ci95,selected_source_vote_mean_n,selected_source_vote_positive_fraction_mean,selected_source_vote_positive_fraction_std,selected_source_vote_positive_fraction_ci95,selected_source_vote_positive_fraction_n,added_imp_only_hits_mean,added_imp_only_hits_std,added_imp_only_hits_ci95,added_imp_only_hits_n,added_imp_only_precision_mean,added_imp_only_precision_std,added_imp_only_precision_ci95,added_imp_only_precision_n
epoch_10,base,0.0,5,5,0.87088,0.0011691877522451283,0.0010248382506522734,5,-0.023619999999999995,0.002675256997000487,0.0023449661490094155,5,-0.012359999999999993,0.003263127334322066,0.002860257219202474,5,0.23303912758246875,0.009288276667740262,0.008141533464973842,5,1.0,0.0,0.0,5,0.0,0.0,0.0,5,225367.0,0.0,0.0,5,,,,0,,,,0,,,,0,,,,0,0.0,0.0,0.0,5,,,,0
epoch_10,source_vote_random_residual,0.5,5,5,0.8727,0.0008514693182963371,0.0007463457643746778,5,-0.021799999999999976,0.0034669871646719618,0.0030389482391116993,5,-0.010539999999999971,0.0040562297765289225,0.0035554421609695613,5,0.26883449704190976,0.008718203718568091,0.007641842493312601,5,0.5255316957011988,0.007129489061454634,0.006249272697011464,5,14161.4,280.0228562099887,245.45085556176002,5,225367.0,0.0,0.0,5,41025.8,155.03128716488166,135.8909147220667,5,4.0,0.0,0.0,5,1.09331955909729,0.0027162995043247115,0.0023809414928562633,5,1.0,0.0,0.0,5,2084.0,70.3882092399004,61.697985704559265,5,0.14713481075270984,0.002606857474972396,0.0022850113245031596,5
epoch_10,source_vote_residual,0.5,5,5,0.86876,0.0022799122790142963,0.0019984312247360737,5,-0.025740000000000006,0.0047521574048004995,0.004165449622789858,5,-0.014480000000000003,0.004576789267597967,0.004011732673047888,5,0.2690915185790265,0.00828644466507307,0.0072633889966543935,5,0.5255316957011988,0.007129489061454634,0.006249272697011464,5,14161.4,280.0228562099887,245.45085556176002,5,225367.0,0.0,0.0,5,41025.8,155.03128716488166,135.8909147220667,5,4.0,0.0,0.0,5,1.2721269845962524,0.007729798805621773,0.006775467388052651,5,1.0,0.0,0.0,5,2098.8,90.89114368297936,79.66960012451423,5,0.14815333765112557,0.003586550773071361,0.003143750362670058,5
epoch_10,target_oracle_residual,0.5,5,5,0.88658,0.0031276189026158475,0.002741478841793233,5,-0.007920000000000016,0.0038074926132561308,0.0033374144243710577,5,0.0033399999999999875,0.004190226724176155,0.003672895664186504,5,0.5255316347042237,0.0071214372938632284,0.006242215011539487,5,0.5255316957011988,0.007129489061454634,0.006249272697011464,5,14161.4,280.0228562099887,245.45085556176002,5,,,,0,,,,0,,,,0,,,,0,,,,0,14161.4,280.0228562099887,245.45085556176002,5,1.0,0.0,0.0,5
epoch_10,target_random_residual,0.5,5,5,0.87142,0.001694697613145198,0.001485467953205327,5,-0.02308000000000001,0.002280789337049785,0.001999199999999999,5,-0.011820000000000008,0.0026864474683119823,0.0023547750295940992,5,0.2633117866405079,0.008456690956233288,0.00741261645039537,5,0.5255316957011988,0.007129489061454634,0.006249272697011464,5,14161.4,280.0228562099887,245.45085556176002,5,,,,0,,,,0,,,,0,,,,0,,,,0,1770.4,77.66788268003705,68.07890081368822,5,0.12497188102799686,0.0031339806261525224,0.002747055138335803,5
epoch_30,base,0.0,5,5,0.8808,0.002582634314029016,0.0022637787877794278,5,-0.013700000000000023,0.003525620512760866,0.0030903426347251768,5,-0.00244000000000002,0.0032791767259481397,0.002874325131226454,5,0.22768119927503064,0.011754686692193626,0.01030343717119918,5,1.0,0.0,0.0,5,0.0,0.0,0.0,5,225367.0,0.0,0.0,5,,,,0,,,,0,,,,0,,,,0,0.0,0.0,0.0,5,,,,0
epoch_30,source_vote_random_residual,0.5,5,5,0.8794,0.0018748333259252415,0.0016433638671943366,5,-0.015100000000000025,0.0027955321496988855,0.002450391968645028,5,-0.0038400000000000213,0.0030385851970941872,0.002663437358001862,5,0.26404291299950755,0.011115646546088995,0.00974329378603897,5,0.5214090702783007,0.009056489719817151,0.007938363247207356,5,14323.8,357.86897043471095,313.6859832125114,5,225367.0,0.0,0.0,5,41292.4,203.09062016745136,178.0167774565083,5,4.0,0.0,0.0,5,1.0943165063858031,0.0020632031143337577,0.0018084772666955048,5,1.0,0.0,0.0,5,2134.6,80.17667990132792,70.27795853608725,5,0.14899098225113347,0.0022276978961473203,0.0019526633002145204,5
epoch_30,source_vote_residual,0.5,5,5,0.87788,0.0018646715528478155,0.0016344566803681002,5,-0.01661999999999999,0.00145155089473295,0.001272340457582019,5,-0.005359999999999987,0.0019957454747537395,0.001749348038556085,5,0.26471426016896216,0.010923844298536716,0.009575171703443429,5,0.5214090702783007,0.009056489719817151,0.007938363247207356,5,14323.8,357.86897043471095,313.6859832125114,5,225367.0,0.0,0.0,5,41292.4,203.09062016745136,178.0167774565083,5,4.0,0.0,0.0,5,1.2716924905776978,0.009873106357498376,0.008654159290065069,5,1.0,0.0,0.0,5,2173.0,96.6385016440135,84.70738149653783,5,0.15165608435857186,0.003538176690565092,0.0031013486098314435,5
epoch_30,target_oracle_residual,0.5,5,5,0.88772,0.0026602631448787006,0.002331823458154569,5,-0.006780000000000008,0.0011691877522451728,0.0010248382506523124,5,0.004479999999999995,0.002643293400286851,0.0023169488211870403,5,0.5214191290997151,0.009045164251652242,0.007928436036663407,5,0.5214090702783007,0.009056489719817151,0.007938363247207356,5,14323.8,357.86897043471095,313.6859832125114,5,,,,0,,,,0,,,,0,,,,0,,,,0,14323.8,357.86897043471095,313.6859832125114,5,1.0,0.0,0.0,5
epoch_30,target_random_residual,0.5,5,5,0.87876,0.0021314314438893064,0.001868282034383471,5,-0.015739999999999976,0.0032183846880073207,0.0028210385605304976,5,-0.004479999999999973,0.00362863610741005,0.0031806397846974067,5,0.25802675438861616,0.010926311050993716,0.009577333907305014,5,0.5214090702783007,0.009056489719817151,0.007938363247207356,5,14323.8,357.86897043471095,313.6859832125114,5,,,,0,,,,0,,,,0,,,,0,,,,0,1790.2,94.16315627675189,82.53764561701526,5,0.12492707785461103,0.003908207320363122,0.003425694757489741,5
