base_source,unit,runs,rows,imp_only_share_mean,imp_only_share_std,imp_only_share_ci95,imp_only_share_n,base_only_share_mean,base_only_share_std,base_only_share_ci95,base_only_share_n,imp_only_enrichment_mean,imp_only_enrichment_std,imp_only_enrichment_ci95,imp_only_enrichment_n,base_only_enrichment_mean,base_only_enrichment_std,base_only_enrichment_ci95,base_only_enrichment_n,imp_only_density_mean,imp_only_density_std,imp_only_density_ci95,imp_only_density_n,base_only_density_mean,base_only_density_std,base_only_density_ci95,base_only_density_n,base_only_pruned_round_mean_mean,base_only_pruned_round_mean_std,base_only_pruned_round_mean_ci95,base_only_pruned_round_mean_n
epoch_10,head,5,5,0.0017406713611092647,0.0001487384820726936,0.00013037502785959325,5,0.0024089830095126506,0.0003362507662089971,0.00029473679172604505,5,0.736782670373524,0.06295728099931938,0.05518448991726933,5,1.019662283351467,0.14232654306711323,0.1247547155178417,5,0.0765625,0.006720566614877054,0.00589083636888685,5,0.1059375,0.014674196102342366,0.012862499999999995,5,3.4762621402740477,0.1467776972554382,0.1286563241884653,5
epoch_10,stage1,5,5,0.0543836607077276,0.002716287628156244,0.002380931082935621,5,0.12409739127308997,0.0052833433031699495,0.004631054591547664,5,1.0657057400955277,0.05322854841702931,0.04665687982081361,5,2.4318205227369054,0.10353273780783603,0.0907504459369137,5,0.11067708333333333,0.004287206883365775,0.0037579025217258665,5,0.2528211805555556,0.014804472668900158,0.012976692445409808,5,3.0668828010559084,0.017893692026593876,0.015684512602044672,5
epoch_10,stage2,5,5,0.2260496933036188,0.0031380363574981126,0.0027506101436027912,5,0.3569758261692401,0.0050783656027245765,0.0044513837152972266,5,1.1960147991636154,0.016603154240250217,0.014553306356668438,5,1.8887367852723138,0.026869315006165538,0.023551993026155398,5,0.12426953125,0.0023219444623904734,0.0020352740578906464,5,0.19624609375,0.003766073746277725,0.0033011091867420806,5,2.9350005626678466,0.03699771840457781,0.03242993003909216,5
epoch_10,stage3,5,5,0.7167975511719563,0.0055549655536986774,0.00486914199157008,5,0.5138386266338,0.008451275084332906,0.0074078692293665085,5,0.9481327608509682,0.007347743889818167,0.006440581489005721,5,0.6796720146513178,0.011178792066628139,0.009798643275187823,5,0.0985302734375,0.002493286655757482,0.002185462112269404,5,0.070623046875,0.0016355038597366963,0.0014335823406711374,5,2.961560297012329,0.05856486118180234,0.051334364192576684,5
epoch_10,stem,5,5,0.0010284234555879715,0.00018950097325335792,0.00016610492673477608,5,0.002679172914357246,0.00022016615695592403,0.00019298414537294702,5,0.6448976861688869,0.11883114733898527,0.1041600931313516,5,1.6800398745549083,0.13806048901558327,0.12101535427071722,5,0.06712962962962964,0.013196474827536324,0.011567220192872525,5,0.17453703703703705,0.014137436559817095,0.012392009516733983,5,3.1038442611694337,0.138151698979067,0.1210953033287186,5
epoch_30,head,5,5,0.0012271614245668138,0.0001637002486239879,0.00014348959447188652,5,0.0022838553646514575,0.000178884690096692,0.0001567993442585532,5,0.5194267519835181,0.06929022273631849,0.06073555810008777,5,0.9666988794728457,0.07571741720067726,0.06636924244103906,5,0.054375,0.007194290270763336,0.006306073461354538,5,0.10125,0.008515266620899194,0.007463960284259286,5,3.448923444747925,0.17193078333395884,0.15070397623213178,5
epoch_30,stage1,5,5,0.05709223769358149,0.002038704353338708,0.0017870031558753193,5,0.11175606102814653,0.0036327504335657563,0.003184246150579987,5,1.1187831902662364,0.03995058264627045,0.03501822966681139,5,2.1899790153559593,0.07118761295220116,0.06239869395308998,5,0.11710069444444444,0.0030357822214008207,0.0026609804414795203,5,0.22942708333333334,0.0120066419307196,0.010524285675126631,5,3.07141375541687,0.01469052971895287,0.012876817046207321,5
epoch_30,stage2,5,5,0.23008326427663767,0.0032977427517902956,0.002890598970401644,5,0.34390154601108075,0.006511715385292295,0.005707770194644764,5,1.2173561710836727,0.017448150790800473,0.015293978489959455,5,1.8195615860980023,0.034453079121369974,0.030199455364228297,5,0.12747265624999998,0.0032548873539665992,0.002853034557968904,5,0.19051171875,0.004466412980196518,0.0039149835914082795,5,2.9059562206268312,0.03766072722289862,0.033011082891771446,5
epoch_30,stage3,5,5,0.7104270401074312,0.00500039314170844,0.004383037839800853,5,0.539538091329769,0.008214406323478307,0.007200244606167835,5,0.9397062668796029,0.006614191897051995,0.0057975948176303286,5,0.7136655800237749,0.010865477614282113,0.00952401104898652,5,0.09840625,0.0025790925955625544,0.0022606743346661436,5,0.0747314453125,0.0020278432594537745,0.001777482987334526,5,2.857465648651123,0.06999896877997028,0.061356801398384425,5
epoch_30,stem,5,5,0.001170296497782801,0.00017564509010605797,0.00015395970966535877,5,0.0025204462663522905,0.00025888369662023844,0.00022692156521244,5,0.7338625927392816,0.11014248224391357,0.09654414238311809,5,1.5805065087263195,0.16233925435100957,0.14229663039303045,5,0.07685185185185185,0.011734992458922755,0.010286174414610686,5,0.16527777777777777,0.014511507424682846,0.01271989708657283,5,3.165404033660889,0.13139144414142265,0.11516967869873831,5
