base_source,runs,rows,test_auc_mean,test_auc_std,test_auc_ci95,test_auc_n,test_topk_recall_mean,test_topk_recall_std,test_topk_recall_ci95,test_topk_recall_n,test_topk_precision_mean,test_topk_precision_std,test_topk_precision_ci95,test_topk_precision_n,test_baseline_precision_mean,test_baseline_precision_std,test_baseline_precision_ci95,test_baseline_precision_n,test_topk_lift_mean,test_topk_lift_std,test_topk_lift_ci95,test_topk_lift_n,test_loss_mean,test_loss_std,test_loss_ci95,test_loss_n
epoch_2,1,1,0.9025334103283287,0.0,0.0,1,0.21052631578947367,0.0,0.0,1,0.21052631578947367,0.0,0.0,1,0.01870308847053033,0.0,0.0,1,11.25623268698061,0.0,0.0,1,0.7583251595497131,0.0,0.0,1
traj_rms_abs,1,1,0.8744539451644684,0.0,0.0,1,0.27247191011235955,0.0,0.0,1,0.27247191011235955,0.0,0.0,1,0.021902300972068415,0.0,0.0,1,12.440332660017674,0.0,0.0,1,0.7481520175933838,0.0,0.0,1
