base_source,variant,alpha,num_rows,num_seeds,trained_accuracy,trained_accuracy_std,trained_accuracy_ci95_low,trained_accuracy_ci95_high,accuracy_minus_imp,accuracy_minus_imp_std,accuracy_minus_imp_ci95_low,accuracy_minus_imp_ci95_high,accuracy_minus_dense,accuracy_minus_dense_std,accuracy_minus_dense_ci95_low,accuracy_minus_dense_ci95_high,mask_to_imp_jaccard,mask_to_imp_jaccard_std,mask_to_imp_jaccard_ci95_low,mask_to_imp_jaccard_ci95_high,mask_to_base_jaccard,mask_to_base_jaccard_std,mask_to_base_jaccard_ci95_low,mask_to_base_jaccard_ci95_high,mask_to_dense_final_magnitude_jaccard,mask_to_dense_final_magnitude_jaccard_std,mask_to_dense_final_magnitude_jaccard_ci95_low,mask_to_dense_final_magnitude_jaccard_ci95_high,mask_to_rewind_magnitude_jaccard,mask_to_rewind_magnitude_jaccard_std,mask_to_rewind_magnitude_jaccard_ci95_low,mask_to_rewind_magnitude_jaccard_ci95_high,mask_sparsity,mask_sparsity_std,mask_sparsity_ci95_low,mask_sparsity_ci95_high,swap_count,swap_count_std,swap_count_ci95_low,swap_count_ci95_high,base_only_count,base_only_count_std,base_only_count_ci95_low,base_only_count_ci95_high,imp_only_count,imp_only_count_std,imp_only_count_ci95_low,imp_only_count_ci95_high,dense_accuracy,dense_accuracy_std,dense_accuracy_ci95_low,dense_accuracy_ci95_high,imp_accuracy,imp_accuracy_std,imp_accuracy_ci95_low,imp_accuracy_ci95_high
epoch_2,imp_residual,0.0,1.0,1.0,0.109375,0.0,0.109375,0.109375,0.005859375,0.0,0.005859375,0.005859375,0.013671875,0.0,0.013671875,0.013671875,0.9839818370144069,0.0,0.9839818370144069,0.9839818370144069,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9913363997227648,0.0,0.9913363997227648,0.9913363997227648,0.3000007382907094,0.0,0.3000007382907094,0.3000007382907094,0.0,0.0,0.0,0.0,1531.0,0.0,1531.0,1531.0,1531.0,0.0,1531.0,1531.0,0.095703125,0.0,0.095703125,0.095703125,0.103515625,0.0,0.103515625,0.103515625
epoch_2,imp_residual,0.5,1.0,1.0,0.09375,0.0,0.09375,0.09375,-0.009765625,0.0,-0.009765625,-0.009765625,-0.001953125,0.0,-0.001953125,-0.001953125,0.9919639480650447,0.0,0.9919639480650447,0.9919639480650447,0.9919534856848728,0.0,0.9919534856848728,0.9919534856848728,0.9919534856848728,0.0,0.9919534856848728,0.9919534856848728,0.9860805630616477,0.0,0.9860805630616477,0.9860805630616477,0.3000007382907094,0.0,0.3000007382907094,0.3000007382907094,766.0,0.0,766.0,766.0,1531.0,0.0,1531.0,1531.0,1531.0,0.0,1531.0,1531.0,0.095703125,0.0,0.095703125,0.095703125,0.103515625,0.0,0.103515625,0.103515625
epoch_2,imp_residual,1.0,1.0,1.0,0.095703125,0.0,0.095703125,0.095703125,-0.0078125,0.0,-0.0078125,-0.0078125,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.9839818370144069,0.0,0.9839818370144069,0.9839818370144069,0.9839818370144069,0.0,0.9839818370144069,0.9839818370144069,0.9798700112239305,0.0,0.9798700112239305,0.9798700112239305,0.3000007382907094,0.0,0.3000007382907094,0.3000007382907094,1531.0,0.0,1531.0,1531.0,1531.0,0.0,1531.0,1531.0,1531.0,0.0,1531.0,1531.0,0.095703125,0.0,0.095703125,0.095703125,0.103515625,0.0,0.103515625,0.103515625
epoch_2,random_residual,0.5,1.0,1.0,0.09375,0.0,0.09375,0.09375,-0.009765625,0.0,-0.009765625,-0.009765625,-0.001953125,0.0,-0.001953125,-0.001953125,0.9839818370144069,0.0,0.9839818370144069,0.9839818370144069,0.9919534856848728,0.0,0.9919534856848728,0.9919534856848728,0.9919534856848728,0.0,0.9919534856848728,0.9919534856848728,0.9848540356092405,0.0,0.9848540356092405,0.9848540356092405,0.3000007382907094,0.0,0.3000007382907094,0.3000007382907094,766.0,0.0,766.0,766.0,1531.0,0.0,1531.0,1531.0,1531.0,0.0,1531.0,1531.0,0.095703125,0.0,0.095703125,0.095703125,0.103515625,0.0,0.103515625,0.103515625
epoch_2,random_residual,1.0,1.0,1.0,0.11328125,0.0,0.11328125,0.11328125,0.009765625,0.0,0.009765625,0.009765625,0.017578125,0.0,0.017578125,0.017578125,0.9839818370144069,0.0,0.9839818370144069,0.9839818370144069,0.9839818370144069,0.0,0.9839818370144069,0.9839818370144069,0.9839818370144069,0.0,0.9839818370144069,0.9839818370144069,0.9776812485985598,0.0,0.9776812485985598,0.9776812485985598,0.3000007382907094,0.0,0.3000007382907094,0.3000007382907094,1531.0,0.0,1531.0,1531.0,1531.0,0.0,1531.0,1531.0,1531.0,0.0,1531.0,1531.0,0.095703125,0.0,0.095703125,0.095703125,0.103515625,0.0,0.103515625,0.103515625
traj_rms_abs,imp_residual,0.0,1.0,1.0,0.09375,0.0,0.09375,0.09375,-0.009765625,0.0,-0.009765625,-0.009765625,-0.001953125,0.0,-0.001953125,-0.001953125,0.9801077626715118,0.0,0.9801077626715118,0.9801077626715118,1.0,0.0,1.0,1.0,0.9917338010860546,0.0,0.9917338010860546,0.9917338010860546,0.9964099216710183,0.0,0.9964099216710183,0.9964099216710183,0.3000007382907094,0.0,0.3000007382907094,0.3000007382907094,0.0,0.0,0.0,0.0,1905.0,0.0,1905.0,1905.0,1905.0,0.0,1905.0,1905.0,0.095703125,0.0,0.095703125,0.095703125,0.103515625,0.0,0.103515625,0.103515625
traj_rms_abs,imp_residual,0.5,1.0,1.0,0.115234375,0.0,0.115234375,0.115234375,0.01171875,0.0,0.01171875,0.01171875,0.01953125,0.0,0.01953125,0.01953125,0.9899989505719383,0.0,0.9899989505719383,0.9899989505719383,0.9900093924304356,0.0,0.9900093924304356,0.9900093924304356,0.9904480494602098,0.0,0.9904480494602098,0.9904480494602098,0.9887571513222408,0.0,0.9887571513222408,0.9887571513222408,0.3000007382907094,0.0,0.3000007382907094,0.3000007382907094,952.0,0.0,952.0,952.0,1905.0,0.0,1905.0,1905.0,1905.0,0.0,1905.0,1905.0,0.095703125,0.0,0.095703125,0.095703125,0.103515625,0.0,0.103515625,0.103515625
traj_rms_abs,imp_residual,1.0,1.0,1.0,0.095703125,0.0,0.095703125,0.095703125,-0.0078125,0.0,-0.0078125,-0.0078125,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.9801077626715118,0.0,0.9801077626715118,0.9801077626715118,0.9839818370144069,0.0,0.9839818370144069,0.9839818370144069,0.9798700112239305,0.0,0.9798700112239305,0.9798700112239305,0.3000007382907094,0.0,0.3000007382907094,0.3000007382907094,1905.0,0.0,1905.0,1905.0,1905.0,0.0,1905.0,1905.0,1905.0,0.0,1905.0,1905.0,0.095703125,0.0,0.095703125,0.095703125,0.103515625,0.0,0.103515625,0.103515625
traj_rms_abs,random_residual,0.5,1.0,1.0,0.123046875,0.0,0.123046875,0.123046875,0.01953125,0.0,0.01953125,0.01953125,0.02734375,0.0,0.02734375,0.02734375,0.9801077626715118,0.0,0.9801077626715118,0.9801077626715118,0.9900093924304356,0.0,0.9900093924304356,0.9900093924304356,0.9866319544480705,0.0,0.9866319544480705,0.9866319544480705,0.9878502615495895,0.0,0.9878502615495895,0.9878502615495895,0.3000007382907094,0.0,0.3000007382907094,0.3000007382907094,952.0,0.0,952.0,952.0,1905.0,0.0,1905.0,1905.0,1905.0,0.0,1905.0,1905.0,0.095703125,0.0,0.095703125,0.095703125,0.103515625,0.0,0.103515625,0.103515625
traj_rms_abs,random_residual,1.0,1.0,1.0,0.09765625,0.0,0.09765625,0.09765625,-0.005859375,0.0,-0.005859375,-0.005859375,0.001953125,0.0,0.001953125,0.001953125,0.9801077626715118,0.0,0.9801077626715118,0.9801077626715118,0.9801077626715118,0.0,0.9801077626715118,0.9801077626715118,0.9779700530408524,0.0,0.9779700530408524,0.9779700530408524,0.9781557575852411,0.0,0.9781557575852411,0.9781557575852411,0.3000007382907094,0.0,0.3000007382907094,0.3000007382907094,1905.0,0.0,1905.0,1905.0,1905.0,0.0,1905.0,1905.0,1905.0,0.0,1905.0,1905.0,0.095703125,0.0,0.095703125,0.095703125,0.103515625,0.0,0.103515625,0.103515625
