sgld_lr,num_runs,dense_accuracy,dense_accuracy_std,imp_accuracy,imp_accuracy_std,posterior_jaccard_mean,posterior_jaccard_mean_std,random_jaccard_mean,random_jaccard_mean_std,chain_start_magnitude_to_imp_jaccard,chain_start_magnitude_to_imp_jaccard_std,posterior_minus_chain_start_jaccard,posterior_minus_chain_start_jaccard_std,posterior_to_chain_start_magnitude_jaccard_mean,posterior_to_chain_start_magnitude_jaccard_mean_std,dense_magnitude_to_imp_jaccard,dense_magnitude_to_imp_jaccard_std,initial_magnitude_to_imp_jaccard,initial_magnitude_to_imp_jaccard_std,rewind_magnitude_to_imp_jaccard,rewind_magnitude_to_imp_jaccard_std,snip_to_imp_jaccard,snip_to_imp_jaccard_std,synflow_to_imp_jaccard,synflow_to_imp_jaccard_std,sample_accuracy_mean,sample_accuracy_mean_std,sample_to_dense_prediction_agreement_mean,sample_to_dense_prediction_agreement_mean_std,sample_to_imp_prediction_agreement_mean,sample_to_imp_prediction_agreement_mean_std,state_num_clusters,state_num_clusters_std,function_num_clusters,function_num_clusters_std
1e-10,1.0,0.8225,0.0,0.8645,0.0,0.17090194862302704,0.0,0.09178516145138314,0.0,0.17065206212074463,0.0,0.0002498865022824148,0.0,0.9849578114784162,0.0,0.17065206212074463,0.0,0.1964156670039023,0.0,nan,0.0,0.1500126294518818,0.0,0.17212882630074916,0.0,0.82446,0.0,0.9798900008201599,0.0,0.8639900028705597,0.0,6.0,0.0,3.0,0.0
3e-10,1.0,0.8225,0.0,0.8645,0.0,0.17063400610068213,0.0,0.09178359074736714,0.0,0.17065206212074463,0.0,-1.8056020062495737e-05,0.0,0.9743048754630081,0.0,0.17065206212074463,0.0,0.1964156670039023,0.0,nan,0.0,0.1500126294518818,0.0,0.17212882630074916,0.0,0.8242,0.0,0.9792500019073487,0.0,0.8636000037193299,0.0,6.0,0.0,1.0,0.0
1e-09,1.0,0.8225,0.0,0.8645,0.0,0.17092153723102374,0.0,0.09179486042989424,0.0,0.17065206212074463,0.0,0.0002694751102791104,0.0,0.9539108286864575,0.0,0.17065206212074463,0.0,0.1964156670039023,0.0,nan,0.0,0.1500126294518818,0.0,0.17212882630074916,0.0,0.82393,0.0,0.9794200003147125,0.0,0.8628699958324433,0.0,6.0,0.0,1.0,0.0
3e-09,1.0,0.8225,0.0,0.8645,0.0,0.1701466179397458,0.0,0.09179433629647976,0.0,0.17065206212074463,0.0,-0.0005054441809988208,0.0,0.9223331647545345,0.0,0.17065206212074463,0.0,0.1964156670039023,0.0,nan,0.0,0.1500126294518818,0.0,0.17212882630074916,0.0,0.82527,0.0,0.9744599997997284,0.0,0.8643300056457519,0.0,6.0,0.0,3.0,0.0
1e-08,1.0,0.8225,0.0,0.8645,0.0,0.16991814638565178,0.0,0.09178898096628371,0.0,0.17065206212074463,0.0,-0.0007339157350928494,0.0,0.8599804687540724,0.0,0.17065206212074463,0.0,0.1964156670039023,0.0,nan,0.0,0.1500126294518818,0.0,0.17212882630074916,0.0,0.8229899999999999,0.0,0.9620599985122681,0.0,0.862550002336502,0.0,6.0,0.0,2.0,0.0
3e-08,1.0,0.8225,0.0,0.8645,0.0,0.1687334812251068,0.0,0.09176429653531341,0.0,0.17065206212074463,0.0,-0.001918580895637817,0.0,0.7715527776136042,0.0,0.17065206212074463,0.0,0.1964156670039023,0.0,nan,0.0,0.1500126294518818,0.0,0.17212882630074916,0.0,0.8236699999999999,0.0,0.9493100047111511,0.0,0.861899995803833,0.0,6.0,0.0,3.0,0.0
1e-07,1.0,0.8225,0.0,0.8645,0.0,0.16340302533414033,0.0,0.09176048454283378,0.0,0.17065206212074463,0.0,-0.007249036786604296,0.0,0.6282645218459226,0.0,0.17065206212074463,0.0,0.1964156670039023,0.0,nan,0.0,0.1500126294518818,0.0,0.17212882630074916,0.0,0.8150599999999999,0.0,0.9266099989414215,0.0,0.8515800058841705,0.0,6.0,0.0,2.0,0.0
