run,dataset,model,posterior_sampler,comparison,posterior_num_clusters,posterior_largest_cluster_fraction,posterior_cluster_entropy_nats,posterior_cluster_entropy_normalized,posterior_effective_cluster_count,left_count,right_count,layer_ks_pvalue,layer_mmd_rbf,layer_sliced_wasserstein,hamming_overlap,hamming_cross_mean,logit_cka_hungarian_mean,hungarian_cost,activation_cka_hungarian_mean,activation_hungarian_cost,passes_layer_ks,passes_hamming_overlap,passes_logit_cka,passes_hungarian_cost,passes_activation_cka,passes_activation_hungarian_cost
runs/cifar10_resnet20_long30_rewind1_mode_ticket_distribution_sgld_bn_freeze_r5_p0p3/20260517_014635,cifar10,resnet20,sgld,chain_start_magnitude_vs_tickets,1,1.0,0.0,0.0,1.0,5,5,2.5267925270212784e-05,0.9199977852302708,0.07560831043219181,0.0,0.24705569665111335,0.9386462552309368,0.06135374476906323,0.9217333177592926,0.07826668224070747,False,False,True,True,True,True
runs/cifar10_resnet20_long30_rewind1_mode_ticket_distribution_sgld_bn_freeze_r5_p0p3/20260517_014635,cifar10,resnet20,sgld,posterior_samples_vs_tickets,0,0.0,0.0,0.0,0.0,50,5,4.123850280079496e-159,0.7827225796829351,0.2992686136724174,0.0,0.1680681885299155,0.0,1.0,0.0,1.0,False,False,False,False,False,False
runs/cifar10_resnet20_long30_rewind1_mode_ticket_distribution_sgld_bn_freeze_r5_p0p3/20260517_014635,cifar10,resnet20,sgld,posterior_modes_vs_tickets,0,0.0,0.0,0.0,0.0,0,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,False,False,False,False,False
