sgld_lr,num_runs,dense_accuracy,dense_accuracy_std,imp_accuracy,imp_accuracy_std,posterior_jaccard_mean,posterior_jaccard_mean_std,random_jaccard_mean,random_jaccard_mean_std,chain_start_magnitude_to_imp_jaccard,chain_start_magnitude_to_imp_jaccard_std,posterior_minus_chain_start_jaccard,posterior_minus_chain_start_jaccard_std,posterior_to_chain_start_magnitude_jaccard_mean,posterior_to_chain_start_magnitude_jaccard_mean_std,dense_magnitude_to_imp_jaccard,dense_magnitude_to_imp_jaccard_std,initial_magnitude_to_imp_jaccard,initial_magnitude_to_imp_jaccard_std,rewind_magnitude_to_imp_jaccard,rewind_magnitude_to_imp_jaccard_std,snip_to_imp_jaccard,snip_to_imp_jaccard_std,synflow_to_imp_jaccard,synflow_to_imp_jaccard_std,sample_accuracy_mean,sample_accuracy_mean_std,sample_to_dense_prediction_agreement_mean,sample_to_dense_prediction_agreement_mean_std,sample_to_imp_prediction_agreement_mean,sample_to_imp_prediction_agreement_mean_std,state_num_clusters,state_num_clusters_std,function_num_clusters,function_num_clusters_std
1e-10,1.0,0.8839,0.0,0.8983,0.0,0.14921146160192175,0.0,0.09190736903181966,0.0,0.14921436233987506,0.0,-2.9007379533096955e-06,0.0,0.9999033635089228,0.0,0.14921436233987506,0.0,0.15814509564509566,0.0,0.18400145630436762,0.0,0.13104287772643713,0.0,0.1749570962205964,0.0,0.88392,0.0,0.9998799920082092,0.0,0.8936399936676025,0.0,1.0,0.0,1.0,0.0
1e-08,1.0,0.8839,0.0,0.8983,0.0,0.14920566129753313,0.0,0.09191364838436247,0.0,0.14921436233987506,0.0,-8.701042341935361e-06,0.0,0.999209616138371,0.0,0.14921436233987506,0.0,0.15814509564509566,0.0,0.18400145630436762,0.0,0.13104287772643713,0.0,0.1749570962205964,0.0,0.8839400000000002,0.0,0.9998399972915649,0.0,0.8936599969863892,0.0,1.0,0.0,1.0,0.0
1e-06,1.0,0.8839,0.0,0.8983,0.0,0.1492143711260658,0.0,0.09194294782777368,0.0,0.14921436233987506,0.0,8.78619074717868e-09,0.0,0.9935633887474123,0.0,0.14921436233987506,0.0,0.15814509564509566,0.0,0.18400145630436762,0.0,0.13104287772643713,0.0,0.1749570962205964,0.0,0.88398,0.0,0.9993399977684021,0.0,0.8937199831008911,0.0,1.0,0.0,1.0,0.0
0.0001,1.0,0.8839,0.0,0.8983,0.0,0.1493885206650929,0.0,0.09193508526040628,0.0,0.14921436233987506,0.0,0.00017415832521783248,0.0,0.9345808952874938,0.0,0.14921436233987506,0.0,0.15814509564509566,0.0,0.18400145630436762,0.0,0.13104287772643713,0.0,0.1749570962205964,0.0,0.88422,0.0,0.9943600058555603,0.0,0.8938599944114685,0.0,1.0,0.0,1.0,0.0
0.01,1.0,0.8839,0.0,0.8983,0.0,0.1329711257899577,0.0,0.09193482349837401,0.0,0.14921436233987506,0.0,-0.016243236549917356,0.0,0.48630837187460046,0.0,0.14921436233987506,0.0,0.15814509564509566,0.0,0.18400145630436762,0.0,0.13104287772643713,0.0,0.1749570962205964,0.0,0.87056,0.0,0.9378200173377991,0.0,0.8802000045776367,0.0,1.0,0.0,1.0,0.0
