scope,dense_accuracy,imp_accuracy,imp_sparsity,posterior_sample_accuracy_mean,posterior_to_chain_start_hamming_mean
seed_0,0.773200,0.786900,0.831932,0.730690,0.061515
seed_1,0.774100,0.792500,0.831932,0.731150,0.062048
seed_2,0.792100,0.793400,0.831932,0.745850,0.059811
seed_3,0.786000,0.794800,0.831932,0.744570,0.061265
seed_4,0.778300,0.787200,0.831932,0.738400,0.061236
mean,0.780740,0.790960,0.831932,0.738132,0.061175
std,0.008118,0.003664,0.000000,0.007163,0.000829
