source,num_runs,dataset,ood_dataset,id_accuracy,id_accuracy_std,id_nll,id_nll_std,id_brier,id_brier_std,id_ece,id_ece_std,id_confidence,id_confidence_std,ood_msp_auroc,ood_msp_auroc_std,ood_msp_aupr,ood_msp_aupr_std,ood_msp_fpr95,ood_msp_fpr95_std,ood_entropy_auroc,ood_entropy_auroc_std,ood_entropy_aupr,ood_entropy_aupr_std,ood_entropy_fpr95,ood_entropy_fpr95_std,ood_id_msp,ood_id_msp_std,ood_ood_msp,ood_ood_msp_std,ood_id_entropy,ood_id_entropy_std,ood_ood_entropy,ood_ood_entropy_std,delta_id_nll_vs_dense,delta_id_ece_vs_dense,delta_ood_msp_auroc_vs_dense,delta_ood_entropy_auroc_vs_dense
dense,1,cifar10,cifar100,0.8866000175476074,0.0,0.34869253635406494,0.0,0.16688884794712067,0.0,0.03741355096250772,0.0,0.9239212870597839,0.0,0.83141102,0.0,0.8562328439975948,0.0,0.7348,0.0,0.841304535,0.0,0.8611200797746411,0.0,0.6865,0.0,0.9239212870597839,0.0,0.727076530456543,0.0,0.21544893085956573,0.0,0.7589685320854187,0.0,0.0,0.0,0.0,0.0
imp,1,cifar10,cifar100,0.896399974822998,0.0,0.33671998977661133,0.0,0.15708331763744354,0.0,0.03787138963639736,0.0,0.9338725805282593,0.0,0.830740985,0.0,0.8558944006072187,0.0,0.7498,0.0,0.83925529,0.0,0.8601325440060714,0.0,0.6936,0.0,0.9338724613189697,0.0,0.7537305951118469,0.0,0.18436230719089508,0.0,0.680990993976593,0.0,-0.011972546577453613,0.0004578386738896337,-0.0006700349999999577,-0.002049245000000033
swag_member_mean,1,cifar10,cifar100,0.854090005159378,0.0,0.5043005406856537,0.0,0.2216336250305176,0.0,0.06826740703716874,0.0,0.9222799062728881,0.0,0.8056915400000001,0.0,0.8340211091730675,0.0,0.78544,0.0,0.8160778605000001,0.0,0.8390626438006688,0.0,0.7310000000000001,0.0,0.9222799301147461,0.0,0.7552205681800842,0.0,0.21440034359693527,0.0,0.6773634731769562,0.0,0.15560800433158872,0.03085385607466102,-0.025719479999999906,-0.025226674499999935
swag_ensemble,1,cifar10,cifar100,0.8677999973297119,0.0,0.40868690609931946,0.0,0.191910982131958,0.0,0.03345885393172503,0.0,0.9012590050697327,0.0,0.8180747800000001,0.0,0.844436369691272,0.0,0.7497,0.0,0.83190153,0.0,0.8516483078884155,0.0,0.69,0.0,0.9012588858604431,0.0,0.6955899596214294,0.0,0.27125075459480286,0.0,0.824895977973938,0.0,0.05999436974525452,-0.003954697030782696,-0.013336239999999888,-0.00940300500000002
gem_miner,1,cifar10,cifar100,0.8402000069618225,0.0,0.475222110748291,0.0,0.23032814264297485,0.0,0.02987072651088238,0.0,0.8691210150718689,0.0,0.78171282,0.0,0.8121656404191941,0.0,0.8044,0.0,0.79554468,0.0,0.8196811878249615,0.0,0.7727,0.0,0.8691210150718689,0.0,0.6778852343559265,0.0,0.3721572160720825,0.0,0.8968658447265625,0.0,0.12652957439422607,-0.007542824451625345,-0.049698200000000026,-0.045759855000000016
learned_random_0,1,cifar10,cifar100,0.84579998254776,0.0,0.46742159128189087,0.0,0.22697114944458008,0.0,0.029345366644859313,0.0,0.8695124983787537,0.0,0.789416075,0.0,0.8172496175942592,0.0,0.7884,0.0,0.8021162000000001,0.0,0.8245049717926423,0.0,0.7621,0.0,0.8695124983787537,0.0,0.6676983833312988,0.0,0.37247583270072937,0.0,0.9204626083374023,0.0,0.11872905492782593,-0.00806818431764841,-0.041994945000000006,-0.03918833499999996
variational_prune,1,cifar10,cifar100,0.8306000232696533,0.0,0.505470871925354,0.0,0.24480795860290527,0.0,0.022751381649821996,0.0,0.8522421717643738,0.0,0.772295495,0.0,0.8022689225269338,0.0,0.8145,0.0,0.787361905,0.0,0.8106559270572542,0.0,0.7861,0.0,0.852242112159729,0.0,0.6600895524024963,0.0,0.4181640148162842,0.0,0.9441681504249573,0.0,0.15677833557128906,-0.014662169312685727,-0.05911552499999995,-0.05394262999999999
