base_source,runs,rows,test_auc_mean,test_auc_std,test_auc_ci95,test_auc_n,test_topk_recall_mean,test_topk_recall_std,test_topk_recall_ci95,test_topk_recall_n,test_topk_precision_mean,test_topk_precision_std,test_topk_precision_ci95,test_topk_precision_n,test_baseline_precision_mean,test_baseline_precision_std,test_baseline_precision_ci95,test_baseline_precision_n,test_topk_lift_mean,test_topk_lift_std,test_topk_lift_ci95,test_topk_lift_n,test_loss_mean,test_loss_std,test_loss_ci95,test_loss_n
epoch_10,5,5,0.6205676391682217,0.011876272266903314,0.010410011626371802,5,0.2205808195132685,0.006916970332751073,0.0060629918180532495,5,0.2205808195132685,0.006916970332751073,0.0060629918180532495,5,0.1250194129523218,0.002433972143629512,0.002133470650050616,5,1.7657197810189134,0.08826053252218086,0.07736376777637152,5,0.6690394043922424,0.009245099106147464,0.008103686663546762,5
epoch_30,5,5,0.6196887595753279,0.007242357182615676,0.006348205967243703,5,0.2175194981193254,0.00485912517920188,0.00425921101105549,5,0.2175194981193254,0.00485912517920188,0.00425921101105549,5,0.12576487032147848,0.0028523159362250027,0.0025001651520683834,5,1.7303283173287347,0.056664013466274074,0.049668197707512504,5,0.6704553484916687,0.0037639727165213327,0.003299267552961728,5
traj_rms_abs,5,5,0.6164542574602448,0.010519694402575691,0.009220918700379846,5,0.208715612364589,0.0070949015026941275,0.006218955365046274,5,0.208715612364589,0.0070949015026941275,0.006218955365046274,5,0.12261442548754244,0.0027111992134071037,0.002376470890755119,5,1.7032907409170832,0.08103788488245231,0.07103283798518663,5,0.6720882773399353,0.005601057098699832,0.004909543012071824,5
