source_kind,source,group,num_runs,group_jaccard,group_jaccard_std,group_jaccard_ci95_low,group_jaccard_ci95_high,kept,kept_std,kept_ci95_low,kept_ci95_high,imp_kept,imp_kept_std,imp_kept_ci95_low,imp_kept_ci95_high,total,total_std,total_ci95_low,total_ci95_high
aggregate,traj_initial_rms_movement,head,5.0,0.7948444091020892,0.0151379445673931,0.7760481683259529,0.8136406498782255,575.8,6.572670690061994,567.6389514321008,583.9610485678991,524.8,6.260990336999411,517.0259537054461,532.5740462945538,640.0,0.0,640.0,640.0
aggregate,traj_initial_rms_movement,stage1,5.0,0.3204378048817024,0.010279292691967907,0.3076743772190868,0.33320123254431805,7923.2,468.41295883013316,7341.588492728521,8504.811507271479,4688.4,186.31773935940723,4457.055970810711,4919.744029189288,13824.0,0.0,13824.0,13824.0
aggregate,traj_initial_rms_movement,stage2,5.0,0.2042647984890674,0.01011640985843314,0.1917036165767773,0.21682598040135748,16367.4,361.487620811557,15918.553835441955,16816.246164558044,12366.2,179.22806699844753,12143.658961740375,12588.741038259626,51200.0,0.0,51200.0,51200.0
aggregate,traj_initial_rms_movement,stage3,5.0,0.11377621681571282,0.007933012576494305,0.10392608070218214,0.1236263529292435,20267.8,589.8315013628892,19535.427459751223,21000.172540248775,27642.6,271.65842523286483,27305.29151357962,27979.908486420376,204800.0,0.0,204800.0,204800.0
aggregate,traj_initial_rms_movement,stem,5.0,0.669887446575834,0.0316291970068026,0.6306146113603929,0.7091602817912751,394.8,10.232301793829187,382.0949192438465,407.5050807561535,307.0,12.609520212918492,291.3432127169964,322.6567872830036,432.0,0.0,432.0,432.0
aggregate,traj_max_abs,head,5.0,0.8194668596473645,0.013066100708389965,0.803243152800852,0.8356905664938771,594.2,6.978538528947161,585.5349999485285,602.8650000514716,524.8,6.260990336999411,517.0259537054461,532.5740462945538,640.0,0.0,640.0,640.0
aggregate,traj_max_abs,stage1,5.0,0.37289389456719507,0.007700987295138345,0.3633318558921972,0.38245593324219296,9199.2,397.79919557485283,8705.267060340288,9693.132939659714,4688.4,186.31773935940723,4457.055970810711,4919.744029189288,13824.0,0.0,13824.0,13824.0
aggregate,traj_max_abs,stage2,5.0,0.2715132516518957,0.01202899406952197,0.25657728278116365,0.2864492205226278,17664.4,388.14855403569396,17182.44991449903,18146.350085500973,12366.2,179.22806699844753,12143.658961740375,12588.741038259626,51200.0,0.0,51200.0,51200.0
aggregate,traj_max_abs,stage3,5.0,0.16108566271863,0.01076647510408113,0.1477173181943353,0.1744540072429247,17651.4,619.4943906122153,16882.19611808763,18420.60388191237,27642.6,271.65842523286483,27305.29151357962,27979.908486420376,204800.0,0.0,204800.0,204800.0
aggregate,traj_max_abs,stem,5.0,0.7188779811584545,0.023753812659793514,0.689383727158712,0.748372235158197,419.8,5.890670590009257,412.4857664031078,427.11423359689223,307.0,12.609520212918492,291.3432127169964,322.6567872830036,432.0,0.0,432.0,432.0
aggregate,traj_mean_abs,head,5.0,0.8125889053529647,0.020687790325884456,0.7869016209029258,0.8382761898030036,566.4,10.261578825892242,553.6585670071595,579.1414329928405,524.8,6.260990336999411,517.0259537054461,532.5740462945538,640.0,0.0,640.0,640.0
aggregate,traj_mean_abs,stage1,5.0,0.38274858274932644,0.008005320979310303,0.3728086638952515,0.39268850160340135,7840.4,300.4260308295538,7467.371813395688,8213.428186604311,4688.4,186.31773935940723,4457.055970810711,4919.744029189288,13824.0,0.0,13824.0,13824.0
aggregate,traj_mean_abs,stage2,5.0,0.2745994742464239,0.012642681882375075,0.25890151131233574,0.29029743718051204,16663.0,270.7332635639736,16326.840253516402,16999.159746483598,12366.2,179.22806699844753,12143.658961740375,12588.741038259626,51200.0,0.0,51200.0,51200.0
