run,dataset,model,posterior_sampler,comparison,posterior_num_clusters,posterior_largest_cluster_fraction,posterior_cluster_entropy_nats,posterior_cluster_entropy_normalized,posterior_effective_cluster_count,left_count,right_count,layer_ks_pvalue,layer_mmd_rbf,layer_sliced_wasserstein,hamming_overlap,hamming_cross_mean,logit_cka_hungarian_mean,hungarian_cost,activation_cka_hungarian_mean,activation_hungarian_cost,passes_layer_ks,passes_hamming_overlap,passes_logit_cka,passes_hungarian_cost,passes_activation_cka,passes_activation_hungarian_cost
runs/cifar100_resnet20_long30_rewind1_mode_ticket_distribution_sgld_r5_p0p3/20260524_225916,cifar100,resnet20,sgld,chain_start_magnitude_vs_tickets,1,1.0,0.0,0.0,1.0,5,5,0.0009050458702003856,0.9060930977651163,0.05129971862090889,1.0,0.25202995778150483,0.8913214148545873,0.10867858514541269,0.8442027608519324,0.15579723914806773,False,True,True,True,False,True
runs/cifar100_resnet20_long30_rewind1_mode_ticket_distribution_sgld_r5_p0p3/20260524_225916,cifar100,resnet20,sgld,posterior_samples_vs_tickets,1,1.0,0.0,0.0,1.0,50,5,1.3376645811638738e-06,1.1576458834073922,0.04905691843989067,0.8163265306122449,0.2524180209357469,0.8858242648295451,0.11417573517045469,0.8375463699980736,0.16245363000192642,False,True,True,True,False,True
runs/cifar100_resnet20_long30_rewind1_mode_ticket_distribution_sgld_r5_p0p3/20260524_225916,cifar100,resnet20,sgld,posterior_modes_vs_tickets,1,1.0,0.0,0.0,1.0,1,5,0.11527620006709394,1.4766561885394596,0.0473263923588278,nan,0.2523017754901394,0.8832851265081756,0.11671487349182441,0.8326772953759364,0.16732270462406362,True,False,True,True,False,True
