base_source,unit,runs,rows,imp_only_share_mean,imp_only_share_std,imp_only_share_ci95,imp_only_share_n,base_only_share_mean,base_only_share_std,base_only_share_ci95,base_only_share_n,imp_only_enrichment_mean,imp_only_enrichment_std,imp_only_enrichment_ci95,imp_only_enrichment_n,base_only_enrichment_mean,base_only_enrichment_std,base_only_enrichment_ci95,base_only_enrichment_n,imp_only_density_mean,imp_only_density_std,imp_only_density_ci95,imp_only_density_n,base_only_density_mean,base_only_density_std,base_only_density_ci95,base_only_density_n,base_only_pruned_round_mean_mean,base_only_pruned_round_mean_std,base_only_pruned_round_mean_ci95,base_only_pruned_round_mean_n
epoch_2,head,1,1,0.009933774834437087,0.0,0.0,1,0.003973509933774834,0.0,0.0,1,4.204718543046358,0.0,0.0,1,1.681887417218543,0.0,0.0,1,0.0234375,0.0,0.0,1,0.009375,0.0,0.0,1,1.0,0.0,0.0,1
epoch_2,stage1,1,1,0.1119205298013245,0.0,0.0,1,0.1205298013245033,0.0,0.0,1,2.1932019560951677,0.0,0.0,1,2.3619097988717193,0.0,0.0,1,0.012225115740740741,0.0,0.0,1,0.013165509259259259,0.0,0.0,1,1.0,0.0,0.0,1
epoch_2,stage2,1,1,0.2629139072847682,0.0,0.0,1,0.24503311258278146,0.0,0.0,1,1.3910610513245032,0.0,0.0,1,1.2964548841059602,0.0,0.0,1,0.00775390625,0.0,0.0,1,0.0072265625,0.0,0.0,1,1.0,0.0,0.0,1
epoch_2,stage3,1,1,0.6132450331125828,0.0,0.0,1,0.628476821192053,0.0,0.0,1,0.8111602855960265,0.0,0.0,1,0.8313078952814569,0.0,0.0,1,0.004521484375,0.0,0.0,1,0.0046337890625,0.0,0.0,1,1.0,0.0,0.0,1
epoch_2,stem,1,1,0.001986754966887417,0.0,0.0,1,0.001986754966887417,0.0,0.0,1,1.2458425312729948,0.0,0.0,1,1.2458425312729948,0.0,0.0,1,0.006944444444444444,0.0,0.0,1,0.006944444444444444,0.0,0.0,1,1.0,0.0,0.0,1
traj_rms_abs,head,1,1,0.008686210640608035,0.0,0.0,1,0.0054288816503800215,0.0,0.0,1,3.676655808903366,0.0,0.0,1,2.2979098805646037,0.0,0.0,1,0.025,0.0,0.0,1,0.015625,0.0,0.0,1,1.0,0.0,0.0,1
traj_rms_abs,stage1,1,1,0.09174809989142237,0.0,0.0,1,0.10314875135722042,0.0,0.0,1,1.7979017121084166,0.0,0.0,1,2.021309617163309,0.0,0.0,1,0.012225115740740741,0.0,0.0,1,0.013744212962962963,0.0,0.0,1,1.0,0.0,0.0,1
traj_rms_abs,stage2,1,1,0.25950054288816504,0.0,0.0,1,0.24538545059717698,0.0,0.0,1,1.3730011536373508,0.0,0.0,1,1.298319082519001,0.0,0.0,1,0.0093359375,0.0,0.0,1,0.008828125,0.0,0.0,1,1.0,0.0,0.0,1
traj_rms_abs,stage3,1,1,0.6378935939196525,0.0,0.0,1,0.6444082519001085,0.0,0.0,1,0.8437637842698154,0.0,0.0,1,0.8523809463219326,0.0,0.0,1,0.0057373046875,0.0,0.0,1,0.0057958984375,0.0,0.0,1,1.0,0.0,0.0,1
traj_rms_abs,stem,1,1,0.002171552660152009,0.0,0.0,1,0.0016286644951140066,0.0,0.0,1,1.3617243736679132,0.0,0.0,1,1.021293280250935,0.0,0.0,1,0.009259259259259259,0.0,0.0,1,0.006944444444444444,0.0,0.0,1,1.0,0.0,0.0,1
