source,num_runs,dataset,ood_dataset,id_accuracy,id_accuracy_std,id_nll,id_nll_std,id_brier,id_brier_std,id_ece,id_ece_std,id_confidence,id_confidence_std,ood_msp_auroc,ood_msp_auroc_std,ood_msp_aupr,ood_msp_aupr_std,ood_msp_fpr95,ood_msp_fpr95_std,ood_entropy_auroc,ood_entropy_auroc_std,ood_entropy_aupr,ood_entropy_aupr_std,ood_entropy_fpr95,ood_entropy_fpr95_std,ood_id_msp,ood_id_msp_std,ood_ood_msp,ood_ood_msp_std,ood_id_entropy,ood_id_entropy_std,ood_ood_entropy,ood_ood_entropy_std,delta_id_nll_vs_dense,delta_id_ece_vs_dense,delta_ood_msp_auroc_vs_dense,delta_ood_entropy_auroc_vs_dense
dense,1,fake-cifar10,gaussian-noise,0.03125,0.0,2.342078924179077,0.0,0.9079232215881348,0.0,0.09571897983551025,0.0,0.12696897983551025,0.0,0.47705078125,0.0,0.4646900779083694,0.0,0.890625,0.0,0.46533203125,0.0,0.4874624805270429,0.0,0.9375,0.0,0.12696897983551025,0.0,0.12701472640037537,0.0,2.291459083557129,0.0,2.2914350032806396,0.0,0.0,0.0,0.0,0.0
imp,1,fake-cifar10,gaussian-noise,0.125,0.0,2.3276665210723877,0.0,0.9049941897392273,0.0,0.002796277403831482,0.0,0.12779627740383148,0.0,0.524169921875,0.0,0.5415553020950261,0.0,0.921875,0.0,0.411865234375,0.0,0.4936216917208774,0.0,0.96875,0.0,0.1277962625026703,0.0,0.1277606189250946,0.0,2.2927041053771973,0.0,2.292644500732422,0.0,-0.014412403106689453,-0.09292270243167877,0.047119140625,-0.053466796875
swag_member_mean,1,fake-cifar10,gaussian-noise,0.125,0.0,2.327031135559082,0.0,0.9048439264297485,0.0,0.002901732921600342,0.0,0.12790173292160034,0.0,0.4908447265625,0.0,0.5299282763137062,0.0,0.921875,0.0,0.4207763671875,0.0,0.5062508846452788,0.0,0.96875,0.0,0.12790174782276154,0.0,0.127886101603508,0.0,2.292954921722412,0.0,2.2928993701934814,0.0,-0.015047788619995117,-0.09281724691390991,0.0137939453125,-0.0445556640625
swag_ensemble,1,fake-cifar10,gaussian-noise,0.125,0.0,2.327031135559082,0.0,0.9048439264297485,0.0,0.002901732921600342,0.0,0.12790173292160034,0.0,0.4908447265625,0.0,0.5299282763137062,0.0,0.921875,0.0,0.4207763671875,0.0,0.5062508846452788,0.0,0.96875,0.0,0.12790174782276154,0.0,0.127886101603508,0.0,2.292954921722412,0.0,2.2928993701934814,0.0,-0.015047788619995117,-0.09281724691390991,0.0137939453125,-0.0445556640625
gem_miner,1,fake-cifar10,gaussian-noise,0.03125,0.0,2.3519203662872314,0.0,0.9097703695297241,0.0,0.09591761231422424,0.0,0.12716761231422424,0.0,0.489501953125,0.0,0.4790816500041616,0.0,0.984375,0.0,0.469970703125,0.0,0.47899279334114087,0.0,0.9375,0.0,0.12716761231422424,0.0,0.1271950602531433,0.0,2.2912003993988037,0.0,2.2911953926086426,0.0,0.009841442108154297,0.00019863247871398926,0.012451171875,0.004638671875
learned_random_0,1,fake-cifar10,gaussian-noise,0.125,0.0,23.806638717651367,0.0,1.75,0.0,0.875,0.0,1.0,0.0,0.5390625,0.0,0.5203252032520326,0.0,0.921875,0.0,0.5264892578125,0.0,0.5124374870215596,0.0,0.875,0.0,1.0,0.0,0.999998152256012,0.0,8.21268475448278e-09,0.0,1.9487708414089866e-05,0.0,21.46455979347229,0.7792810201644897,0.06201171875,0.0611572265625
variational_prune,1,fake-cifar10,gaussian-noise,0.03125,0.0,2.3599557876586914,0.0,0.9113081693649292,0.0,0.09605073928833008,0.0,0.12730073928833008,0.0,0.546142578125,0.0,0.529176742823482,0.0,0.921875,0.0,0.5306396484375,0.0,0.5254699314099491,0.0,0.875,0.0,0.12730072438716888,0.0,0.12724891304969788,0.0,2.2913882732391357,0.0,2.291402578353882,0.0,0.017876863479614258,0.0003317594528198242,0.069091796875,0.0653076171875
