base_source,unit,runs,rows,imp_only_share_mean,imp_only_share_std,imp_only_share_ci95,imp_only_share_n,base_only_share_mean,base_only_share_std,base_only_share_ci95,base_only_share_n,imp_only_enrichment_mean,imp_only_enrichment_std,imp_only_enrichment_ci95,imp_only_enrichment_n,base_only_enrichment_mean,base_only_enrichment_std,base_only_enrichment_ci95,base_only_enrichment_n,imp_only_density_mean,imp_only_density_std,imp_only_density_ci95,imp_only_density_n,base_only_density_mean,base_only_density_std,base_only_density_ci95,base_only_density_n,base_only_pruned_round_mean_mean,base_only_pruned_round_mean_std,base_only_pruned_round_mean_ci95,base_only_pruned_round_mean_n
epoch_2,conv1.weight,1,1,0.001986754966887417,0.0,0.0,1,0.001986754966887417,0.0,0.0,1,1.2458425312729948,0.0,0.0,1,1.2458425312729948,0.0,0.0,1,0.006944444444444444,0.0,0.0,1,0.006944444444444444,0.0,0.0,1,1.0,0.0,0.0,1
epoch_2,fc.weight,1,1,0.009933774834437087,0.0,0.0,1,0.003973509933774834,0.0,0.0,1,4.204718543046358,0.0,0.0,1,1.681887417218543,0.0,0.0,1,0.0234375,0.0,0.0,1,0.009375,0.0,0.0,1,1.0,0.0,0.0,1
epoch_2,layer1.0.conv1.weight,1,1,0.025165562913907286,0.0,0.0,1,0.026490066225165563,0.0,0.0,1,2.958876011773363,0.0,0.0,1,3.114606328182487,0.0,0.0,1,0.016493055555555556,0.0,0.0,1,0.017361111111111112,0.0,0.0,1,1.0,0.0,0.0,1
epoch_2,layer1.0.conv2.weight,1,1,0.02185430463576159,0.0,0.0,1,0.025827814569536423,0.0,0.0,1,2.569550220750552,0.0,0.0,1,3.0367411699779248,0.0,0.0,1,0.014322916666666666,0.0,0.0,1,0.016927083333333332,0.0,0.0,1,1.0,0.0,0.0,1
epoch_2,layer1.1.conv1.weight,1,1,0.015231788079470199,0.0,0.0,1,0.02185430463576159,0.0,0.0,1,1.7908986387049302,0.0,0.0,1,2.569550220750552,0.0,0.0,1,0.009982638888888888,0.0,0.0,1,0.014322916666666666,0.0,0.0,1,1.0,0.0,0.0,1
epoch_2,layer1.1.conv2.weight,1,1,0.016556291390728478,0.0,0.0,1,0.019205298013245033,0.0,0.0,1,1.9466289551140545,0.0,0.0,1,2.258089587932303,0.0,0.0,1,0.010850694444444444,0.0,0.0,1,0.012586805555555556,0.0,0.0,1,1.0,0.0,0.0,1
epoch_2,layer1.2.conv1.weight,1,1,0.018543046357615896,0.0,0.0,1,0.015231788079470199,0.0,0.0,1,2.180224429727741,0.0,0.0,1,1.7908986387049302,0.0,0.0,1,0.012152777777777778,0.0,0.0,1,0.009982638888888888,0.0,0.0,1,1.0,0.0,0.0,1
epoch_2,layer1.2.conv2.weight,1,1,0.01456953642384106,0.0,0.0,1,0.011920529801324504,0.0,0.0,1,1.713033480500368,0.0,0.0,1,1.4015728476821192,0.0,0.0,1,0.009548611111111112,0.0,0.0,1,0.0078125,0.0,0.0,1,1.0,0.0,0.0,1
epoch_2,layer2.0.conv1.weight,1,1,0.022516556291390728,0.0,0.0,1,0.023178807947019868,0.0,0.0,1,1.323707689477557,0.0,0.0,1,1.362640268579838,0.0,0.0,1,0.007378472222222222,0.0,0.0,1,0.007595486111111111,0.0,0.0,1,1.0,0.0,0.0,1
epoch_2,layer2.0.conv2.weight,1,1,0.05894039735099338,0.0,0.0,1,0.06026490066225165,0.0,0.0,1,1.7324997700515083,0.0,0.0,1,1.7714323491537893,0.0,0.0,1,0.009657118055555556,0.0,0.0,1,0.009874131944444444,0.0,0.0,1,1.0,0.0,0.0,1
