source,num_runs,dataset,ood_dataset,id_accuracy,id_accuracy_std,id_nll,id_nll_std,id_brier,id_brier_std,id_ece,id_ece_std,id_confidence,id_confidence_std,ood_msp_auroc,ood_msp_auroc_std,ood_msp_aupr,ood_msp_aupr_std,ood_msp_fpr95,ood_msp_fpr95_std,ood_entropy_auroc,ood_entropy_auroc_std,ood_entropy_aupr,ood_entropy_aupr_std,ood_entropy_fpr95,ood_entropy_fpr95_std,ood_id_msp,ood_id_msp_std,ood_ood_msp,ood_ood_msp_std,ood_id_entropy,ood_id_entropy_std,ood_ood_entropy,ood_ood_entropy_std,delta_id_nll_vs_dense,delta_id_ece_vs_dense,delta_ood_msp_auroc_vs_dense,delta_ood_entropy_auroc_vs_dense
dense,5,cifar10,cifar100,0.8866400003433228,0.0017008680757019964,0.353569358587265,0.009193413629734136,0.16837694942951204,0.0031105592777445775,0.035266851205527784,0.0013429541338876607,0.9211403608322144,0.0019441088258701905,0.823040389,0.003742673240324731,0.8496211815134374,0.0036001389621261935,0.76358,0.009933629749492356,0.832593438,0.0034578284566918003,0.8544028876689292,0.0034454809498183085,0.71698,0.010980755893835377,0.9211403608322144,0.0019441628652836246,0.7321643471717835,0.003423180679162793,0.2235553652048111,0.00570660920319923,0.7428465962409974,0.008757122712874774,0.0,0.0,0.0,0.0
imp,5,cifar10,cifar100,0.8953200101852417,0.003192488567640451,0.33873363137245177,0.005094207303252811,0.15831551551818848,0.003065796748834795,0.039273636346161364,0.0029191378143765033,0.9339868307113648,0.004307645934821899,0.830616786,0.0033867716324868543,0.8564022937652199,0.003104583429319493,0.7507800000000001,0.00844375508882155,0.8392123330000001,0.0028699724651283496,0.8606064897698088,0.0028962401872119473,0.69366,0.01072161368451594,0.9339868426322937,0.004307620494962101,0.7544812679290771,0.007298851674637492,0.18432981073856353,0.012581348576075038,0.6777931809425354,0.02266837209992612,-0.014835727214813244,0.00400678514063358,0.0075763970000000125,0.0066188950000001245
swag_member_mean,5,cifar10,cifar100,0.8548179984092712,0.017627070497444067,0.4904786151647567,0.07931056016042676,0.21933712691068652,0.029134580697632872,0.06265868441541493,0.014782020041185387,0.9172294068336487,0.00466570295587001,0.7922326502999999,0.015965609349263016,0.8211023811008606,0.013624665313270544,0.7997699999999999,0.01698218478288345,0.8017802736,0.015811492032647916,0.8257725541305978,0.013501161638982136,0.758198,0.022733521944476587,0.9172294044494629,0.004665685631548077,0.7572862720489502,0.011465005909775674,0.22975634664297107,0.012829627951874322,0.6705323779582978,0.034317017509761856,0.1369092565774917,0.027391833209887147,-0.030807738700000087,-0.030813164399999926
swag_ensemble,5,cifar10,cifar100,0.8688000082969666,0.015056909866582884,0.4018112361431122,0.0497618907427494,0.19109635055065155,0.02178464639604705,0.028492398353517058,0.006851993758384341,0.8967274308204651,0.00937156300241014,0.804950964,0.01385467085838266,0.8324153185496751,0.011478660977804207,0.77152,0.017085578714225638,0.8170959099999999,0.012859422807496136,0.8388220165554585,0.010873343846985052,0.73126,0.02183364376369645,0.8967274188995361,0.009371643865625435,0.7007093310356141,0.006180979411782684,0.28307593464851377,0.023490789621167955,0.8057147860527039,0.019758150379502612,0.04824187755584719,-0.006774452852010726,-0.018089424999999992,-0.015497528000000038
