run,dataset,model,posterior_sampler,comparison,posterior_num_clusters,posterior_largest_cluster_fraction,posterior_cluster_entropy_nats,posterior_cluster_entropy_normalized,posterior_effective_cluster_count,left_count,right_count,layer_ks_pvalue,layer_mmd_rbf,layer_sliced_wasserstein,hamming_overlap,hamming_cross_mean,logit_cka_hungarian_mean,hungarian_cost,activation_cka_hungarian_mean,activation_hungarian_cost,passes_layer_ks,passes_hamming_overlap,passes_logit_cka,passes_hungarian_cost,passes_activation_cka,passes_activation_hungarian_cost
runs/cifar10_resnet20_long30_rewind1_mode_ticket_distribution_activation_r5_p0p3/20260506_004811,cifar10,resnet20,sgld,posterior_samples_vs_tickets,1,1.0,0.0,0.0,1.0,50,5,5.336723934316886e-09,1.4418645210826821,0.06200514748915229,0.0032653061224489797,0.2489411139330223,0.9368911913931057,0.06310880860689425,0.9171704375877153,0.08282956241228459,False,False,True,True,True,True
runs/cifar10_resnet20_long30_rewind1_mode_ticket_distribution_activation_r5_p0p3/20260506_004811,cifar10,resnet20,sgld,posterior_modes_vs_tickets,1,1.0,0.0,0.0,1.0,1,5,0.03292821811760842,1.7270241162805025,0.07131267664367505,nan,0.2469124682534995,0.9382574140437908,0.061742585956209184,0.9179378274735223,0.08206217252647774,False,False,True,True,True,True
