base_source,group,pruned_round,runs,rows,fraction_mean,fraction_std,fraction_ci95,fraction_n,base_only_pruned_mean,base_only_pruned_std,base_only_pruned_ci95,base_only_pruned_n
epoch_10,all,1,5,5,0.1812946150879509,0.008457370266817896,0.007413211892376217,5,5107.0,338.4649169411802,296.67758041348526,5
epoch_10,all,2,5,5,0.22008052214307122,0.004239061339236241,0.0037157010916068246,5,6196.6,229.10543424371235,200.8197673935512,5
epoch_10,all,3,5,5,0.22320435251271445,0.0023928545979554337,0.002097429532190101,5,6283.6,167.02484845076197,146.40373470646162,5
epoch_10,all,4,5,5,0.2013177454946164,0.006202345354318381,0.005436595406216879,5,5664.6,97.46948240346822,85.4357682472628,5
epoch_10,all,5,5,5,0.17410276476164704,0.007390053645395351,0.0064776676249218585,5,4897.8,122.56508475091917,107.43303357906262,5
epoch_10,head,1,5,5,0.1097041164377161,0.02319971786039578,0.02033544930830709,5,7.6,2.701851217221259,2.368277010824536,5
epoch_10,head,2,5,5,0.16099842971951886,0.04825955173271547,0.04230136218930366,5,11.2,4.764451699828638,4.176226047521853,5
epoch_10,head,3,5,5,0.17462286568678495,0.048507141056008306,0.042518383799798956,5,11.6,2.5099800796022267,2.200094543423077,5
epoch_10,head,4,5,5,0.2526804070380605,0.029693623395424005,0.026027608480894904,5,17.0,1.8708286933869707,1.639853652006788,5
epoch_10,head,5,5,5,0.30199418111791954,0.03625608745447077,0.03177986184937859,5,20.4,2.9664793948382653,2.600233835638633,5
epoch_10,stage1,1,5,5,0.16435932725666447,0.004811714246420473,0.0042176534961737375,5,573.8,22.342784070030305,19.584313722977374,5
epoch_10,stage1,2,5,5,0.20711710504445396,0.009817757187019386,0.008605643603050885,5,724.8,66.94550022219566,58.68031819954625,5
epoch_10,stage1,3,5,5,0.22049479392687382,0.00974679687924541,0.008543444150871214,5,771.6,71.1182114510763,62.337860855181745,5
epoch_10,stage1,4,5,5,0.2133389876593354,0.006241316649912035,0.00547075525293539,5,744.6,21.93855054464629,19.229987415492502,5
epoch_10,stage1,5,5,5,0.19468978611267237,0.006855121383487889,0.006008778823736598,5,680.2,42.51705540133277,37.26784222355783,5
epoch_10,stage2,1,5,5,0.18898637556516282,0.008953089547411672,0.007847728999968887,5,1900.0,120.43047787001429,105.56196815141332,5
epoch_10,stage2,2,5,5,0.22446356377164495,0.0060028357931706635,0.005261717565389,5,2255.6,82.79975845375395,72.57718826187742,5
epoch_10,stage2,3,5,5,0.22024352700817174,0.002786882802164677,0.002442810481258404,5,2213.2,62.26315122124803,54.57605834063138,5
epoch_10,stage2,4,5,5,0.19517616774468918,0.005304769922065662,0.004649835851088151,5,1960.4,29.43297470525193,25.79913983062226,5
epoch_10,stage2,5,5,5,0.17113036591033132,0.006429119661295292,0.005635371850469584,5,1718.6,37.938107491017526,33.2542174167428,5
epoch_10,stage3,1,5,5,0.1806041686001293,0.012058284970875861,0.01056955279568146,5,2614.2,219.20469885474625,192.1413901896205,5
epoch_10,stage3,2,5,5,0.2205548065033575,0.005982515310434678,0.005243905876941557,5,3190.2,121.68278432054389,106.65966315341522,5
epoch_10,stage3,3,5,5,0.22598646858075258,0.0017677794796975015,0.0015495270336464665,5,3268.8,90.55495568990136,79.37491835586351,5
epoch_10,stage3,4,5,5,0.20238573083104278,0.007731598678922945,0.006777045046561156,5,2926.6,113.26649990178032,99.28246459471077,5
epoch_10,stage3,5,5,5,0.17046882548471784,0.011076277344814854,0.00970878515961358,5,2463.8,136.24132999938016,119.42079108764939,5
epoch_10,stem,1,5,5,0.15133172471155984,0.029367576471824076,0.02574181575156545,5,11.4,2.3021728866442674,2.0179435076334515,5
epoch_10,stem,2,5,5,0.1981022655214158,0.03703132885353996,0.03245939089655656,5,14.8,2.16794833886788,1.9002905041072007,5
epoch_10,stem,3,5,5,0.24315148770063164,0.01868303117381665,0.01637639887031747,5,18.4,2.701851217221259,2.368277010824536,5
epoch_10,stem,4,5,5,0.21021913491285718,0.0413020386665287,0.036202833098531714,5,16.0,4.301162633521313,3.770135276087583,5
epoch_10,stem,5,5,5,0.19719538715353555,0.03790088941912322,0.03322159433835392,5,14.8,2.6832815729997477,2.352,5
epoch_30,all,1,5,5,0.200137414625117,0.009575455110088709,0.008393256468329184,5,5681.6,393.0283704772468,344.50455616145337,5
epoch_30,all,2,5,5,0.22577427406733777,0.006515380456736102,0.005710982771409936,5,6407.8,331.45844385080915,290.5361359693489,5
epoch_30,all,3,5,5,0.2149900842329857,0.0018345427540617863,0.0016080476238390384,5,6098.8,156.52859163743855,137.20335995885813,5
epoch_30,all,4,5,5,0.1918958166281361,0.007200949897183802,0.006311910881287856,5,5440.2,111.09770474676783,97.38143182352577,5
epoch_30,all,5,5,5,0.16720241044642342,0.008877907642458827,0.00778182915470911,5,4738.6,154.58428121901656,135.4990967349967,5
epoch_30,head,1,5,5,0.1311836792067062,0.033180823357706585,0.029084274018279937,5,8.4,1.6733200530681511,1.466729695615385,5
epoch_30,head,2,5,5,0.1447939242145437,0.06106091645383147,0.053522253104007406,5,9.6,4.929503017546495,4.320899906269526,5
epoch_30,head,3,5,5,0.16975362911470046,0.061705521449772184,0.05408727429511469,5,10.8,3.2710854467592254,2.8672328123122477,5
epoch_30,head,4,5,5,0.2524528044707967,0.031759476706927504,0.027838408747832336,5,16.4,2.701851217221259,2.368277010824536,5
epoch_30,head,5,5,5,0.3018159629932529,0.043365355459575004,0.03801141000901213,5,19.6,3.4351128074635335,3.011009133164494,5
epoch_30,stage1,1,5,5,0.1653383889097453,0.0057468980920140815,0.005037378279054872,5,523.8,17.51285242329187,15.350691971373797,5
epoch_30,stage1,2,5,5,0.2056058607997676,0.008749476569213382,0.007669254355510683,5,653.0,58.22800013739094,51.039092468420705,5
epoch_30,stage1,3,5,5,0.22003936288109535,0.008601250367801433,0.007539328361448437,5,698.6,57.886095048811164,50.739399444613056,5
epoch_30,stage1,4,5,5,0.21033641520859098,0.008697084525043799,0.007623330703991287,5,666.2,20.89736825535694,18.317350900171125,5
epoch_30,stage1,5,5,5,0.19867997220080075,0.008928377942686347,0.007826068323393305,5,630.0,41.67133307202926,36.52653391714029,5
epoch_30,stage2,1,5,5,0.19743916573166456,0.0066488975574939685,0.005828015670283621,5,1926.8,103.8879203757588,91.0617771845026,5
epoch_30,stage2,2,5,5,0.2272422104669466,0.004946096815771356,0.004335445011717122,5,2217.2,92.21821945797913,80.83283332903778,5
epoch_30,stage2,3,5,5,0.2147635424651458,0.004494934045442107,0.003939983407354778,5,2095.2,78.28282059302667,68.6179176600398,5
epoch_30,stage2,4,5,5,0.19303341562988852,0.0052819137963112765,0.004629801573539629,5,1882.2,36.36894279464279,31.878783916579998,5
epoch_30,stage2,5,5,5,0.16752166570635454,0.008461411628379316,0.0074167543019720275,5,1632.8,56.45086358949702,49.48136360287578,5
epoch_30,stage3,1,5,5,0.20970796688694332,0.01431370179740428,0.0125465128096335,5,3212.6,285.6270295332709,250.36313006511162,5
epoch_30,stage3,2,5,5,0.229453921119713,0.009625706753961924,0.008437303976268379,5,3514.2,230.90300994140375,202.39541196380907,5
epoch_30,stage3,3,5,5,0.21419424926921019,0.0031571788069848766,0.0027673892403796297,5,3277.2,41.160660830458006,36.07890996136108,5
epoch_30,stage3,4,5,5,0.18695226681015323,0.009191249931441846,0.008056485780798546,5,2860.0,130.01730654032178,113.9651939848303,5
epoch_30,stage3,5,5,5,0.15969159591398024,0.012288013849746756,0.010770919036385112,5,2441.0,149.25146565444507,130.8246777943672,5
epoch_30,stem,1,5,5,0.14111666111666113,0.04946625913924703,0.04335908786696682,5,10.0,3.24037034920393,2.84030984225313,5
