base_source,variant,alpha,targets,rows,trained_accuracy_mean,trained_accuracy_std,trained_accuracy_ci95,trained_accuracy_n,accuracy_minus_imp_mean,accuracy_minus_imp_std,accuracy_minus_imp_ci95,accuracy_minus_imp_n,accuracy_minus_dense_mean,accuracy_minus_dense_std,accuracy_minus_dense_ci95,accuracy_minus_dense_n,mask_to_imp_jaccard_mean,mask_to_imp_jaccard_std,mask_to_imp_jaccard_ci95,mask_to_imp_jaccard_n,mask_to_base_jaccard_mean,mask_to_base_jaccard_std,mask_to_base_jaccard_ci95,mask_to_base_jaccard_n,swap_count_mean,swap_count_std,swap_count_ci95,swap_count_n,train_candidate_count_mean,train_candidate_count_std,train_candidate_count_ci95,train_candidate_count_n,train_positive_count_mean,train_positive_count_std,train_positive_count_ci95,train_positive_count_n,predictor_auc_mean,predictor_auc_std,predictor_auc_ci95,predictor_auc_n,predictor_topk_recall_mean,predictor_topk_recall_std,predictor_topk_recall_ci95,predictor_topk_recall_n,predictor_topk_precision_mean,predictor_topk_precision_std,predictor_topk_precision_ci95,predictor_topk_precision_n,predictor_baseline_precision_mean,predictor_baseline_precision_std,predictor_baseline_precision_ci95,predictor_baseline_precision_n,added_imp_only_hits_mean,added_imp_only_hits_std,added_imp_only_hits_ci95,added_imp_only_hits_n,added_imp_only_precision_mean,added_imp_only_precision_std,added_imp_only_precision_ci95,added_imp_only_precision_n
epoch_10,base,0.0,5,5,0.87296,0.0026005768590833997,0.002279506121948362,5,-0.024980000000000002,0.0029448259710889236,0.002581253772878572,5,-0.010939999999999995,0.0004979959839195747,0.00043651272604589594,5,0.2338623956726109,0.007930756510586643,0.0069516145829029395,5,1.0,0.0,0.0,5,0.0,0.0,0.0,5,901468.0,0.0,0.0,5,113090.4,475.83904841868537,417.09131577629375,5,0.618141174551014,0.0072848950162156725,0.006385492022361409,5,,,,0,,,,0,0.12545137405395507,0.002111396490280229,0.0018507206232506576,5,0.0,0.0,0.0,5,,,,0
epoch_10,cross_seed_predictor_residual,0.5,5,5,0.87446,0.0033381132395411506,0.002925985263120772,5,-0.02348000000000001,0.0038512335686114634,0.003375755062204578,5,-0.009440000000000004,0.002289759812731435,0.002007062968618553,5,0.29299773259342304,0.008518711761712624,0.007466980083327235,5,0.526168642584627,0.006077162392780904,0.005326867702460844,5,14136.2,238.04243319206768,208.6533923615909,5,901468.0,0.0,0.0,5,113090.4,475.83904841868537,417.09131577629375,5,0.618141174551014,0.0072848950162156725,0.006385492022361409,5,0.11939948848877759,0.00306613555302358,0.002687586309717537,5,0.23880067406279318,0.0061312793067817214,0.005374303269048673,5,0.12545137486854774,0.0021113962932402894,0.0018507204505375356,5,3375.2,78.61742809326695,68.91121406563666,5,0.23880067406279318,0.0061312793067817214,0.005374303269048673,5
epoch_10,oracle_imp_residual,0.5,5,5,0.88898,0.002635716221447209,0.0023103071310975,5,-0.00895999999999999,0.0024825390228554326,0.002176041396665055,5,0.005080000000000018,0.0027598913022073924,0.0024191513884004884,5,0.5261634865631265,0.0060708124317830296,0.005321301716238122,5,0.526168642584627,0.006077162392780904,0.005326867702460844,5,14136.2,238.04243319206768,208.6533923615909,5,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,14136.2,238.04243319206768,208.6533923615909,5,1.0,0.0,0.0,5
epoch_10,target_random_residual,0.5,5,5,0.87256,0.0035061374759127605,0.0030732649999633817,5,-0.025380000000000003,0.0012755391017134712,0.0011180593186410133,5,-0.011339999999999994,0.003056632133574458,0.0026792561952900204,5,0.2644873861025113,0.007077897381356926,0.00620405059553288,5,0.526168642584627,0.006077162392780904,0.005326867702460844,5,14136.2,238.04243319206768,208.6533923615909,5,901468.0,0.0,0.0,5,113090.4,475.83904841868537,417.09131577629375,5,0.618141174551014,0.0072848950162156725,0.006385492022361409,5,,,,0,,,,0,0.12545137405395507,0.002111396490280229,0.0018507206232506576,5,1788.0,73.3655232380987,64.30771648876983,5,0.12644424138508084,0.0031202812682372175,0.002735047121681488,5
epoch_30,base,0.0,5,5,0.88146,0.002573518991575558,0.002255788855367465,5,-0.016480000000000005,0.0044768292350725325,0.003924113841365983,5,-0.0024399999999999977,0.002523489647294022,0.002211936201611629,5,0.2322971436769037,0.010969896527580717,0.009615538261989276,5,1.0,0.0,0.0,5,0.0,0.0,0.0,5,901468.0,0.0,0.0,5,113474.4,661.0747310251694,579.4575504176298,5,0.618909170312372,0.0056002295901212695,0.004908817668821842,5,,,,0,,,,0,0.125877346098423,0.0029333260098630305,0.0025711736124230064,5,0.0,0.0,0.0,5,,,,0
epoch_30,cross_seed_predictor_residual,0.5,5,5,0.87764,0.0016757088052522869,0.0014688235292233153,5,-0.020300000000000006,0.00390512483795332,0.0034229928425282973,5,-0.006259999999999999,0.00289274955708237,0.002535606783395286,5,0.29213540711642216,0.010940787953808609,0.009590023472113737,5,0.5249545925312574,0.008412198729911788,0.007373617294525499,5,14184.4,330.41080490807195,289.617839947749,5,901468.0,0.0,0.0,5,113474.4,661.0747310251694,579.4575504176298,5,0.618909170312372,0.0056002295901212695,0.004908817668821842,5,0.12065775196326665,0.0019359821316228011,0.001696963158617143,5,0.24131375745730108,0.0038716445693686807,0.0033936460931958978,5,0.1258773467277818,0.002933325336119176,0.0025711730218604795,5,3422.6,83.35046490572203,73.05990375027879,5,0.24131375745730108,0.0038716445693686807,0.0033936460931958978,5
epoch_30,oracle_imp_residual,0.5,5,5,0.89052,0.0025974987969198467,0.002276808081503586,5,-0.007420000000000026,0.001437706506906054,0.0012602053166051973,5,0.006619999999999982,0.002550882200337805,0.0022359468329994307,5,0.5249597577611784,0.008418766795507897,0.007379374457857702,5,0.5249545925312574,0.008412198729911788,0.007373617294525499,5,14184.4,330.41080490807195,289.617839947749,5,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,14184.4,330.41080490807195,289.617839947749,5,1.0,0.0,0.0,5
epoch_30,target_random_residual,0.5,5,5,0.8781,0.0009354143466934832,0.0008199268260033922,5,-0.019840000000000014,0.00350542436803307,0.0030726399333472244,5,-0.005800000000000005,0.0020820662813657467,0.0018250115616072532,5,0.26283868956024514,0.009948297092505751,0.008720066875208897,5,0.5249545925312574,0.008412198729911788,0.007373617294525499,5,14184.4,330.41080490807195,289.617839947749,5,901468.0,0.0,0.0,5,113474.4,661.0747310251694,579.4575504176298,5,0.618909170312372,0.0056002295901212695,0.004908817668821842,5,,,,0,,,,0,0.125877346098423,0.0029333260098630305,0.0025711736124230064,5,1788.2,90.75902159014277,79.55379000399667,5,0.12600459788470886,0.0034227374168471656,0.0030001616250153,5
traj_rms_abs,base,0.0,5,5,0.8732599999999999,0.0026235472170326665,0.0022996405284304512,5,-0.024680000000000035,0.003418625454769765,0.0029965573313387203,5,-0.010640000000000028,0.002566709956344872,0.0022498204728377594,5,0.23951922697340955,0.007981670441100576,0.006996242610678234,5,1.0,0.0,0.0,5,0.0,0.0,0.0,5,901468.0,0.0,0.0,5,111743.2,474.86018995068434,416.23330849897155,5,0.6141850769329829,0.008326066583753145,0.007298119139652898,5,,,,0,,,,0,0.1239569216966629,0.002107051240605917,0.0018469118439794774,5,0.0,0.0,0.0,5,,,,0
traj_rms_abs,cross_seed_predictor_residual,0.5,5,5,0.8731,0.0034372954484594744,0.003012922302350355,5,-0.024839999999999994,0.004417918061711873,0.003872475921164649,5,-0.010799999999999987,0.0029857997253667497,0.00261716885202314,5,0.29460816841838156,0.009536012826345789,0.008358683782295479,5,0.530483165032748,0.0060919363627015746,0.005339817658068586,5,13968.0,237.37838991786933,208.07133276835617,5,901468.0,0.0,0.0,5,111743.2,474.86018995068434,416.23330849897155,5,0.6141850769329829,0.008326066583753145,0.007298119139652898,5,0.11191480009169881,0.005988913612401898,0.0052495142358921516,5,0.22382799858202496,0.011978109807804609,0.010499276166705554,5,0.12395692359573496,0.0021070528957242386,0.001846913294754652,5,3125.4,150.68277937441957,132.07927958616372,5,0.22382799858202496,0.011978109807804609,0.010499276166705554,5
