base_source,runs,rows,jaccard_mean,jaccard_std,jaccard_ci95,jaccard_n,imp_only_mean,imp_only_std,imp_only_ci95,imp_only_n,base_only_mean,base_only_std,base_only_ci95,base_only_n,base_only_pruned_round_mean_mean,base_only_pruned_round_mean_std,base_only_pruned_round_mean_ci95,base_only_pruned_round_mean_n,dense_accuracy_mean,dense_accuracy_std,dense_accuracy_ci95,dense_accuracy_n,imp_accuracy_mean,imp_accuracy_std,imp_accuracy_ci95,imp_accuracy_n
epoch_2,1,1,0.984199814792531,0.0,0.0,1,1510.0,0.0,0.0,1,1510.0,0.0,0.0,1,1.0,0.0,0.0,1,0.09375,0.0,0.0,1,0.10546875,0.0,0.0,1
traj_rms_abs,1,1,0.9807592874042274,0.0,0.0,1,1842.0,0.0,0.0,1,1842.0,0.0,0.0,1,1.0,0.0,0.0,1,0.09375,0.0,0.0,1,0.10546875,0.0,0.0,1
