base_source,base_kind,variant,alpha,seeds,rows,trained_accuracy_mean,trained_accuracy_std,trained_accuracy_ci95,trained_accuracy_n,accuracy_minus_imp_mean,accuracy_minus_imp_std,accuracy_minus_imp_ci95,accuracy_minus_imp_n,accuracy_minus_dense_mean,accuracy_minus_dense_std,accuracy_minus_dense_ci95,accuracy_minus_dense_n,base_to_imp_jaccard_mean,base_to_imp_jaccard_std,base_to_imp_jaccard_ci95,base_to_imp_jaccard_n,base_to_reference_jaccard_mean,base_to_reference_jaccard_std,base_to_reference_jaccard_ci95,base_to_reference_jaccard_n,mask_to_imp_jaccard_mean,mask_to_imp_jaccard_std,mask_to_imp_jaccard_ci95,mask_to_imp_jaccard_n,mask_to_effective_base_jaccard_mean,mask_to_effective_base_jaccard_std,mask_to_effective_base_jaccard_ci95,mask_to_effective_base_jaccard_n,mask_to_reference_base_jaccard_mean,mask_to_reference_base_jaccard_std,mask_to_reference_base_jaccard_ci95,mask_to_reference_base_jaccard_n,swap_count_mean,swap_count_std,swap_count_ci95,swap_count_n,candidate_count_mean,candidate_count_std,candidate_count_ci95,candidate_count_n,heldout_count_mean,heldout_count_std,heldout_count_ci95,heldout_count_n,heldout_positive_count_mean,heldout_positive_count_std,heldout_positive_count_ci95,heldout_positive_count_n,added_imp_only_hits_mean,added_imp_only_hits_std,added_imp_only_hits_ci95,added_imp_only_hits_n,added_imp_only_precision_mean,added_imp_only_precision_std,added_imp_only_precision_ci95,added_imp_only_precision_n,added_oracle_overlap_hits_mean,added_oracle_overlap_hits_std,added_oracle_overlap_hits_ci95,added_oracle_overlap_hits_n,added_oracle_overlap_precision_mean,added_oracle_overlap_precision_std,added_oracle_overlap_precision_ci95,added_oracle_overlap_precision_n
epoch_2,imp_overlap_random,base,0.0,2,2,0.1025390625,0.015191747252054731,0.0210546875,2,0.0029296875,0.006905339660024878,0.0095703125,2,0.0,0.02485922277608956,0.034453124999999994,2,0.9841479248799627,0.00023488371201473346,0.00032553221648953687,2,0.9690766356438045,0.0003325354083228989,0.00046087056273112813,2,0.9841479248799627,0.00023488371201473346,0.00032553221648953687,2,1.0,0.0,0.0,2,0.9690766356438045,0.0003325354083228989,0.00046087056273112813,2,0.0,0.0,0.0,2,81269.0,0.0,0.0,2,81269.0,0.0,0.0,2,1515.0,22.627416997969522,31.359999999999996,2,0.0,0.0,0.0,2,,,,0,,,,0,,,,0
epoch_2,imp_overlap_random,low_imp_only_residual,0.5,2,2,0.0927734375,0.0013810679320049757,0.0019140624999999997,2,-0.0068359375,0.006905339660024878,0.0095703125,2,-0.009765625,0.011048543456039806,0.015312499999999998,2,0.9841479248799627,0.00023488371201473346,0.00032553221648953687,2,0.9690766356438045,0.0003325354083228989,0.00046087056273112813,2,0.9920476545804906,0.00011837888940254144,0.00016406477027390397,2,0.9920371913209816,0.00011837764583208429,0.00016406304677318184,2,0.9766814114063372,0.00021854931048832175,0.00030289389096107563,2,758.0,11.313708498984761,15.679999999999998,2,1515.0,22.627416997969522,31.359999999999996,2,1515.0,22.627416997969522,31.359999999999996,2,1515.0,22.627416997969522,31.359999999999996,2,758.0,11.313708498984761,15.679999999999998,2,1.0,0.0,0.0,2,1.0,0.0,0.0,2,0.00131940818102698,1.969313924975585e-05,2.7293298520452503e-05,2
epoch_2,imp_overlap_random,oracle_imp_residual,0.5,2,2,0.0966796875,0.0041432037960149265,0.005742187499999998,2,-0.0029296875,0.01242961138804478,0.017226562499999997,2,-0.005859375,0.005524271728019903,0.007656249999999999,2,0.9841479248799627,0.00023488371201473346,0.00032553221648953687,2,0.9690766356438045,0.0003325354083228989,0.00046087056273112813,2,0.9920476545804906,0.00011837888940254144,0.00016406477027390397,2,0.9920371913209816,0.00011837764583208429,0.00016406304677318184,2,0.9768565696543408,0.0002185880445098346,0.0003029475735760534,2,758.0,11.313708498984761,15.679999999999998,2,,,,0,,,,0,,,,0,758.0,11.313708498984761,15.679999999999998,2,1.0,0.0,0.0,2,758.0,11.313708498984761,15.679999999999998,2,1.0,0.0,0.0,2
epoch_2,imp_overlap_random,random_imp_only_residual,0.5,2,2,0.0927734375,0.0013810679320049757,0.0019140624999999997,2,-0.0068359375,0.00966747552403483,0.013398437499999999,2,-0.009765625,0.008286407592029853,0.011484374999999996,2,0.9841479248799627,0.00023488371201473346,0.00032553221648953687,2,0.9690766356438045,0.0003325354083228989,0.00046087056273112813,2,0.9920476545804906,0.00011837888940254144,0.00016406477027390397,2,0.9920371913209816,0.00011837764583208429,0.00016406304677318184,2,0.9767535286241931,0.00018942322378349616,0.00026252719426099295,2,758.0,11.313708498984761,15.679999999999998,2,1515.0,22.627416997969522,31.359999999999996,2,1515.0,22.627416997969522,31.359999999999996,2,1515.0,22.627416997969522,31.359999999999996,2,758.0,11.313708498984761,15.679999999999998,2,1.0,0.0,0.0,2,375.5,12.020815280171307,16.659999999999997,2,0.495556135770235,0.023255135811555493,0.03222997389033942,2
epoch_2,imp_overlap_random,random_residual,0.5,2,2,0.091796875,0.008286407592029853,0.011484374999999996,2,-0.0078125,0.0,0.0,2,-0.0107421875,0.017953883116064683,0.024882812499999997,2,0.9841479248799627,0.00023488371201473346,0.00032553221648953687,2,0.9690766356438045,0.0003325354083228989,0.00046087056273112813,2,0.9843244167583274,0.0002936568740172883,0.00040698766324094967,2,0.9920371913209816,0.00011837764583208429,0.00016406304677318184,2,0.9693578228938712,0.000354323673774978,0.0004910675580239853,2,758.0,11.313708498984761,15.679999999999998,2,,,,0,81269.0,0.0,0.0,2,1515.0,22.627416997969522,31.359999999999996,2,17.0,5.656854249492381,7.839999999999999,2,0.022485639686684072,0.0077984831429033325,0.010808146214099215,2,,,,0,,,,0
traj_rms_abs,imp_overlap_random,base,0.0,2,2,0.099609375,0.008286407592029853,0.011484374999999996,2,0.0,0.016572815184059706,0.022968749999999993,2,-0.0029296875,0.0013810679320049757,0.0019140624999999997,2,0.9804800119705755,8.775603750273049e-05,0.00012162366284815374,2,0.9621085550517985,0.00010049140771497015,0.00013927398545862554,2,0.9804800119705755,8.775603750273049e-05,0.00012162366284815374,2,1.0,0.0,0.0,2,0.9621085550517985,0.00010049140771497015,0.00013927398545862554,2,0.0,0.0,0.0,2,81269.0,0.0,0.0,2,81269.0,0.0,0.0,2,1869.0,8.48528137423857,11.759999999999996,2,0.0,0.0,0.0,2,,,,0,,,,0,,,,0
traj_rms_abs,imp_overlap_random,low_imp_only_residual,0.5,2,2,0.1025390625,0.01242961138804478,0.017226562499999997,2,0.0029296875,0.020716018980074635,0.0287109375,2,0.0,0.0027621358640099515,0.0038281249999999995,2,0.9804800119705755,8.775603750273049e-05,0.00012162366284815374,2,0.9621085550517985,0.00010049140771497015,0.00013927398545862554,2,0.9901973651166553,4.4309655788140885e-05,6.14100498364789e-05,2,0.9901869212854293,4.430919074747985e-05,6.14094053230052e-05,2,0.9714820402985678,4.348021998284069e-05,6.026051045880498e-05,2,935.0,4.242640687119285,5.879999999999998,2,1869.0,8.48528137423857,11.759999999999996,2,1869.0,8.48528137423857,11.759999999999996,2,1869.0,8.48528137423857,11.759999999999996,2,935.0,4.242640687119285,5.879999999999998,2,1.0,0.0,0.0,2,1.0,0.0,0.0,2,0.001069529727207006,4.8530805740449675e-06,6.726026519761722e-06,2
traj_rms_abs,imp_overlap_random,oracle_imp_residual,0.5,2,2,0.10546875,0.005524271728019903,0.007656249999999999,2,0.005859375,0.0027621358640099515,0.0038281249999999995,2,0.0029296875,0.015191747252054731,0.0210546875,2,0.9804800119705755,8.775603750273049e-05,0.00012162366284815374,2,0.9621085550517985,0.00010049140771497015,0.00013927398545862554,2,0.9901973651166553,4.4309655788140885e-05,6.14100498364789e-05,2,0.9901869212854293,4.430919074747985e-05,6.14094053230052e-05,2,0.9716460284891474,5.798327154496887e-05,8.036071442946379e-05,2,935.0,4.242640687119285,5.879999999999998,2,,,,0,,,,0,,,,0,935.0,4.242640687119285,5.879999999999998,2,1.0,0.0,0.0,2,935.0,4.242640687119285,5.879999999999998,2,1.0,0.0,0.0,2
traj_rms_abs,imp_overlap_random,random_imp_only_residual,0.5,2,2,0.091796875,0.0027621358640099515,0.0038281249999999995,2,-0.0078125,0.005524271728019903,0.007656249999999999,2,-0.0107421875,0.01242961138804478,0.017226562499999997,2,0.9804800119705755,8.775603750273049e-05,0.00012162366284815374,2,0.9621085550517985,0.00010049140771497015,0.00013927398545862554,2,0.9901973651166553,4.4309655788140885e-05,6.14100498364789e-05,2,0.9901869212854293,4.430919074747985e-05,6.14094053230052e-05,2,0.9715742798228195,2.8989525795255334e-05,4.017743293548648e-05,2,935.0,4.242640687119285,5.879999999999998,2,1869.0,8.48528137423857,11.759999999999996,2,1869.0,8.48528137423857,11.759999999999996,2,1869.0,8.48528137423857,11.759999999999996,2,935.0,4.242640687119285,5.879999999999998,2,1.0,0.0,0.0,2,475.5,4.949747468305833,6.859999999999999,2,0.5085733960485739,0.007601541872479068,0.010535199538786733,2
traj_rms_abs,imp_overlap_random,random_residual,0.5,2,2,0.091796875,0.0027621358640099515,0.0038281249999999995,2,-0.0078125,0.005524271728019903,0.007656249999999999,2,-0.0107421875,0.01242961138804478,0.017226562499999997,2,0.9804800119705755,8.775603750273049e-05,0.00012162366284815374,2,0.9621085550517985,0.00010049140771497015,0.00013927398545862554,2,0.980650670837939,5.119984459730107e-05,7.095936432848005e-05,2,0.9901869212854293,4.430919074747985e-05,6.14094053230052e-05,2,0.9624639078136513,2.872223161324332e-05,3.980698209928856e-05,2,935.0,4.242640687119285,5.879999999999998,2,,,,0,81269.0,0.0,0.0,2,1869.0,8.48528137423857,11.759999999999996,2,16.5,3.5355339059327378,4.9,2,0.01763866138345672,0.0037012827844716202,0.005129716225738262,2,,,,0,,,,0
