subspace_dim,hmc_step_size,num_runs,dense_accuracy,dense_accuracy_std,imp_accuracy,imp_accuracy_std,posterior_jaccard_mean,posterior_jaccard_mean_std,random_jaccard_mean,random_jaccard_mean_std,chain_start_magnitude_to_imp_jaccard,chain_start_magnitude_to_imp_jaccard_std,posterior_minus_chain_start_jaccard,posterior_minus_chain_start_jaccard_std,posterior_to_chain_start_magnitude_jaccard_mean,posterior_to_chain_start_magnitude_jaccard_mean_std,dense_magnitude_to_imp_jaccard,dense_magnitude_to_imp_jaccard_std,initial_magnitude_to_imp_jaccard,initial_magnitude_to_imp_jaccard_std,rewind_magnitude_to_imp_jaccard,rewind_magnitude_to_imp_jaccard_std,snip_to_imp_jaccard,snip_to_imp_jaccard_std,synflow_to_imp_jaccard,synflow_to_imp_jaccard_std,posterior_map_mean_to_imp_jaccard,posterior_map_mean_to_imp_jaccard_std,posterior_map_rms_to_imp_jaccard,posterior_map_rms_to_imp_jaccard_std,sample_accuracy_mean,sample_accuracy_mean_std,sample_to_dense_prediction_agreement_mean,sample_to_dense_prediction_agreement_mean_std,sample_to_imp_prediction_agreement_mean,sample_to_imp_prediction_agreement_mean_std,hmc_accept_rate,hmc_accept_rate_std,hmc_coordinate_norm_mean,hmc_coordinate_norm_mean_std,hmc_parameter_distance_mean,hmc_parameter_distance_mean_std,state_num_clusters,state_num_clusters_std,function_num_clusters,function_num_clusters_std
6.0,0.0001,1.0,0.8839,0.0,0.8979,0.0,0.23468893130498458,0.0,0.09191208611929368,0.0,0.2346680045016339,0.0,2.0926803350695966e-05,0.0,0.9993522766499578,0.0,0.2346680045016339,0.0,0.1591181038213804,0.0,0.18304772051085502,0.0,0.13204122480947822,0.0,0.1765511538362147,0.0,0.23470148747779632,0.0,0.23470148747779632,0.0,0.884,0.0,0.9991250038146973,0.0,0.8988749831914902,0.0,0.75,0.0,0.0015255456673912704,0.0,0.015255456767044961,0.0,1.0,0.0,1.0,0.0
6.0,0.0003,1.0,0.8839,0.0,0.8979,0.0,0.23454664511190015,0.0,0.09160959043300672,0.0,0.2346680045016339,0.0,-0.00012135938973373284,0.0,0.99569423895372,0.0,0.2346680045016339,0.0,0.1591181038213804,0.0,0.18304772051085502,0.0,0.13204122480947822,0.0,0.1765511538362147,0.0,0.23456756646826743,0.0,0.23456756646826743,0.0,0.88385,0.0,0.9951499849557877,0.0,0.8991750031709671,0.0,0.95,0.0,0.007089698722120374,0.0,0.07089699208736419,0.0,1.0,0.0,1.0,0.0
6.0,0.001,1.0,0.8839,0.0,0.8979,0.0,0.23442950144208252,0.0,0.09183068867508636,0.0,0.2346680045016339,0.0,-0.00023850305955136486,0.0,0.9927238515325875,0.0,0.2346680045016339,0.0,0.1591181038213804,0.0,0.18304772051085502,0.0,0.13204122480947822,0.0,0.1765511538362147,0.0,0.23446714477448044,0.0,0.23446714477448044,0.0,0.8843000000000001,0.0,0.9918499886989594,0.0,0.8998750001192093,0.0,0.45,0.0,0.012848717579618096,0.0,0.12848717868328094,0.0,1.0,0.0,1.0,0.0
6.0,0.003,1.0,0.8839,0.0,0.8979,0.0,0.2346680045016339,0.0,0.09183109326850271,0.0,0.2346680045016339,0.0,0.0,0.0,1.0,0.0,0.2346680045016339,0.0,0.1591181038213804,0.0,0.18304772051085502,0.0,0.13204122480947822,0.0,0.1765511538362147,0.0,0.2346680045016339,0.0,0.2346680045016339,0.0,0.8839,0.0,1.0,0.0,0.8989999890327454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
