source_kind,source,parameter,group,num_runs,layer_jaccard,layer_jaccard_std,layer_jaccard_ci95_low,layer_jaccard_ci95_high,kept,kept_std,kept_ci95_low,kept_ci95_high,imp_kept,imp_kept_std,imp_kept_ci95_low,imp_kept_ci95_high,total,total_std,total_ci95_low,total_ci95_high
aggregate,traj_max_abs,layer1.0.conv2.weight,stage1,1.0,0.9475012619888945,0.0,0.9475012619888945,0.9475012619888945,1952.0,0.0,1952.0,1952.0,1906.0,0.0,1906.0,1906.0,2304.0,0.0,2304.0,2304.0
aggregate,traj_max_abs,layer1.1.conv1.weight,stage1,1.0,0.9662058371735791,0.0,0.9662058371735791,0.9662058371735791,1940.0,0.0,1940.0,1940.0,1900.0,0.0,1900.0,1900.0,2304.0,0.0,2304.0,2304.0
aggregate,traj_max_abs,layer1.1.conv2.weight,stage1,1.0,0.9637385086823289,0.0,0.9637385086823289,0.9637385086823289,1938.0,0.0,1938.0,1938.0,1907.0,0.0,1907.0,1907.0,2304.0,0.0,2304.0,2304.0
aggregate,traj_max_abs,layer1.2.conv1.weight,stage1,1.0,0.9693877551020408,0.0,0.9693877551020408,0.9693877551020408,1937.0,0.0,1937.0,1937.0,1923.0,0.0,1923.0,1923.0,2304.0,0.0,2304.0,2304.0
aggregate,traj_max_abs,layer1.2.conv2.weight,stage1,1.0,0.9732922444786851,0.0,0.9732922444786851,0.9732922444786851,1932.0,0.0,1932.0,1932.0,1910.0,0.0,1910.0,1910.0,2304.0,0.0,2304.0,2304.0
aggregate,traj_max_abs,layer2.0.conv1.weight,stage2,1.0,0.977979274611399,0.0,0.977979274611399,0.977979274611399,3836.0,0.0,3836.0,3836.0,3799.0,0.0,3799.0,3799.0,4608.0,0.0,4608.0,4608.0
aggregate,traj_max_abs,layer2.0.conv2.weight,stage2,1.0,0.9711888111888112,0.0,0.9711888111888112,0.9711888111888112,7070.0,0.0,7070.0,7070.0,7024.0,0.0,7024.0,7024.0,9216.0,0.0,9216.0,9216.0
aggregate,traj_max_abs,layer2.0.shortcut.0.weight,stage2,1.0,0.9937759336099585,0.0,0.9937759336099585,0.9937759336099585,480.0,0.0,480.0,480.0,481.0,0.0,481.0,481.0,512.0,0.0,512.0,512.0
aggregate,traj_max_abs,layer2.1.conv1.weight,stage2,1.0,0.9704605907881843,0.0,0.9704605907881843,0.9704605907881843,7070.0,0.0,7070.0,7070.0,7005.0,0.0,7005.0,7005.0,9216.0,0.0,9216.0,9216.0
aggregate,traj_max_abs,layer2.1.conv2.weight,stage2,1.0,0.9738330975954739,0.0,0.9738330975954739,0.9738330975954739,6995.0,0.0,6995.0,6995.0,6960.0,0.0,6960.0,6960.0,9216.0,0.0,9216.0,9216.0
aggregate,traj_max_abs,layer2.2.conv1.weight,stage2,1.0,0.9802705749718151,0.0,0.9802705749718151,0.9802705749718151,7035.0,0.0,7035.0,7035.0,7017.0,0.0,7017.0,7017.0,9216.0,0.0,9216.0,9216.0
aggregate,traj_max_abs,layer2.2.conv2.weight,stage2,1.0,0.9806415147661438,0.0,0.9806415147661438,0.9806415147661438,7015.0,0.0,7015.0,7015.0,7002.0,0.0,7002.0,7002.0,9216.0,0.0,9216.0,9216.0
aggregate,traj_max_abs,layer3.0.conv1.weight,stage3,1.0,0.9852227147983956,0.0,0.9852227147983956,0.9852227147983956,14102.0,0.0,14102.0,14102.0,14110.0,0.0,14110.0,14110.0,18432.0,0.0,18432.0,18432.0
aggregate,traj_max_abs,layer3.0.conv2.weight,stage3,1.0,0.9795769215152869,0.0,0.9795769215152869,0.9795769215152869,24367.0,0.0,24367.0,24367.0,24388.0,0.0,24388.0,24388.0,36864.0,0.0,36864.0,36864.0
aggregate,traj_max_abs,layer3.0.shortcut.0.weight,stage3,1.0,0.9963119072708114,0.0,0.9963119072708114,0.9963119072708114,1893.0,0.0,1893.0,1893.0,1896.0,0.0,1896.0,1896.0,2048.0,0.0,2048.0,2048.0
aggregate,traj_max_abs,layer3.1.conv1.weight,stage3,1.0,0.9804127883447997,0.0,0.9804127883447997,0.9804127883447997,24446.0,0.0,24446.0,24446.0,24490.0,0.0,24490.0,24490.0,36864.0,0.0,36864.0,36864.0
aggregate,traj_max_abs,layer3.1.conv2.weight,stage3,1.0,0.9802967747210072,0.0,0.9802967747210072,0.9802967747210072,24169.0,0.0,24169.0,24169.0,24275.0,0.0,24275.0,24275.0,36864.0,0.0,36864.0,36864.0
aggregate,traj_max_abs,layer3.2.conv1.weight,stage3,1.0,0.9819933338752946,0.0,0.9819933338752946,0.9819933338752946,24330.0,0.0,24330.0,24330.0,24431.0,0.0,24431.0,24431.0,36864.0,0.0,36864.0,36864.0
aggregate,traj_max_abs,layer3.2.conv2.weight,stage3,1.0,0.9811836734693877,0.0,0.9811836734693877,0.9811836734693877,24197.0,0.0,24197.0,24197.0,24342.0,0.0,24342.0,24342.0,36864.0,0.0,36864.0,36864.0
aggregate,traj_mean_abs,conv1.weight,stem,1.0,0.9850374064837906,0.0,0.9850374064837906,0.9850374064837906,399.0,0.0,399.0,399.0,397.0,0.0,397.0,397.0,432.0,0.0,432.0,432.0
aggregate,traj_mean_abs,fc.weight,head,1.0,0.9627659574468085,0.0,0.9627659574468085,0.9627659574468085,551.0,0.0,551.0,551.0,556.0,0.0,556.0,556.0,640.0,0.0,640.0,640.0
aggregate,traj_mean_abs,layer1.0.conv1.weight,stage1,1.0,0.9689601655457838,0.0,0.9689601655457838,0.9689601655457838,1898.0,0.0,1898.0,1898.0,1908.0,0.0,1908.0,1908.0,2304.0,0.0,2304.0,2304.0
aggregate,traj_mean_abs,layer1.0.conv2.weight,stage1,1.0,0.9543823680164019,0.0,0.9543823680164019,0.9543823680164019,1907.0,0.0,1907.0,1907.0,1906.0,0.0,1906.0,1906.0,2304.0,0.0,2304.0,2304.0
aggregate,traj_mean_abs,layer1.1.conv1.weight,stage1,1.0,0.9700258397932816,0.0,0.9700258397932816,0.9700258397932816,1912.0,0.0,1912.0,1912.0,1900.0,0.0,1900.0,1900.0,2304.0,0.0,2304.0,2304.0
aggregate,traj_mean_abs,layer1.1.conv2.weight,stage1,1.0,0.9726239669421488,0.0,0.9726239669421488,0.9726239669421488,1912.0,0.0,1912.0,1912.0,1907.0,0.0,1907.0,1907.0,2304.0,0.0,2304.0,2304.0
aggregate,traj_mean_abs,layer1.2.conv1.weight,stage1,1.0,0.9722222222222222,0.0,0.9722222222222222,0.9722222222222222,1911.0,0.0,1911.0,1911.0,1923.0,0.0,1923.0,1923.0,2304.0,0.0,2304.0,2304.0
aggregate,traj_mean_abs,layer1.2.conv2.weight,stage1,1.0,0.9752194114610222,0.0,0.9752194114610222,0.9752194114610222,1916.0,0.0,1916.0,1916.0,1910.0,0.0,1910.0,1910.0,2304.0,0.0,2304.0,2304.0
aggregate,traj_mean_abs,layer2.0.conv1.weight,stage2,1.0,0.9812402292860865,0.0,0.9812402292860865,0.9812402292860865,3805.0,0.0,3805.0,3805.0,3799.0,0.0,3799.0,3799.0,4608.0,0.0,4608.0,4608.0
aggregate,traj_mean_abs,layer2.0.conv2.weight,stage2,1.0,0.9710836608646828,0.0,0.9710836608646828,0.9710836608646828,7018.0,0.0,7018.0,7018.0,7024.0,0.0,7024.0,7024.0,9216.0,0.0,9216.0,9216.0
aggregate,traj_mean_abs,layer2.0.shortcut.0.weight,stage2,1.0,0.9937759336099585,0.0,0.9937759336099585,0.9937759336099585,480.0,0.0,480.0,480.0,481.0,0.0,481.0,481.0,512.0,0.0,512.0,512.0
aggregate,traj_mean_abs,layer2.1.conv1.weight,stage2,1.0,0.9724137931034482,0.0,0.9724137931034482,0.9724137931034482,7009.0,0.0,7009.0,7009.0,7005.0,0.0,7005.0,7005.0,9216.0,0.0,9216.0,9216.0
aggregate,traj_mean_abs,layer2.1.conv2.weight,stage2,1.0,0.9764271513774496,0.0,0.9764271513774496,0.9764271513774496,6958.0,0.0,6958.0,6958.0,6960.0,0.0,6960.0,6960.0,9216.0,0.0,9216.0,9216.0
aggregate,traj_mean_abs,layer2.2.conv1.weight,stage2,1.0,0.9805139791019486,0.0,0.9805139791019486,0.9805139791019486,7009.0,0.0,7009.0,7009.0,7017.0,0.0,7017.0,7017.0,9216.0,0.0,9216.0,9216.0
aggregate,traj_mean_abs,layer2.2.conv2.weight,stage2,1.0,0.9816072439162422,0.0,0.9816072439162422,0.9816072439162422,7004.0,0.0,7004.0,7004.0,7002.0,0.0,7002.0,7002.0,9216.0,0.0,9216.0,9216.0
aggregate,traj_mean_abs,layer3.0.conv1.weight,stage3,1.0,0.9858480602689572,0.0,0.9858480602689572,0.9858480602689572,14095.0,0.0,14095.0,14095.0,14110.0,0.0,14110.0,14110.0,18432.0,0.0,18432.0,18432.0
aggregate,traj_mean_abs,layer3.0.conv2.weight,stage3,1.0,0.9806302282140826,0.0,0.9806302282140826,0.9806302282140826,24387.0,0.0,24387.0,24387.0,24388.0,0.0,24388.0,24388.0,36864.0,0.0,36864.0,36864.0
