base_source,feature,runs,rows,coefficient_mean,coefficient_std,coefficient_ci95,coefficient_n
epoch_10,epoch_0,5,5,-0.05279681608080864,0.009832481335947888,0.00861854988863355,5
epoch_10,epoch_1,5,5,0.04666280671954155,0.0171827818156799,0.015061372327503746,5
epoch_10,epoch_10,5,5,0.06049949005246162,0.02324870221923807,0.020378385991939686,5
epoch_10,epoch_2,5,5,0.022881462424993514,0.032962681783868554,0.028893064498254253,5
epoch_10,epoch_20,5,5,0.04133975524455309,0.04465438359891493,0.03914129299044599,5
epoch_10,epoch_30,5,5,0.15386527478694917,0.06376221254505587,0.055890043525441635,5
epoch_10,epoch_5,5,5,0.06318341121077538,0.006838521649787948,0.0059942285156157045,5
epoch_10,group_head,5,5,0.045272357389330865,0.01571107169785022,0.01377136153178032,5
epoch_10,group_stage1,5,5,0.13398066461086272,0.051516485352603704,0.04515619037843529,5
epoch_10,group_stage2,5,5,0.1504918547347188,0.09303359381582499,0.08154754046560918,5
epoch_10,group_stage3,5,5,-0.12882017120718955,0.07944687877366864,0.06963825964293842,5
epoch_10,group_stem,5,5,0.03167048543691635,0.007874682322773639,0.006902463390175615,5
epoch_10,traj_initial_rms_movement,5,5,-0.015971229318529366,0.017064671366621483,0.014957843954268269,5
epoch_10,traj_max_abs,5,5,0.1059577815234661,0.04695108228365809,0.04115443814855065,5
epoch_10,traj_mean_abs,5,5,-0.10459939241409302,0.11436213946624947,0.10024283501634737,5
epoch_10,traj_path_length,5,5,0.03012147806584835,0.028041398746244357,0.024579369722065664,5
epoch_10,traj_post_rewind_path_length,5,5,-0.030254718288779257,0.034371818050855395,0.030128226895411055,5
epoch_10,traj_rewind_rms_movement,5,5,-0.059561609476804736,0.023422192134990194,0.02053045660799241,5
epoch_10,traj_rms_abs,5,5,0.09586259424686432,0.14114197873254025,0.1237163990985175,5
epoch_30,epoch_0,5,5,-0.03150362279266119,0.021673291693087446,0.018997477780594615,5
epoch_30,epoch_1,5,5,0.10347648411989212,0.024494573367298482,0.02147044020262105,5
epoch_30,epoch_10,5,5,0.14540082812309266,0.018321797968041863,0.016059764004811173,5
epoch_30,epoch_2,5,5,0.07396460995078087,0.0305222637960623,0.026753943816669023,5
epoch_30,epoch_20,5,5,0.08682266920804978,0.01045931338524662,0.009167992405134875,5
epoch_30,epoch_30,5,5,0.1447699025273323,0.028332670703008996,0.02483468084900959,5
epoch_30,epoch_5,5,5,0.11755566596984864,0.046468343182471596,0.040731298669855795,5
epoch_30,group_head,5,5,0.05313277244567871,0.008104387610018568,0.007103808951907361,5
epoch_30,group_stage1,5,5,0.10865518748760224,0.03658365702271056,0.0320669892355808,5
epoch_30,group_stage2,5,5,0.10099992603063583,0.06449367737621996,0.0565312007190099,5
epoch_30,group_stage3,5,5,-0.18674647957086563,0.0700490104892253,0.06140066489051739,5
epoch_30,group_stem,5,5,0.02520495243370533,0.010030599631020468,0.00879220823097806,5
epoch_30,traj_initial_rms_movement,5,5,-0.011792995408177376,0.027445770600351024,0.02405727863284204,5
epoch_30,traj_max_abs,5,5,0.12004353851079941,0.026003372945173384,0.022792961343477143,5
epoch_30,traj_mean_abs,5,5,-0.24016158282756805,0.08156236272601362,0.07149256308465772,5
epoch_30,traj_path_length,5,5,0.034296855330467224,0.043470014023556464,0.038103147285100225,5
epoch_30,traj_post_rewind_path_length,5,5,-0.03037935420870781,0.04280138057324874,0.03751706422510825,5
epoch_30,traj_rewind_rms_movement,5,5,-0.08210576921701432,0.01290017376079128,0.011307500856669856,5
epoch_30,traj_rms_abs,5,5,-0.024951019324362278,0.057894253910660824,0.05074655100234129,5
traj_rms_abs,epoch_0,5,5,-0.07916500717401505,0.022109625679071147,0.019379941382387387,5
traj_rms_abs,epoch_1,5,5,0.03479288946837187,0.02091159563220791,0.018329821745828992,5
traj_rms_abs,epoch_10,5,5,0.07935477420687675,0.023715241304363248,0.020787325530471863,5
traj_rms_abs,epoch_2,5,5,0.011837752629071474,0.027002554057637785,0.023668782204084415,5
traj_rms_abs,epoch_20,5,5,0.04720737282186747,0.04611762132155298,0.04042387740434977,5
traj_rms_abs,epoch_30,5,5,0.15089973136782647,0.06253783763435353,0.05481683159757357,5
traj_rms_abs,epoch_5,5,5,0.06044576950371265,0.02675925347694987,0.023455519842230144,5
traj_rms_abs,group_head,5,5,0.04742533341050148,0.01917577719970643,0.01680830980525418,5
traj_rms_abs,group_stage1,5,5,0.11211107075214385,0.05285303444461934,0.04632772731144022,5
traj_rms_abs,group_stage2,5,5,0.14828771390020848,0.13316302464216476,0.11672253747422912,5
traj_rms_abs,group_stage3,5,5,-0.11094499453902244,0.11151712146225379,0.09774906678392248,5
traj_rms_abs,group_stem,5,5,0.028288848325610162,0.03392855944992196,0.029739693600998,5
traj_rms_abs,traj_initial_rms_movement,5,5,-0.010251068323850632,0.01997516829684868,0.017509006996110917,5
traj_rms_abs,traj_max_abs,5,5,0.10284108594059944,0.0453108419220036,0.03971670408089613,5
traj_rms_abs,traj_mean_abs,5,5,-0.07743847668170929,0.09115114974023426,0.07989750548219902,5
traj_rms_abs,traj_path_length,5,5,0.03131917640566826,0.020566229250463766,0.01802709476479356,5
traj_rms_abs,traj_post_rewind_path_length,5,5,-0.0386497488245368,0.027774336541797316,0.024345279378666766,5
traj_rms_abs,traj_rewind_rms_movement,5,5,-0.06222455650568008,0.014635817831733792,0.01282885996259965,5
traj_rms_abs,traj_rms_abs,5,5,0.07335478067398071,0.11948390782692445,0.10473226292638231,5
