seed,dense_accuracy,imp_accuracy,imp_sparsity,posterior_jaccard_mean,random_jaccard_mean,posterior_minus_random_jaccard,jaccard_cohens_d,mannwhitney_greater_pvalue,dense_magnitude_to_imp_jaccard,initial_magnitude_to_imp_jaccard,rewind_magnitude_to_imp_jaccard,snip_to_imp_jaccard,synflow_to_imp_jaccard,posterior_to_dense_magnitude_jaccard_mean,posterior_to_chain_start_magnitude_jaccard_mean,chain_start_magnitude_to_imp_jaccard_mean,state_num_clusters,function_num_clusters,sgld_sample_accuracy_mean,sgld_sample_to_dense_prediction_agreement_mean,sgld_sample_to_imp_prediction_agreement_mean,sgld_chains,sgld_chain_start_accuracy_mean,posterior_mean_abs_jaccard,posterior_rms_jaccard,posterior_snr_jaccard,posterior_high_variance_jaccard,posterior_low_variance_jaccard,posterior_mean_abs_chainwise_jaccard,posterior_rms_chainwise_jaccard,posterior_snr_chainwise_jaccard,posterior_high_variance_chainwise_jaccard,posterior_low_variance_chainwise_jaccard,dense_imp_linear_barrier,dense_sample_linear_barrier_mean,imp_sample_linear_barrier_mean
0.0,0.8834,0.8997,0.8319318114700844,0.1393720162738579,0.09158487185409517,0.04778714441976273,68.72294264390058,5.839873953478472e-17,0.14671065887568002,0.1613800140297175,0.1833090757875039,0.1344953465482227,0.17715955218863924,0.1612942215002023,0.9968379147350042,0.13936917420654601,3.0,3.0,0.8845633333333333,0.8919100046157837,0.8941933333873748,3.0,0.8845999999999999,0.14020610811284606,0.15848398875332376,0.09188800287787037,0.1521079001973784,0.06243364019274972,0.13940242555434793,0.13940242555434793,0.13234157666763544,0.09171000452603369,0.09202504439563176,3.294949618530273,2.878216425170898,2.8546344348144532
1.0,0.8864,0.9001,0.8319318114700844,0.13867493202746442,0.09182366282494517,0.04685126920251925,47.02449684662736,5.840429367203996e-17,0.14812760055478502,0.160255348428282,0.1804558064767041,0.13489125693276002,0.17400273329723318,0.16218452046032616,0.9970028616153495,0.1386056192160959,3.0,3.0,0.8856066666666664,0.8949299971262614,0.8979900042215984,3.0,0.8853,0.14040602652573045,0.1574531911377763,0.09170473210325025,0.1498238480673797,0.06305380762809812,0.13867683022702845,0.13867683022702845,0.1319482431351546,0.09194561112878781,0.09280601180399811,3.2251807418823244,3.0034513082885743,2.985223154296875
2.0,0.8887,0.8991,0.8319318114700844,0.13310469085633642,0.09190427131001934,0.04120041954631708,52.61860772943372,5.837097631853064e-17,0.14391598201050224,0.1552944758811439,0.17863753446289657,0.13923607201391236,0.1692090395480226,0.1612665258745203,0.9971678556802684,0.13317336690588277,3.0,3.0,0.8853066666666668,0.8961133360862732,0.895579997698466,3.0,0.8853666666666666,0.13491954681988708,0.14927238076005603,0.09149535510937969,0.14374356268997915,0.06571632550355208,0.1331122170360429,0.1331122170360429,0.12709974923907644,0.09107740282112249,0.09173966561938784,2.9216418395996095,2.2512341784667966,2.6420060571289063
3.0,0.8877,0.8987,0.8319318114700844,0.13581158610466398,0.09187306273734067,0.04393852336732332,57.720830739090445,5.841540344088771e-17,0.147490989742168,0.15620397176088172,0.18143602252380828,0.14467812291794993,0.17009547551432133,0.1664694409674231,0.996888278579599,0.13581634130568024,3.0,4.0,0.8851200000000001,0.8952933331330617,0.8944366713364919,3.0,0.8848000000000001,0.13557060371381896,0.15231201437574346,0.09144302340912633,0.14759222150805953,0.06362500146009274,0.13581639536333942,0.13581639536333942,0.12958908774147015,0.09136520272146702,0.09075527671851263,3.456496754455566,3.7884259991455083,3.1092809796142578
4.0,0.8837,0.8974,0.8319318114700844,0.13721580988584184,0.09175963050845674,0.045456179377385095,26.085921338639963,5.827113175694619e-17,0.14370046598088348,0.16046235997298228,0.17609526761727629,0.1407917815083939,0.17754012078263007,0.159187432070122,0.9966802821482484,0.13723891413669584,3.0,3.0,0.8871299999999999,0.8971266667048137,0.8980600039164225,3.0,0.8868333333333333,0.1370169195230068,0.15541174977794697,0.09249061176498818,0.15053573233599515,0.06408488559609227,0.13720590036612224,0.13720590036612224,0.13100291319908286,0.09167421454071083,0.0921330779595226,3.5332552307128906,3.1174470373535152,2.8485322888183595
