family,config,scope,comparison,runs,n_pairs,n_posterior_values,n_baseline_values,posterior_mean,posterior_std,baseline_mean,baseline_std,delta_mean,delta_ci95_low,delta_ci95_high,positive,negative,zero,paired_win_rate,all_pair_win_rate,ks_stat,ks_pvalue,wasserstein,mmd_rbf,raw_ks_stat,raw_ks_pvalue,raw_wasserstein,raw_mmd_rbf,raw_pair_win_rate,mean_post_chain,mean_sample_accuracy,verdict
CIFAR SWAG20 movement,scale=1.0e+00,global,posterior-dense,5,5,5,5,0.14548208945761806,0.0036413313394930047,0.1454937020953157,0.0037703434801795565,-1.1612637697638872e-05,-0.00014488924428841942,0.00012166396889314168,3,2,0,0.6,0.52,0.20000000000000007,1.0,0.00011651457392489184,0.00034333420855947594,nan,nan,nan,nan,nan,0.9778185793833312,0.881348,practically tied to control
CIFAR SWAG20 movement,scale=1.0e+00,global,posterior-rewind,5,5,5,5,0.14548208945761806,0.0036413313394930047,0.17823871801096539,0.0033884438751210014,-0.03275662855334732,-0.03424619411750484,-0.031267062989189805,0,5,0,0.0,0.0,1.0,0.0,0.03275662855334732,1.0211779074464935,nan,nan,nan,nan,nan,0.9778185793833312,0.881348,control closer to ticket
CIFAR SWAG20 movement,scale=1.6e+01,global,posterior-random,5,5,5,5,0.1454235413703978,0.0037466596218696142,0.09174237748446396,6.48197829654292e-05,0.05368116388593385,0.050410927289313956,0.056951400482553746,5,0,0,1.0,1.0,1.0,0.0,0.05368116388593385,0.8995035594743646,nan,nan,nan,nan,nan,0.9528293342383664,0.8636119999999999,posterior separates from random
CIFAR SWAG20 movement,scale=1.6e+01,global,posterior-chain,5,5,5,5,0.1454235413703978,0.0037466596218696142,0.1454937020953157,0.0037703434801795565,-7.016072491789483e-05,-0.00019727120636795192,5.694975653216226e-05,1,4,0,0.2,0.44,0.20000000000000007,1.0,0.00011989146777079961,0.00015274311748547653,nan,nan,nan,nan,nan,0.9528293342383664,0.8636119999999999,practically tied to control
CIFAR SWAG20 movement,scale=1.6e+01,global,posterior-dense,5,5,5,5,0.1454235413703978,0.0037466596218696142,0.1454937020953157,0.0037703434801795565,-7.016072491789483e-05,-0.00019727120636795192,5.694975653216226e-05,1,4,0,0.2,0.44,0.20000000000000007,1.0,0.00011989146777079961,0.00015274311748547653,nan,nan,nan,nan,nan,0.9528293342383664,0.8636119999999999,practically tied to control
CIFAR SWAG20 movement,scale=1.6e+01,global,posterior-rewind,5,5,5,5,0.1454235413703978,0.0037466596218696142,0.17823871801096539,0.0033884438751210014,-0.03281517664056758,-0.03434170402690941,-0.031288649254225746,0,5,0,0.0,0.0,1.0,0.0,0.03281517664056758,1.0233414431109864,nan,nan,nan,nan,nan,0.9528293342383664,0.8636119999999999,control closer to ticket
CIFAR SWAG20 movement,scale=6.4e+01,global,posterior-random,5,5,5,5,0.14530890108866268,0.0036861280631533067,0.09173742955338272,7.960452880028103e-05,0.05357147153527994,0.05035061791561932,0.056792325154940565,5,0,0,1.0,1.0,1.0,0.0,0.05357147153527995,0.8932232593296505,nan,nan,nan,nan,nan,0.9085679774794246,0.804142,posterior separates from random
CIFAR SWAG20 movement,scale=6.4e+01,global,posterior-chain,5,5,5,5,0.14530890108866268,0.0036861280631533067,0.1454937020953157,0.0037703434801795565,-0.0001848010066530348,-0.00043504999937501597,6.544798606894638e-05,1,4,0,0.2,0.44,0.20000000000000007,1.0,0.00028656704281949664,0.001276550117248254,nan,nan,nan,nan,nan,0.9085679774794246,0.804142,practically tied to control
CIFAR SWAG20 movement,scale=6.4e+01,global,posterior-dense,5,5,5,5,0.14530890108866268,0.0036861280631533067,0.1454937020953157,0.0037703434801795565,-0.0001848010066530348,-0.00043504999937501597,6.544798606894638e-05,1,4,0,0.2,0.44,0.20000000000000007,1.0,0.00028656704281949664,0.001276550117248254,nan,nan,nan,nan,nan,0.9085679774794246,0.804142,practically tied to control
CIFAR SWAG20 movement,scale=6.4e+01,global,posterior-rewind,5,5,5,5,0.14530890108866268,0.0036861280631533067,0.17823871801096539,0.0033884438751210014,-0.03292981692230272,-0.034420531325758175,-0.03143910251884727,0,5,0,0.0,0.0,1.0,0.0,0.03292981692230272,1.027122916028108,nan,nan,nan,nan,nan,0.9085679774794246,0.804142,control closer to ticket
