source_kind,source,num_runs,trained_accuracy,trained_accuracy_std,trained_accuracy_ci95_low,trained_accuracy_ci95_high,accuracy_minus_imp,accuracy_minus_imp_std,accuracy_minus_imp_ci95_low,accuracy_minus_imp_ci95_high,accuracy_minus_dense,accuracy_minus_dense_std,accuracy_minus_dense_ci95_low,accuracy_minus_dense_ci95_high,source_to_imp_jaccard,source_to_imp_jaccard_std,source_to_imp_jaccard_ci95_low,source_to_imp_jaccard_ci95_high,source_to_dense_final_magnitude_jaccard,source_to_dense_final_magnitude_jaccard_std,source_to_dense_final_magnitude_jaccard_ci95_low,source_to_dense_final_magnitude_jaccard_ci95_high,source_to_rewind_magnitude_jaccard,source_to_rewind_magnitude_jaccard_std,source_to_rewind_magnitude_jaccard_ci95_low,source_to_rewind_magnitude_jaccard_ci95_high,mask_sparsity,mask_sparsity_std,mask_sparsity_ci95_low,mask_sparsity_ci95_high,dense_accuracy,dense_accuracy_std,dense_accuracy_ci95_low,dense_accuracy_ci95_high,imp_accuracy,imp_accuracy_std,imp_accuracy_ci95_low,imp_accuracy_ci95_high
gem_miner,gem_miner,1.0,0.109375,0.0,0.109375,0.109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5388242168004966,0.0,0.5388242168004966,0.5388242168004966,0.538805485677189,0.0,0.538805485677189,0.538805485677189,0.538805485677189,0.0,0.538805485677189,0.538805485677189,0.3000007382907094,0.0,0.3000007382907094,0.3000007382907094,0.109375,0.0,0.109375,0.109375,0.109375,0.0,0.109375,0.109375
random,random_0,1.0,0.140625,0.0,0.140625,0.140625,0.03125,0.0,0.03125,0.03125,0.03125,0.0,0.03125,0.03125,0.3999985234185813,0.0,0.3999985234185813,0.3999985234185813,0.3999985234185813,0.0,0.3999985234185813,0.3999985234185813,0.3999985234185813,0.0,0.3999985234185813,0.3999985234185813,0.3000007382907094,0.0,0.3000007382907094,0.3000007382907094,0.109375,0.0,0.109375,0.109375,0.109375,0.0,0.109375,0.109375
