label,num_runs,dense_acc,imp_acc,sparsity,posterior,random,posterior_minus_random,chain_start,posterior_minus_chain_start,posterior_to_chain_start,dense_magnitude,dense_minus_posterior,snip,synflow,gate1_passed
r2_p0p3,5,0.9667200000000001,0.97148,0.5099986442516269,0.35392810356428217,0.32458088986631317,0.029347213697969,0.3537347054248811,0.00019339813940105754,0.9303173487509001,0.8258866851385702,0.47195858157428805,0.4682166594064,0.633099199534586,False
r3_p0p3,5,0.9667200000000001,0.9728,0.6569956616052061,0.26691396966059217,0.2070712001981004,0.05984276946249176,0.267021827860216,-0.0001078581996238337,0.9115169754656746,0.7257509391120666,0.4588369694514744,0.35655912869525697,0.539204057017709,False
r5_p0p3,5,0.9667200000000001,0.9737600000000001,0.8319295688720174,0.23732427345431767,0.09177439971759402,0.14554987373672365,0.2384643876400597,-0.0011401141857420305,0.9297703313813688,0.5924264241128779,0.35510215065856027,0.2560469641752483,0.390049866945494,False
r8_p0p3,5,0.9667200000000001,0.97028,0.9423552738611713,0.12754539518058902,0.02977513063677033,0.0977702645438187,0.12747068570620929,7.470947437973607e-05,0.9422677406210755,0.4028401347277226,0.27529473954713357,0.1576328557227388,0.32077140529707016,False
