sgld_lr,num_runs,dense_accuracy,dense_accuracy_std,imp_accuracy,imp_accuracy_std,posterior_jaccard_mean,posterior_jaccard_mean_std,random_jaccard_mean,random_jaccard_mean_std,chain_start_magnitude_to_imp_jaccard,chain_start_magnitude_to_imp_jaccard_std,posterior_minus_chain_start_jaccard,posterior_minus_chain_start_jaccard_std,posterior_to_chain_start_magnitude_jaccard_mean,posterior_to_chain_start_magnitude_jaccard_mean_std,dense_magnitude_to_imp_jaccard,dense_magnitude_to_imp_jaccard_std,initial_magnitude_to_imp_jaccard,initial_magnitude_to_imp_jaccard_std,rewind_magnitude_to_imp_jaccard,rewind_magnitude_to_imp_jaccard_std,snip_to_imp_jaccard,snip_to_imp_jaccard_std,synflow_to_imp_jaccard,synflow_to_imp_jaccard_std,sample_accuracy_mean,sample_accuracy_mean_std,sample_to_dense_prediction_agreement_mean,sample_to_dense_prediction_agreement_mean_std,sample_to_imp_prediction_agreement_mean,sample_to_imp_prediction_agreement_mean_std,state_num_clusters,state_num_clusters_std,function_num_clusters,function_num_clusters_std
0.25,1.0,0.8868,0.0,0.8965,0.0,0.15069193771874384,0.0,0.09174568198715333,0.0,0.15155040720319693,0.0,-0.0008584694844530893,0.0,0.8670897244945166,0.0,0.15155040720319693,0.0,0.1609169025217369,0.0,0.1862022249433343,0.0,0.1331226201438491,0.0,0.17895336492400113,0.0,0.7469,0.0,0.7765199959278106,0.0,0.7534300029277802,0.0,1.0,0.0,2.0,0.0
1.0,1.0,0.8868,0.0,0.8965,0.0,0.15063101051930058,0.0,0.0917552326195611,0.0,0.15155040720319693,0.0,-0.0009193966838963452,0.0,0.8701607629165571,0.0,0.15155040720319693,0.0,0.1609169025217369,0.0,0.1862022249433343,0.0,0.1331226201438491,0.0,0.17895336492400113,0.0,0.67741,0.0,0.7015000075101853,0.0,0.6829599976539612,0.0,1.0,0.0,3.0,0.0
4.0,1.0,0.8868,0.0,0.8965,0.0,0.14999621716686162,0.0,0.0917455559126725,0.0,0.15155040720319693,0.0,-0.0015541900363353067,0.0,0.7952700451034972,0.0,0.15155040720319693,0.0,0.1609169025217369,0.0,0.1862022249433343,0.0,0.1331226201438491,0.0,0.17895336492400113,0.0,0.6424700000000001,0.0,0.6604400038719177,0.0,0.6464900106191636,0.0,1.0,0.0,2.0,0.0
16.0,1.0,0.8868,0.0,0.8965,0.0,0.1496934861066237,0.0,0.09172905246587608,0.0,0.15155040720319693,0.0,-0.001856921096573233,0.0,0.705746681326911,0.0,0.15155040720319693,0.0,0.1609169025217369,0.0,0.1862022249433343,0.0,0.1331226201438491,0.0,0.17895336492400113,0.0,0.3891,0.0,0.3955099985003471,0.0,0.3906900003552437,0.0,1.0,0.0,4.0,0.0
