base_source,variant,alpha,runs,rows,trained_accuracy_mean,trained_accuracy_std,trained_accuracy_ci95,trained_accuracy_n,accuracy_minus_imp_mean,accuracy_minus_imp_std,accuracy_minus_imp_ci95,accuracy_minus_imp_n,accuracy_minus_dense_mean,accuracy_minus_dense_std,accuracy_minus_dense_ci95,accuracy_minus_dense_n,mask_to_imp_jaccard_mean,mask_to_imp_jaccard_std,mask_to_imp_jaccard_ci95,mask_to_imp_jaccard_n,mask_to_base_jaccard_mean,mask_to_base_jaccard_std,mask_to_base_jaccard_ci95,mask_to_base_jaccard_n,swap_count_mean,swap_count_std,swap_count_ci95,swap_count_n,added_imp_only_hits_mean,added_imp_only_hits_std,added_imp_only_hits_ci95,added_imp_only_hits_n,added_imp_only_precision_mean,added_imp_only_precision_std,added_imp_only_precision_ci95,added_imp_only_precision_n,added_oracle_overlap_hits_mean,added_oracle_overlap_hits_std,added_oracle_overlap_hits_ci95,added_oracle_overlap_hits_n,added_oracle_overlap_precision_mean,added_oracle_overlap_precision_std,added_oracle_overlap_precision_ci95,added_oracle_overlap_precision_n,stratum_exact_fraction_mean,stratum_exact_fraction_std,stratum_exact_fraction_ci95,stratum_exact_fraction_n,stratum_primary_relaxed_count_mean,stratum_primary_relaxed_count_std,stratum_primary_relaxed_count_ci95,stratum_primary_relaxed_count_n,stratum_global_relaxed_count_mean,stratum_global_relaxed_count_std,stratum_global_relaxed_count_ci95,stratum_global_relaxed_count_n
epoch_10,base,0.0,5,5,0.86778,0.002527251471460653,0.002215233585877577,5,-0.028380000000000006,0.0019829271292712103,0.001738112263347744,5,-0.014780000000000015,0.0035758914972353812,0.0031344070954488707,5,0.23128728542979418,0.00622135371517453,0.005453256969126836,5,1.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,,,,0,0.0,0.0,0.0,5,,,,0,,,,0,,,,0,,,,0
epoch_10,oracle_top_imp_residual,0.5,5,5,0.88542,0.0016574076143181771,0.0014527818280801494,5,-0.010740000000000017,0.0033649665674416276,0.002949523242830935,5,0.0028599999999999737,0.0019073541883981458,0.0016718696599914602,5,0.5241940574212781,0.004752540725591445,0.0041657856182773885,5,0.524204320191013,0.004764131492622884,0.004175945373530904,5,14212.8,186.19801287876302,163.2097543163398,5,14212.8,186.19801287876302,163.2097543163398,5,1.0,0.0,0.0,5,14212.8,186.19801287876302,163.2097543163398,5,1.0,0.0,0.0,5,,,,0,,,,0,,,,0
epoch_10,random_imp_only_residual,0.5,5,5,0.87638,0.002389979079406347,0.002094909029051144,5,-0.01978,0.0013736811857195709,0.0012040846481871377,5,-0.0061800000000000075,0.002965130688519515,0.002599051642426553,5,0.5241940574212781,0.004752540725591445,0.0041657856182773885,5,0.524204320191013,0.004764131492622884,0.004175945373530904,5,14212.8,186.19801287876302,163.2097543163398,5,14212.8,186.19801287876302,163.2097543163398,5,1.0,0.0,0.0,5,7089.0,112.08255885729947,98.24469451324076,5,0.498762271223857,0.0016647850580129018,0.0014592484425959694,5,,,,0,,,,0,,,,0
epoch_10,random_nonimp_global_residual,0.5,5,5,0.86954,0.0020342074623793675,0.0017830614571573038,5,-0.026620000000000022,0.003291959902550391,0.0028855300795520527,5,-0.013020000000000032,0.0023647410006171887,0.002072786877611875,5,0.23128728542979418,0.00622135371517453,0.005453256969126836,5,0.524204320191013,0.004764131492622884,0.004175945373530904,5,14212.8,186.19801287876302,163.2097543163398,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,,,,0,,,,0,,,,0
epoch_10,random_nonimp_parameter_matched_residual,0.5,5,5,0.86916,0.0028623416986795994,0.0025089531203272833,5,-0.02699999999999998,0.004358898943540659,0.0038207433831651005,5,-0.01339999999999999,0.0028740215726399897,0.002519190981247756,5,0.23128728542979418,0.00622135371517453,0.005453256969126836,5,0.524204320191013,0.004764131492622884,0.004175945373530904,5,14212.8,186.19801287876302,163.2097543163398,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.9999439383321653,0.00012535770021024204,0.00010988086895587122,5,0.0,0.0,0.0,5,0.8,1.7888543819998317,1.5679999999999998,5
epoch_10,random_nonimp_parameter_score_matched_residual,0.5,5,5,0.86854,0.0021030929603800185,0.0018434422583851094,5,-0.02762,0.003686054801545939,0.003230969489178116,5,-0.01402000000000001,0.002220810662798624,0.0019466263740122417,5,0.23128728542979418,0.00622135371517453,0.005453256969126836,5,0.524204320191013,0.004764131492622884,0.004175945373530904,5,14212.8,186.19801287876302,163.2097543163398,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.9997194698389644,0.0003808019807378641,0.0003337876530394004,5,3.2,3.8340579025361627,3.36069992709852,5,0.8,1.7888543819998317,1.5679999999999998,5
epoch_30,base,0.0,5,5,0.8803,0.0032931747600149952,0.0028865949490705935,5,-0.015860000000000006,0.0037832525688882624,0.0033161670886732654,5,-0.0022600000000000176,0.0038331449229059666,0.003359899665168565,5,0.22652660031520794,0.007900457999336393,0.00692505676684008,5,1.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,,,,0,0.0,0.0,0.0,5,,,,0,,,,0,,,,0,,,,0
epoch_30,oracle_top_imp_residual,0.5,5,5,0.88718,0.001970279168036842,0.0017270258365177868,5,-0.00898000000000001,0.004236389972606366,0.003713359535514952,5,0.00461999999999998,0.001098635517357715,0.0009629964901285403,5,0.520546758933157,0.006070335902770211,0.0053208840201418835,5,0.5205365339034755,0.006059487322588722,0.005311374820345779,5,14357.2,238.2597322251496,208.84386336208203,5,14357.2,238.2597322251496,208.84386336208203,5,1.0,0.0,0.0,5,14357.2,238.2597322251496,208.84386336208203,5,1.0,0.0,0.0,5,,,,0,,,,0,,,,0
epoch_30,random_imp_only_residual,0.5,5,5,0.88178,0.0021288494545176075,0.0018660188209125691,5,-0.014380000000000014,0.0037851023764225687,0.003317788516466929,5,-0.0007800000000000251,0.0024681977230359676,0.0021634706931224997,5,0.520546758933157,0.006070335902770211,0.0053208840201418835,5,0.5205365339034755,0.006059487322588722,0.005311374820345779,5,14357.2,238.2597322251496,208.84386336208203,5,14357.2,238.2597322251496,208.84386336208203,5,1.0,0.0,0.0,5,7186.6,165.58019205206884,145.13743754111135,5,0.5005219233483419,0.0044208108858925605,0.0038750115933585175,5,,,,0,,,,0,,,,0
epoch_30,random_nonimp_global_residual,0.5,5,5,0.87666,0.0025195237645237855,0.002208459952093332,5,-0.019500000000000007,0.002908607914449796,0.0025495072465086255,5,-0.005900000000000016,0.0030536862969205423,0.002676674055614584,5,0.22652660031520794,0.007900457999336393,0.00692505676684008,5,0.5205365339034755,0.006059487322588722,0.005311374820345779,5,14357.2,238.2597322251496,208.84386336208203,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,,,,0,,,,0,,,,0
epoch_30,random_nonimp_parameter_matched_residual,0.5,5,5,0.87546,0.002086384432457256,0.001828796587923323,5,-0.020699999999999986,0.0034655446902326654,0.0030376838545180867,5,-0.007099999999999995,0.0017860571099491836,0.0015655480829409305,5,0.22652660031520794,0.007900457999336393,0.00692505676684008,5,0.5205365339034755,0.006059487322588722,0.005311374820345779,5,14357.2,238.2597322251496,208.84386336208203,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,1.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5
epoch_30,random_nonimp_parameter_score_matched_residual,0.5,5,5,0.87576,0.0019021040980976554,0.001667267752941896,5,-0.020399999999999995,0.0027856776554367672,0.0024417541235758683,5,-0.006800000000000006,0.002650471656139701,0.0023232408398614086,5,0.22652660031520794,0.007900457999336393,0.00692505676684008,5,0.5205365339034755,0.006059487322588722,0.005311374820345779,5,14357.2,238.2597322251496,208.84386336208203,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.9999861476658817,3.097476073556463e-05,2.7150574871873445e-05,5,0.2,0.4472135954999579,0.39199999999999996,5,0.0,0.0,0.0,5
traj_rms_abs,base,0.0,5,5,0.8708,0.0012589678312014219,0.001103533959604329,5,-0.025360000000000004,0.0029946619174791517,0.0026249369059083935,5,-0.011760000000000015,0.0015993748778820136,0.001401913891792246,5,0.23747104459913573,0.0057249511385557925,0.0050181409261608224,5,1.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,,,,0,0.0,0.0,0.0,5,,,,0,,,,0,,,,0,,,,0
traj_rms_abs,oracle_top_imp_residual,0.5,5,5,0.88578,0.0019485892332659401,0.0017080137704362799,5,-0.01038000000000001,0.0032049960998415928,0.0028093029455720617,5,0.0032199999999999785,0.0016991174179555501,0.0014893420829345924,5,0.5289369576526315,0.004364981109490783,0.003826074636678946,5,0.5289215506738191,0.004364020385420299,0.0038252325249018906,5,14028.4,169.6726259595224,148.72461402202393,5,14028.4,169.6726259595224,148.72461402202393,5,1.0,0.0,0.0,5,14028.4,169.6726259595224,148.72461402202393,5,1.0,0.0,0.0,5,,,,0,,,,0,,,,0
