source_kind,source,group,num_runs,group_jaccard,group_jaccard_std,group_jaccard_ci95_low,group_jaccard_ci95_high,kept,kept_std,kept_ci95_low,kept_ci95_high,imp_kept,imp_kept_std,imp_kept_ci95_low,imp_kept_ci95_high,total,total_std,total_ci95_low,total_ci95_high
aggregate,traj_rewind_rms_movement,head,1.0,0.859375,0.0,0.859375,0.859375,634.0,0.0,634.0,634.0,556.0,0.0,556.0,556.0,640.0,0.0,640.0,640.0
aggregate,traj_rewind_rms_movement,stage1,1.0,0.7835564333260185,0.0,0.7835564333260185,0.7835564333260185,12929.0,0.0,12929.0,12929.0,11454.0,0.0,11454.0,11454.0,13824.0,0.0,13824.0,13824.0
aggregate,traj_rewind_rms_movement,stage2,1.0,0.674679259814751,0.0,0.674679259814751,0.674679259814751,43339.0,0.0,43339.0,43339.0,39288.0,0.0,39288.0,39288.0,51200.0,0.0,51200.0,51200.0
aggregate,traj_rewind_rms_movement,stage3,1.0,0.4931486413313737,0.0,0.4931486413313737,0.4931486413313737,132307.0,0.0,132307.0,132307.0,137932.0,0.0,137932.0,137932.0,204800.0,0.0,204800.0,204800.0
aggregate,traj_rewind_rms_movement,stem,1.0,0.8909512761020881,0.0,0.8909512761020881,0.8909512761020881,418.0,0.0,418.0,418.0,397.0,0.0,397.0,397.0,432.0,0.0,432.0,432.0
aggregate,traj_rms_abs,head,1.0,0.9611307420494699,0.0,0.9611307420494699,0.9611307420494699,554.0,0.0,554.0,554.0,556.0,0.0,556.0,556.0,640.0,0.0,640.0,640.0
aggregate,traj_rms_abs,stage1,1.0,0.968487034174824,0.0,0.968487034174824,0.968487034174824,11471.0,0.0,11471.0,11471.0,11454.0,0.0,11454.0,11454.0,13824.0,0.0,13824.0,13824.0
aggregate,traj_rms_abs,stage2,1.0,0.9770783011272142,0.0,0.9770783011272142,0.9770783011272142,39289.0,0.0,39289.0,39289.0,39288.0,0.0,39288.0,39288.0,51200.0,0.0,51200.0,51200.0
aggregate,traj_rms_abs,stage3,1.0,0.9823856613102596,0.0,0.9823856613102596,0.9823856613102596,137913.0,0.0,137913.0,137913.0,137932.0,0.0,137932.0,137932.0,204800.0,0.0,204800.0,204800.0
aggregate,traj_rms_abs,stem,1.0,0.9825870646766169,0.0,0.9825870646766169,0.9825870646766169,400.0,0.0,400.0,400.0,397.0,0.0,397.0,397.0,432.0,0.0,432.0,432.0
checkpoint,epoch_0,head,1.0,0.9087779690189329,0.0,0.9087779690189329,0.9087779690189329,553.0,0.0,553.0,553.0,556.0,0.0,556.0,556.0,640.0,0.0,640.0,640.0
checkpoint,epoch_0,stage1,1.0,0.9566703700538416,0.0,0.9566703700538416,0.9566703700538416,11441.0,0.0,11441.0,11441.0,11454.0,0.0,11454.0,11454.0,13824.0,0.0,13824.0,13824.0
checkpoint,epoch_0,stage2,1.0,0.9683453958077683,0.0,0.9683453958077683,0.9683453958077683,39310.0,0.0,39310.0,39310.0,39288.0,0.0,39288.0,39288.0,51200.0,0.0,51200.0,51200.0
checkpoint,epoch_0,stage3,1.0,0.9770655352330715,0.0,0.9770655352330715,0.9770655352330715,137924.0,0.0,137924.0,137924.0,137932.0,0.0,137932.0,137932.0,204800.0,0.0,204800.0,204800.0
checkpoint,epoch_0,stem,1.0,0.9751861042183623,0.0,0.9751861042183623,0.9751861042183623,399.0,0.0,399.0,399.0,397.0,0.0,397.0,397.0,432.0,0.0,432.0,432.0
checkpoint,epoch_1,head,1.0,0.9749552772808586,0.0,0.9749552772808586,0.9749552772808586,548.0,0.0,548.0,548.0,556.0,0.0,556.0,556.0,640.0,0.0,640.0,640.0
checkpoint,epoch_1,stage1,1.0,0.9675425038639877,0.0,0.9675425038639877,0.9675425038639877,11460.0,0.0,11460.0,11460.0,11454.0,0.0,11454.0,11454.0,13824.0,0.0,13824.0,13824.0
checkpoint,epoch_1,stage2,1.0,0.9773299114331723,0.0,0.9773299114331723,0.9773299114331723,39299.0,0.0,39299.0,39299.0,39288.0,0.0,39288.0,39288.0,51200.0,0.0,51200.0,51200.0
checkpoint,epoch_1,stage3,1.0,0.9821441402601135,0.0,0.9821441402601135,0.9821441402601135,137923.0,0.0,137923.0,137923.0,137932.0,0.0,137932.0,137932.0,204800.0,0.0,204800.0,204800.0
checkpoint,epoch_1,stem,1.0,0.985,0.0,0.985,0.985,397.0,0.0,397.0,397.0,397.0,0.0,397.0,397.0,432.0,0.0,432.0,432.0
checkpoint,epoch_2,head,1.0,0.9714795008912656,0.0,0.9714795008912656,0.9714795008912656,550.0,0.0,550.0,550.0,556.0,0.0,556.0,556.0,640.0,0.0,640.0,640.0
checkpoint,epoch_2,stage1,1.0,0.971025707161895,0.0,0.971025707161895,0.971025707161895,11471.0,0.0,11471.0,11471.0,11454.0,0.0,11454.0,11454.0,13824.0,0.0,13824.0,13824.0
checkpoint,epoch_2,stage2,1.0,0.9810126582278481,0.0,0.9810126582278481,0.9810126582278481,39275.0,0.0,39275.0,39275.0,39288.0,0.0,39288.0,39288.0,51200.0,0.0,51200.0,51200.0
checkpoint,epoch_2,stage3,1.0,0.9858688531670902,0.0,0.9858688531670902,0.9858688531670902,137931.0,0.0,137931.0,137931.0,137932.0,0.0,137932.0,137932.0,204800.0,0.0,204800.0,204800.0
checkpoint,epoch_2,stem,1.0,0.9875311720698254,0.0,0.9875311720698254,0.9875311720698254,400.0,0.0,400.0,400.0,397.0,0.0,397.0,397.0,432.0,0.0,432.0,432.0
