full_laplace_scale,num_runs,dense_accuracy,dense_accuracy_std,dense_accuracy_ci95_low,dense_accuracy_ci95_high,imp_accuracy,imp_accuracy_std,imp_accuracy_ci95_low,imp_accuracy_ci95_high,imp_sparsity,imp_sparsity_std,imp_sparsity_ci95_low,imp_sparsity_ci95_high,parameter_count,parameter_count_std,parameter_count_ci95_low,parameter_count_ci95_high,weight_parameter_count,weight_parameter_count_std,weight_parameter_count_ci95_low,weight_parameter_count_ci95_high,examples_seen,examples_seen_std,examples_seen_ci95_low,examples_seen_ci95_high,posterior_jaccard_mean,posterior_jaccard_mean_std,posterior_jaccard_mean_ci95_low,posterior_jaccard_mean_ci95_high,chain_start_magnitude_to_imp_jaccard,chain_start_magnitude_to_imp_jaccard_std,chain_start_magnitude_to_imp_jaccard_ci95_low,chain_start_magnitude_to_imp_jaccard_ci95_high,posterior_minus_chain_start_jaccard,posterior_minus_chain_start_jaccard_std,posterior_minus_chain_start_jaccard_ci95_low,posterior_minus_chain_start_jaccard_ci95_high,posterior_to_chain_start_magnitude_jaccard_mean,posterior_to_chain_start_magnitude_jaccard_mean_std,posterior_to_chain_start_magnitude_jaccard_mean_ci95_low,posterior_to_chain_start_magnitude_jaccard_mean_ci95_high,initial_magnitude_to_imp_jaccard,initial_magnitude_to_imp_jaccard_std,initial_magnitude_to_imp_jaccard_ci95_low,initial_magnitude_to_imp_jaccard_ci95_high,rewind_magnitude_to_imp_jaccard,rewind_magnitude_to_imp_jaccard_std,rewind_magnitude_to_imp_jaccard_ci95_low,rewind_magnitude_to_imp_jaccard_ci95_high,sample_accuracy_mean,sample_accuracy_mean_std,sample_accuracy_mean_ci95_low,sample_accuracy_mean_ci95_high,sample_to_dense_prediction_agreement_mean,sample_to_dense_prediction_agreement_mean_std,sample_to_dense_prediction_agreement_mean_ci95_low,sample_to_dense_prediction_agreement_mean_ci95_high,sample_to_imp_prediction_agreement_mean,sample_to_imp_prediction_agreement_mean_std,sample_to_imp_prediction_agreement_mean_ci95_low,sample_to_imp_prediction_agreement_mean_ci95_high
1e-05,5.0,0.845,0.030390970881350794,0.8072706751245724,0.8827293248754275,0.8633333333333333,0.02416826303795135,0.8333292820842432,0.8933373845824234,0.5101351351351351,0.0,0.5101351351351351,0.5101351351351351,310.0,0.0,310.0,310.0,296.0,0.0,296.0,296.0,1437.0,0.0,1437.0,1437.0,0.8622942610317557,0.039943540515911063,0.8127057558575298,0.9118827662059815,0.8595947420531275,0.03825953155368309,0.8120968749660191,0.9070926091402358,0.0026995189786282793,0.005345866345262133,-0.0039371866688631876,0.009336224626119747,0.9838989842512348,0.004246372990735413,0.9786272610563693,0.9891707074461003,0.37213541923569443,0.023800079485264643,0.3425884549591574,0.40168238351223146,nan,0.0,nan,nan,0.8451666666666666,0.030323996324469155,0.8075204883555539,0.8828128449777793,0.9993888914585114,0.0008193249417805988,0.9983717282679155,1.0004060546491074,0.9149444532394411,0.02636943183044302,0.8822077281050118,0.9476811783738703
0.0001,5.0,0.845,0.030390970881350794,0.8072706751245724,0.8827293248754275,0.8633333333333333,0.02416826303795135,0.8333292820842432,0.8933373845824234,0.5101351351351351,0.0,0.5101351351351351,0.5101351351351351,310.0,0.0,310.0,310.0,296.0,0.0,296.0,296.0,1437.0,0.0,1437.0,1437.0,0.8361160298973733,0.043513280019824414,0.7820958182801512,0.8901362415145955,0.8595947420531275,0.03825953155368309,0.8120968749660191,0.9070926091402358,-0.023478712155754165,0.008107821448285224,-0.033544288232562815,-0.013413136078945518,0.93563727403359,0.00643302796366164,0.9276508953515374,0.9436236527156425,0.37213541923569443,0.023800079485264643,0.3425884549591574,0.40168238351223146,nan,0.0,nan,nan,0.8452222222222222,0.02999189705385252,0.8079883335125475,0.8824561109318969,0.9976666724681854,0.0015908695366543119,0.9956916637125526,0.9996416812238182,0.9150000011920929,0.025908640272877162,0.8828353326215401,0.9471646697626457
0.001,5.0,0.845,0.030390970881350794,0.8072706751245724,0.8827293248754275,0.8633333333333333,0.02416826303795135,0.8333292820842432,0.8933373845824234,0.5101351351351351,0.0,0.5101351351351351,0.5101351351351351,310.0,0.0,310.0,310.0,296.0,0.0,296.0,296.0,1437.0,0.0,1437.0,1437.0,0.7545465704692853,0.034860630204477966,0.7112683202454994,0.7978248206930713,0.8595947420531275,0.03825953155368309,0.8120968749660191,0.9070926091402358,-0.10504817158384208,0.014549372165374646,-0.12311070704228559,-0.08698563612539857,0.8083850731467074,0.014028745542403345,0.7909688773880901,0.8258012689053247,0.37213541923569443,0.023800079485264643,0.3425884549591574,0.40168238351223146,nan,0.0,nan,nan,0.845,0.02944182378274692,0.8084490079714434,0.8815509920285566,0.9923333334922791,0.0037863505401261677,0.9876327120419676,0.9970339549425907,0.9133333349227906,0.02651068433150328,0.8804212497604512,0.9462454200851299
0.01,5.0,0.845,0.030390970881350794,0.8072706751245724,0.8827293248754275,0.8633333333333333,0.02416826303795135,0.8333292820842432,0.8933373845824234,0.5101351351351351,0.0,0.5101351351351351,0.5101351351351351,310.0,0.0,310.0,310.0,296.0,0.0,296.0,296.0,1437.0,0.0,1437.0,1437.0,0.6325053466399051,0.022634036406645415,0.6044059839652953,0.6606047093145149,0.8595947420531275,0.03825953155368309,0.8120968749660191,0.9070926091402358,-0.22708939541322212,0.034521014198190134,-0.2699460242717626,-0.18423276655468163,0.6590789498387699,0.021035991235188525,0.6329635042188306,0.6851943954587092,0.37213541923569443,0.023800079485264643,0.3425884549591574,0.40168238351223146,nan,0.0,nan,nan,0.8253333333333333,0.025162588583004245,0.794094861780012,0.8565718048866545,0.9470555567741394,0.014075962977342359,0.9295807422254364,0.9645303713228425,0.8898888862133025,0.01661868181470957,0.8692573753729135,0.9105203970536916
