label,dataset,model,sampler,source_csv,num_runs,dense_imp_barrier_mean,dense_imp_barrier_std,dense_imp_barrier_ci95_low,dense_imp_barrier_ci95_high,dense_sample_barrier_mean,dense_sample_barrier_std,dense_sample_barrier_ci95_low,dense_sample_barrier_ci95_high,imp_sample_barrier_mean,imp_sample_barrier_std,imp_sample_barrier_ci95_low,imp_sample_barrier_ci95_high,posterior_jaccard_mean,posterior_jaccard_std,posterior_jaccard_ci95_low,posterior_jaccard_ci95_high,chain_start_jaccard_mean,chain_start_jaccard_std,chain_start_jaccard_ci95_low,chain_start_jaccard_ci95_high,posterior_minus_chain_start_jaccard_mean,posterior_minus_chain_start_jaccard_std,posterior_minus_chain_start_jaccard_ci95_low,posterior_minus_chain_start_jaccard_ci95_high,posterior_to_chain_start_jaccard_mean,posterior_to_chain_start_jaccard_std,posterior_to_chain_start_jaccard_ci95_low,posterior_to_chain_start_jaccard_ci95_high,dense_magnitude_jaccard_mean,dense_magnitude_jaccard_std,dense_magnitude_jaccard_ci95_low,dense_magnitude_jaccard_ci95_high,random_jaccard_mean,random_jaccard_std,random_jaccard_ci95_low,random_jaccard_ci95_high,posterior_minus_random_jaccard_mean,posterior_minus_random_jaccard_std,posterior_minus_random_jaccard_ci95_low,posterior_minus_random_jaccard_ci95_high,state_num_clusters_mean,state_num_clusters_std,state_num_clusters_ci95_low,state_num_clusters_ci95_high,function_num_clusters_mean,function_num_clusters_std,function_num_clusters_ci95_low,function_num_clusters_ci95_high,sample_accuracy_mean,sample_accuracy_std,sample_accuracy_ci95_low,sample_accuracy_ci95_high,dense_accuracy_mean,dense_accuracy_std,dense_accuracy_ci95_low,dense_accuracy_ci95_high,imp_accuracy_mean,imp_accuracy_std,imp_accuracy_ci95_low,imp_accuracy_ci95_high,sampler_chains_mean,sampler_chains_std,sampler_chains_ci95_low,sampler_chains_ci95_high
MNIST Gate1 SGLD r5,MNIST,MLP,SGLD,runs/mnist_gate1_full_r5_p0p3_summary.csv,5,0.0026406687927246096,0.0037660832943312112,-0.0020347915824796697,0.007316129167928889,0.8839278878784178,0.14906585056306612,0.6988678604879445,1.0689879152688913,0.9391068510131836,0.0927332649493538,0.8239817537040923,1.0542319483222748,0.23732427345431767,0.0010649141772652224,0.23600221983795416,0.23864632707068117,0.2384643876400597,0.001200556383928204,0.23697393897958957,0.23995483630052983,-0.0011401141857420361,0.0001619256358018062,-0.001341139185656582,-0.0009390891858274903,0.9297703313813687,0.0007786167642866805,0.9288037059659479,0.9307369567967895,0.5924264241128779,0.010898139782796565,0.578896765649243,0.6059560825765129,0.09177439971759402,4.3459110472442926e-05,0.09172044675557074,0.0918283526796173,0.14554987373672365,0.0010610838147688114,0.14423257538111117,0.14686717209233613,3.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,0.9683806666666668,0.000499164023365329,0.9677609720317963,0.9690003613015372,0.9667199999999999,0.0005540758070878329,0.9660321343107843,0.9674078656892156,0.9737600000000001,0.001038267788193388,0.9724710269414764,0.9750489730585238,3.0,0.0,3.0,3.0
Fashion-MNIST Gate1 SGLD r5,Fashion-MNIST,MLP,SGLD,runs/fashion_gate1_full_r5_p0p3_summary.csv,5,0.03951370727539062,0.03838026221396522,-0.008134042693774816,0.08716145724455607,0.8330781533203124,0.08088548410493676,0.7326616605594944,0.9334946460811304,0.8028503680114746,0.09499085783668706,0.6849225482814646,0.9207781877414846,0.21144042326275975,0.0022588883919520356,0.20863609251827572,0.21424475400724377,0.21219731164909308,0.0021273465318053042,0.20955628551226935,0.21483833778591682,-0.0007568883863333375,0.00017721773927733902,-0.0009768979965885513,-0.0005368787760781237,0.9212239165775922,0.0010675081444641,0.9198986426418929,0.9225491905132914,0.525518968129918,0.03931187971726971,0.4767146476918776,0.5743232885679584,0.09169991645926026,0.00011213974766840266,0.09156069889402525,0.09183913402449527,0.11974050680349949,0.0023205718165274928,0.11685959824995756,0.12262141535704141,3.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,0.8683726666666667,0.000520542718921589,0.8677264311307765,0.8690189022025568,0.8645799999999999,0.0016269603560013235,0.8625601857574519,0.866599814242548,0.87194,0.0019047309521294637,0.8695753433006883,0.8743046566993118,3.0,0.0,3.0,3.0
CIFAR-10 ResNet-20 long SGLD r5,CIFAR-10,ResNet-20,SGLD,runs/cifar10_resnet20_long30_rewind1_r5_p0p3_summary.csv,5,3.0827475311279295,0.3993145343902306,2.58701253620764,3.578482526048219,2.942803819946289,0.5086482820800179,2.3113348103891935,3.5742728295033848,2.6585626706542973,0.2792415946543523,2.3118940207918603,3.0052313205167343,0.13419037892801328,0.0029624119754536643,0.1305126483193694,0.13786810953665715,0.1341904065816573,0.002901187180986115,0.13058868440887142,0.13779212875444316,-2.7653644013581058e-08,9.441769573450923e-05,-0.0001172439127185981,0.00011718860543057094,0.9968572142104829,0.0001975391973890683,0.9966119762224298,0.997102452198536,0.1471815613184548,0.004063132067929336,0.14213732530502937,0.15222579733188024,0.09177261496255054,8.229787519272847e-05,0.0916704450357711,0.09187478488932999,0.04241776396546274,0.0029458563519041457,0.03876058658303378,0.0460749413478917,3.0,0.0,3.0,3.0,2.2,0.8366600265340756,1.1613159094315542,3.238684090568446,0.885192,0.0026649521571690225,0.8818835553271448,0.8885004446728552,0.8858599999999999,0.0017770762504743748,0.8836538221373604,0.8880661778626393,0.89804,0.0012157302332343291,0.8965307135375946,0.8995492864624053,1.0,0.0,1.0,1.0
CIFAR-10 ResNet-20 long SWAG r5,CIFAR-10,ResNet-20,SWAG,runs/cifar10_resnet20_long30_rewind1_swag_r5_p0p3_summary.csv,5,3.740163438110352,0.6843357936495588,2.890584542349186,4.589742333871518,2.9135016917724608,0.4376149598308698,2.370218061438101,3.4567853221068203,2.7180516722412107,0.3115940377412771,2.3312185985271685,3.104884745955253,0.13608229802578684,0.0024370671442131846,0.13305676460712026,0.1391078314444534,0.13613608955119308,0.002499726044994656,0.13303276730395794,0.13923941179842822,-5.379152540623267e-05,0.000310187648280578,-0.0004388786159112732,0.00033129556509880787,0.9265466136684998,0.005285676232821249,0.919984631935405,0.9331085954015945,0.1463005092770922,0.0028308239558611534,0.14278614058144226,0.14981487797274215,0.09181202951890885,6.513658270986134e-05,0.09173116473509098,0.09189289430272672,0.04427026850687797,0.0024567588381771955,0.04122028854052405,0.04732024847323189,1.0,0.0,1.0,1.0,2.8,0.8366600265340756,1.7613159094315538,3.838684090568446,0.857344,0.009007937055730319,0.8461609619536042,0.8685270380463957,0.8859400000000001,0.0027808272150567203,0.8824877005052285,0.8893922994947716,0.8968999999999999,0.0006164414002969199,0.8961347096132839,0.8976652903867159,1.0,0.0,1.0,1.0
CIFAR-10 ResNet-20 3-chain SGLD r5,CIFAR-10,ResNet-20,3-chain SGLD,runs/cifar10_resnet20_long30_rewind1_sgld3_r5_p0p3_summary.csv,5,3.2863048370361327,0.2380860005580189,2.9907294143747603,3.5818802596975052,3.0077549896850586,0.5501368169623774,2.3247794186135824,3.690730560756535,2.8879353829345704,0.17435708609703035,2.6714771733113785,3.1043935925577624,0.1368358070296329,0.0024964673370908965,0.13373653035401362,0.1399350837052522,0.13684068315418013,0.0024579126768253232,0.13378927073759686,0.1398920955707634,-4.8761245472428435e-06,4.9915624655349214e-05,-6.684462257035916e-05,5.709237347587347e-05,0.9969154385516938,0.00018262210926971701,0.9966887196055643,0.9971421574978234,0.14598913943280376,0.002054578332382334,0.1434384524643912,0.14853982640121632,0.09178909984697141,0.00012657640705609908,0.09163195967523986,0.09194624001870295,0.045046707182661495,0.002595963586143367,0.04182390940207181,0.04826950496325118,3.0,0.0,3.0,3.0,3.2,0.4472135954999579,2.6448,3.7552000000000003,0.8855453333333333,0.000963992277516262,0.8843485707172981,0.8867420959493685,0.88598,0.0023657979626333465,0.8830429447716462,0.8889170552283537,0.899,0.0010440306508910729,0.8977038725494767,0.9002961274505233,3.0,0.0,3.0,3.0
CIFAR-10 ResNet-20 short SWAG r5,CIFAR-10,ResNet-20,short SWAG,runs/cifar10_resnet20_swag_short_r5_p0p3_summary.csv,5,2.943393923339844,0.3185698625026263,2.5479006077492747,3.3388872389304134,2.1717757727050784,0.32194775577745416,1.772088921039006,2.5714626243711507,2.0679158143310543,0.21523682857816004,1.8007068376160213,2.3351247910460873,0.13016306501913116,0.0009227569567157325,0.12901749460820516,0.13130863543005716,0.13037214635578145,0.0007555269981850981,0.1294341860754742,0.13131010663608872,-0.00020908133665027419,0.00038150015179736537,-0.0006827004001340388,0.00026453772683349044,0.9096769354058077,0.008052454793973322,0.8996800950892337,0.9196737757223817,0.17026909387089706,0.003465745741858424,0.1659664920375859,0.17457169570420822,0.09173034912527607,0.00013307757558807213,0.09156513798073584,0.0918955602698163,0.0384327158938551,0.0008350955538961276,0.037395974041217986,0.039469457746492215,1.2,0.4472135954999579,0.6448,1.7551999999999999,2.4,0.8944271909999159,1.2896,3.5103999999999997,0.783136,0.014864159242957515,0.7646826674208236,0.8015893325791765,0.8255399999999999,0.008243664233822228,0.8153057798674447,0.8357742201325552,0.8631399999999999,0.0019112822920751263,0.8607672100418283,0.8655127899581715,1.0,0.0,1.0,1.0
